App,Store,App ID,Review ID,Country,Version,Rating,Date,Author,Subject,Body,Translated Subject,Translated Body
Aard Dictionary,Google Play,aarddict.android,Z3A6QU9xcFRPR0lrR2Nxb2xYYllYWHdUZnY4R2xHWHRaOXdGU2xUQW1jUW9XWlE3ZXhaNkRwNWFKejA5clhZNEhWcWxpbTB5V2lmRURGRHpfYkFtanJI,English,,5,2016-04-04,ذبیح الله حبیبی,"","",,
Aard Dictionary,Google Play,aarddict.android,Z3A6QU9xcFRPRkRHejRqajFtMXZzOFh4SlBMb1EzQXIxanN4OC04bG9YaE95alU3VW9EMURBQjl4MnJGYnhvdkJUcjdNdWkta2VDVEpfLWVXb0R1TnM2,English,,4,2015-04-29,David Eason,Get the new Aard 2 app!,"It's also in the Play Store, it's a different file format but better features.",,
Aard Dictionary,Google Play,aarddict.android,Z3A6QU9xcFRPSHBlTk1RWkkwUEZKYmR2aVljS3pkOVVaZDEzS2dLblFLUjhmdG5UMzNwMkFvTjI0M0lURzlGYzI4TDc5NlRuQW5ZYncxNGpmaG5Pb08x,English,,5,2015-04-05,Peps Alik,Great!,The best app for reading offline Wikipedia. Aard 2 is even better.,,
Aard Dictionary,Google Play,aarddict.android,Z3A6QU9xcFRPRWpMaTRXeFlaS3BBWWFXVXI4MUVZd0ZMb2QxTFNnVHl0bE53N1JNek81YnNuQUNJVHF5OEN4VnVXLW5yYmY5ZkIyWUtmczh5MWhOcjlx,English,,5,2015-01-11,Klaus Gebhart,"Grandios, kompl.Wiki auf dem Handy","die Wiki Files schlucken zwar 3-4 GB, dafür überall und zu jeder Zeit jede Info!",,
Aard Dictionary,Google Play,aarddict.android,Z3A6QU9xcFRPRWxzb25Kb1JRRWM1WjRpd29BVEMwNW83YjZSVWlRQ3pWYWs0LVIyMkZuaGNUa3pHYkNydVlMS3lqRndWSGhROFI4RTBRclFzOFZtbnhL,English,,5,2014-11-27,Jad Akrami,"","",,
Aard Dictionary,Google Play,aarddict.android,bGc6QU9xcFRPR2lXb3V6M2ZLd0czWHpJVVozQzkxd1ZKRlk1bFEyV3ZOV1dLQzhFQVktMXZDZjA2OEIxaVVaNjF6SjRBM2FjZTVXRVRVbWZzRU4wZERQ,English,,5,2014-08-25,A Google User,Essential,I found it perfect app . Faced no problems.,,
Aard Dictionary,Google Play,aarddict.android,Z3A6QU9xcFRPR3RIWkQxR2JTTWcxN1ZVT1h4Q1h2eV9jZW1MQnhMTkV4NUpxSllmb2dEdWw0VFV5aVRXekI5X2VUSkZkSzd0dENHUXZqSGRweVluZG5o,English,,4,2014-07-02,Allan Bernabe,Useful.,"This is a good replacement for WikiDroyd, which has been abandoned by developer, and rendered unusable by some Kitkat phones. Although I don't know the difference between the 8Gb and 14Gb version of English wiki data. I chose the bigger one. Please add browse history or favorites option. And maybe bookmark. There's so many interlinked interesting articles. Need a way to mark them and go to them in next readings. Also needs an ""Exit"" button. Why only forward button? Need rewind button too.",,
Aard Dictionary,Google Play,aarddict.android,bGc6QU9xcFRPSHZKNnJtSmlOS1ZYZmNmc2FXY1NvZ2RGRWxoNlFBYTRvdWZ4bU43MTZLWTM3TFNDWGZ6bWE5V0ZuelBualp2NlZYaHc0dGFLLU9ISU9q,English,,5,2014-06-10,A Google User,"Any fact, anywhere","This is a great application. It runs well with 10gb wikipedia, giving instant access to the equal of a few hundred volume encyclapedia set. If as a child you liked reading encyclopedias from cover to cover, you will love this. I wish I could get a one or two paragaph popup preview a underlined link while you hold your finger on a link before jumping. I want this--with pics.",,
Aard Dictionary,Google Play,aarddict.android,bGc6QU9xcFRPRmFvazBkR1VlYThBOEMyd2RSQzUzVzVSVGJ4UmRhU1drTVpUd2xFSkU5ZkhjSGdBZVFuejFpMmFkTGVKZnZ0TTRkVEg3TGpsZzBCVHRN,English,,5,2014-05-10,A Google User,Up to date Offline Wikipedia,"Xtremly fast, searches in all loaded Wikis such a Wiktionary.",,
Aard Dictionary,Google Play,aarddict.android,Z3A6QU9xcFRPRkxBVnBuTjRmTkpBSjhvS1FYLXJfb0FKYS0zVWExSmZtWEdQUUlTQWdvRTBrTTNTVU9JVnl4Uk5GNHhBY2dDTlZfX2U5VG1Kd0syQ0tu,English,,5,2014-02-18,Migang Granero-ro,Thanks,very good,,
Aard Dictionary,Google Play,aarddict.android,Z3A6QU9xcFRPRlF4WlNsX1FMZUxQSjNIQzNFQW1DQWZQSVplSUR1MWRkYXZmSWxpbFdUZ1FRZUVyRVQxSi1FVW52SDRiaFhqTGRJY1NMNEdLYnpfdjhK,English,,5,2014-02-12,Zubair A Bajwa,Good app,Its a good wiki content reader app. But it should contain pics like kiwix.,,
Aard Dictionary,Google Play,aarddict.android,Z3A6QU9xcFRPRjJ5ZGdBbHI1UmFEYk43WHpqbTFkY1gyaW1jVjFWc3lPVW9DOU5XRnlUSlZmWHRRekRmQld0Ni1acGRUUzQwUnNnMmVraDczZnVLOGN6,English,,4,2014-02-03,Jiaxen Lau,Almost perfect. One disappointment.,"Right now only results that begin with the searched term is displayed.   If it had a function to search for the entry within the entire name of the result, the output could be a lot more useful to the user.   Example: if I search for 'thermodynamics', the output would only show the result 'thermodynamics (Wikipedia)'.   However, there is actually a Wikipedia entry of 'the first law of thermodynamics (Wikipedia)'. An option should be made so that all results containing the search term is shown.",,
Aard Dictionary,Google Play,aarddict.android,Z3A6QU9xcFRPSEFSZjh0MHRsNnh3Y05Kb21oOUdMNkFkcFI1ZWtKQWpNUnM0d0hkb1pFY3pqSjhrMllBUWY0NURIbkRkME11NnZrUjlqVElsTGdfcFp2,English,,5,2014-01-27,Ahmed Ramy,Awesome app  !!,Great app with wonderful  search method,,
Aard Dictionary,Google Play,aarddict.android,Z3A6QU9xcFRPSEVtRHcxVDA1M1hJN0Y2cVk5NzNjMTY3YVAxTjhxOEZqYVFnajJPQUY2ZzgtVDVRblgxRXBDOVotMzh3TFB5SW9oVm9SR21sTXNIZWtF,English,,5,2014-01-15,grand timoti,Use for offline Wiki,and it works great. thanks!,,
Aard Dictionary,Google Play,aarddict.android,Z3A6QU9xcFRPSFVHOE15aUlPVkZ5dXdPOWFESU1iQ0MxdHcxZzFVYXhGUHowQjBITkNDZHVMUUZCcEpDczYxLVI4bExyd1M3Tnk0NC1tSUtGTHRMZmJs,English,,5,2013-10-02,Penny Jackson,Good,But it must be better if databases are seperated into small size (1 data is lower than 1 GB) Whether English wikipedia is divided into 12 aar data (= 11 Gb),,
Aard Dictionary,Google Play,aarddict.android,Z3A6QU9xcFRPRUx2aWMwVnFJU09FXzh1MDljTHlCTktqTEZ5NVp1OWljdlVBX1JZVzNtdGVPcTM4SXNONVJfdDBqRUhKRS1QOEl1SWI5RGszNVRETXBW,English,,5,2013-08-13,Ravisobhan Babu,Delete option please.,Please provide option for deleting unwanted articles from aard dictionaries.-ravisobhan,,
Aard Dictionary,Google Play,aarddict.android,Z3A6QU9xcFRPSGRaRGp2NFI1RFJXNUc2TDZHaHlrcUR5cEZBQi1FbndXamV1d1JtaXRpYWF0RWtkMGI5TXBoV05QRzlzZUNTTzBJNDNoYzczMHVmV3pT,English,,5,2013-07-21,ashish kumar,Excellent,How can I add articles directly without compiling?,,
Aard Dictionary,Google Play,aarddict.android,bGc6QU9xcFRPRlRxQkpMXzFWRG1VcHJlYlhLYUtrMWJLUk5vT1E5WlpXdDJLWHpsdGFmc2t6Uy1zbWwtLS1KOFBFSEJzWUVvVnBEM2xBMXlpWGc1QXZ0,English,,4,2013-03-25,A Google User,"",Works well on nook simple touch. Needs copy paste. Weird dict format but quality is great. Waybetter than free xdxf's in others.,,
Aard Dictionary,Google Play,aarddict.android,Z3A6QU9xcFRPR0s0Vnp2UkVWQ1JUZ3ExcVUzeUE1OV94Q2tkb0kwSWpmMmxzT0lSSUNXcWJ0d1FlNWh2czRuR1JENFV6WWt6aGdzeUM3eGlTQ05oM2NT,English,,5,2013-03-22,Chris Poole,Totally freekin awesome!!,Exactly what I was looking for. Wasted too much time looking for another offline wikipedia app. Glad I finally found this! THANK YOU!,,
Aard Dictionary,Google Play,aarddict.android,Z3A6QU9xcFRPR1ZZVy1DYkdTdFRyaVFqRG5CVUhOMFNzdU5vM3dJZXc0N0ZhUHgxM3RzOGlLejFaU2Z4cE45QXZXRVE1cktqa3JUUHhpem9DdkpPemx3,English,,5,2013-03-20,"",Very good,this app is good,,
Aard Dictionary,Google Play,aarddict.android,bGc6QU9xcFRPSFpfOFFOa01mY01PVWx3eURnSXZmc3dsazlKczVSTGdDVHB5TU8yM2N3ZWpYcFJnVG40Zk83M3lmWmhZYk45Wnk0LUx6SnBBY29YOVEy,English,,4,2013-02-27,A Google User,"",Nice,,
Aard Dictionary,Google Play,aarddict.android,Z3A6QU9xcFRPRXlZRHViSkhBT05YZHplS0lmcndRLV92cXdxU3Jxc2tzYmNneGJKNVd6aEo5WFdIY3V6aC1VMFZpQ29Cb2QtSlZCdmVOUFl6TXBnOEhU,English,,5,2013-02-21,Mehdi Rahgozar,"",Nice app,,
Aard Dictionary,Google Play,aarddict.android,Z3A6QU9xcFRPRVZDbFd0V1MxR3ZKbnktd1NpamV4R2NYRl93OGJ6emJ1dDBORElVX3VjcGtRV05uemRYb2l0dGdhb2hSeVRFaUxiVjFLNU1FNVBFRVpU,English,,2,2013-02-16,Khaled F.,Windows Converter tool,"1. Where is it?  2. Add categories, for wikipedia.  otherwise, old database... Edit: thanks, but don't think it's easy for us, to make a windows converter, also, why not add categories? Wiki taxi is good with this, it has the 2 options available.",,
Aard Dictionary,Google Play,aarddict.android,bGc6QU9xcFRPRXlaQVgtWjFxQXFWdmJxVjhzNnZKQXR0WnZGQkZpeFFUTV9qV2tLRWlDZFdvZ1FiOW1ISzRDRVBLLWtkTkhSR1RDUUFLekZtMi1yaGdk,English,,5,2012-12-05,A Google User,Very useful,"I'm using this on my mobile as well as on PC to view offline dictionaries. It is very useful, fast and smooth worthy for 5 star. I will be delighted if it has NIGHT MODE option too.... to save power with amoled screens.",,
Aard Dictionary,Google Play,aarddict.android,Z3A6QU9xcFRPR1JpajZLMzN0b2hHa2c5bHZDcnlGVmtwS19iWTc0Tk9vaHlRSF9qbGJIb192V2NlLUdsYk1YOGhDQWhtV2oydG9LT19heGFvUDhockYz,English,,5,2012-11-30,Crispin Cooper,Extremely Useful,"Great for when you can't rely on a data connection for all your information needs. High quality free and open source software. Also use this on a Nokia N800, a linux laptop and have recommended it to friends and family. It's fast, light, clean and stable. Biggest drawback is that the full Wikipedia file is unavoidably huge but with flash memory getting cheaper all the time that shouldn’t be much of a barrier.  Highly recommended.",,
Aard Dictionary,Google Play,aarddict.android,bGc6QU9xcFRPRThPblZtSG9FaXUyWUh2NkcwQnE0Tnp3VUtEWTV4dGtjVjNkNDcyVnlpUVBzZ1lBdkFMVnhyZTRxelZ0OTBYTG1STDRJcGgzRFp4WW5B,English,,5,2012-11-19,A Google User,Excellent,Very easy to use and simple,,
Aard Dictionary,Google Play,aarddict.android,bGc6QU9xcFRPSHNMZTFVbUFHN2M0SzI5RFlveTdYaWM1TFhmQWFPVXJOQkdkRHc1VnJIa1N0Sm1hQmJNM3FETWhuNnQxRnpueXUwQm1NX2diTm96RXE4,English,,1,2012-09-14,A Google User,Waste,Its a waste application,,
Aard Dictionary,Google Play,aarddict.android,bGc6QU9xcFRPRkhTRXNaODBmWG1BMnlOYWhVRVo4NWFweDJDSkhXWWhkQmhyYV9VMnRtQUxuZW94U09vRXlRZVNfcG9WNkVBZ2l6Mk1DT2NLY0pXeDYw,English,,4,2012-09-10,A Google User,Galaxy,"Wikipaedia content is outdated,update it plz",,
Aard Dictionary,Google Play,aarddict.android,bGc6QU9xcFRPRUJVLW9Dd3phNW16WTFkamNUcmkydHk1Wkd5NFhkQjczWllyUnctZFdaQzEyS1NRa0hhemJsUDRoY000UEhyYVhzRVBNQlhJM3FlN2h1,English,,5,2012-09-09,A Google User,Best Offline-Wiki-App,Full Wikipedia (eng) needs 10gb off sd-space. Searching in the whole dictionary works superfast. Also math-formulas get shown right with this app. Thanks for this great app!,,
Aard Dictionary,Google Play,aarddict.android,bGc6QU9xcFRPRmhDTTcwUVlLMHlaMWFtSjV0ZWp1V3NsLV9zYkFielJOSjdFZ1ZOd3BhZHlaamFaZ0psamN5UEN4RmpKcmJTWEtyNm9xVDcteXVUbGxI,English,,5,2012-07-31,A Google User,Fantastic,"Fast, well formatted and a pleasure to use. I wish there was someway to browse the dictionaries without needing a search string.",,
Aard Dictionary,Google Play,aarddict.android,bGc6QU9xcFRPR0x2S2VWSWVTVHRIYlZpNzFDYnE0YkE3dHNheEMtbTBRZ2VMNG9rUGUtYW04VEpVdF9JQ3JZU0VEZzlYWVlXN2VjOWY1VWg3b2EydVJv,English,,5,2012-07-24,A Google User,"Guys, that's all we need!","very good, esp. as for technical articles: undistorted formulae unlike analogs",,
Aard Dictionary,Google Play,aarddict.android,bGc6QU9xcFRPSFdqamRNajJhekpGNW94WUQtYURpdDIyc0JJTDNsaExnN19FN0dHd2R5RkVEREg2UnJqcm9RVjRkYXc1aFljeTM3V094SlQ3OFZtUmhT,English,,5,2012-06-26,A Google User,Galaxy,amazing dictionary.,,
Aard Dictionary,Google Play,aarddict.android,bGc6QU9xcFRPSEhwUm9nYV91Q1RhS0xVT1piTzk3SzllSFp2UmZubFJLdjFmZ0huUWVpdzNyU2tRTE5GWDlJVUl3SF9zWl93UHlZdzZMX1JkU0RpLTB2,English,,5,2012-06-09,A Google User,Perfect for offline Wikipedia,"A recent (April 2012) compressed copy of the whole Wikipedia is available (takes just 10GB). The latest Aard version doesn't work on Android 1.6 devices like Archos 5IT/48, but the previous version 1.3.1 is just fine (the 1.3.1 apk can be downloaded from other sites).",,
Aard Dictionary,Google Play,aarddict.android,bGc6QU9xcFRPSGppdzRsU0lSSlZKcVpuNzdzZC1sVEdTNUFUeWNYdG9aOXBzb2dWN0E3YXNVNFVsaXp6bTRiYXZhRmsyWlgxREs4Q1p1QzdOdGFkUndj,English,,5,2012-06-01,A Google User,Perfect.,Open source. The only way to go.,,
Aard Dictionary,Google Play,aarddict.android,bGc6QU9xcFRPRTVfbTFwOVNFZEFiQ05zX05oX3FON0VITUxueVBueXRFVzlOWFlZZ3pSUmd5aWdzZFo2WDQ0b2I2MHhIR19xX1pTUEpFdVFuTkhGNEhm,English,,5,2012-04-15,A Google User,Excellent,"Fantastic program! Instant search results and fast, accurate rendering. Wish you could choose or temporarily disable specific ""books"". Pinch zoom would be great (you can zoom from the settings button). For an up-to-date, full English Wikipedia, Google ""aardc slow"" and enter the GitHub discussion. A kind soul has been compiling/sharing WP as ~10 GB torrents. Pocket full of awesome even without Internet access!",,
Aard Dictionary,Google Play,aarddict.android,bGc6QU9xcFRPSG1PTk8yckM5NTRMTDh2NDdOdDVZQVN4akdjR09FVVNnMUExeEVkc1dXdEttUTBRQlZ2Y01RbWEtV0ZIc0p2cVQ0U0NoRElCZkh6bnhD,English,,5,2012-03-29,A Google User,"",Great work,,
Aard Dictionary,Google Play,aarddict.android,bGc6QU9xcFRPSEEtM0YwU0FSQnFXU25CZXFnWmVOVkltQmcxWkI1bWFjcS1Ucl81MUVFOVNma0g1bFR6aDVjVnM5eGVpdWhDNFl1U0RwT2Rxa2JBTGhz,English,,1,2012-03-16,A Google User,Can't download dictionaries!,"Tries to download from app, starts download then says download unsuccessful! I tried directly from site online and it was still unsuccessful...",,
Aard Dictionary,Google Play,aarddict.android,bGc6QU9xcFRPRUJCb2JvS1dfX2RRdmh5VmlHMXlDT0poSU1PSktFbHlWTmxjYnpTWFlMQklVc3FLaXZGYXNXdjZUU2JqbzBwR0s2Q3VOTzdOR2dsSUxk,English,,5,2012-01-25,A Google User,"Great app, can't wait for updates","This is a very nice app with the simple english wiki(100mb) and wordnet(50mb). Would be perfect if I could copy selected text, it is in the linux version so I guess it just needs to be implemented.",,
Aard Dictionary,Google Play,aarddict.android,bGc6QU9xcFRPRjVjNzBIRnZscUJBS1kwekRIRDZhSGRRNEFmOTBGUzRVOFkyWDEzaEpDN3NLVEthYXpwRTFmWEtkc2J1RFppVXpUYlUydWc5RW5MMTVj,English,,5,2011-12-03,A Google User,better than the wikipedia-only readers,"Wow, Aard is much better than the two wikipedia-specific offline readers I've tried.  It's more stable, more accurate in its conversion of the wikipedia articles, and has more recent data.  Unlike the others, it looks like wikipedia online.  The only downside is the large data-file size (almost 9GB for the English Wikipedia).",,
Aard Dictionary,Google Play,aarddict.android,bGc6QU9xcFRPRjVRLU1HZ1c1THk5Z1ZJUHU1UDNRbVNsMUd1QlhqcjdZUUlkZDJNRXZ1N3ZPWTJHTGJfMzVadzI0bzdlWXZFeWdWT1dQVG83MkxpbkNo,English,,5,2011-08-09,A Google User,"","Excellent program: stable, accurate, fast and multiplatform too (has versions for Maemo, Windows and Linux that I've used, probably has others too).",,
Aard Dictionary,Google Play,aarddict.android,bGc6QU9xcFRPRWtnRkhIMUZiSWEtSTREMEMzVmRPZ1NRajVNTWI0dGRzRXVQUmpIeGtkdDBNMS15b1BVaUZzSnlGd1R4cUswZWV6R0Rpa2ljYWg4cXFw,English,,5,2011-05-04,A Google User,"",Best free offline dictionary/wikipedia!,,
Aard Dictionary,Google Play,aarddict.android,bGc6QU9xcFRPSGV0SlFmbUpwRWI3WkZEZ2Jmbk9NeThENUFQMmVROWhPZHFreUxNQU9wS0lqeWd4SzJwRXJVQVdUdGw1bkRfUHJ0b3Vrd1d2UTVLRW1I,English,,5,2011-04-17,A Google User,"","Works fantastically well with the 2,000,000+ entry Wiktionary!",,
Aard Dictionary,Google Play,aarddict.android,bGc6QU9xcFRPSHZpMGZpRmRnMTJkX1RGN2x2ZE5WVXJTVFlsdDNtNHhwMnY4d1dnSmZ0QnJ1YXBPcjQtOFFQR1E2eUdaRzA2cnJoUlBiM0tmekZFLVhr,English,,5,2010-10-17,A Google User,"",Great app. Big plus for non-english speakers: it will find words even when accents and umlauts are missing or misspelled.,,
Aard Dictionary,Google Play,aarddict.android,bGc6QU9xcFRPSExmOWNXUjVSWFRQZERMazZzck1MRFNJOE9DcFlJZjNrT3hjR1Q0MkQzRVNBazRObGtfc3BOX2QzM2l6eldtRERkWHBtTV9KcHVMSi1W,English,,5,2010-08-21,A Google User,"","Nice app, good job, works great on HERO",,
Aard Dictionary,Google Play,aarddict.android,bGc6QU9xcFRPR0JlaS1pVXJBLTctVm5YNkYya2NjQW5CbGpVdnY4aUhQNXdncXZoTGk3RWNYMGdmMFRUandUNGFqbnNMMmZ4WWJ3MzlQSWtLWFFQSUU0,English,,3,2010-08-05,A Google User,"","Good idea but load dict everytime the app is opened, very long and it says the english wiktionary from the website is corrupted...",,
Aard Dictionary,Google Play,aarddict.android,Z3A6QU9xcFRPRlhndl82ZnJPSHFYOUp6N3ZqdFAwT2lDQVVrdV9RLTlmZXd5aHktcER5cjVRcnJheF9ibk1hdzN6ZE5ZR3VmNE1WUDREbTRYZndPRTJ2,French,,5,2014-09-02,Cosmin Saveanu,"Open source, rapide et simple","Intégré avec des lecteurs d'ebook ou en app individuelle, fait très bien la recherche de mots. Pour l'anglais, Wordnet est très pratique.",,
Aard Dictionary,Google Play,aarddict.android,Z3A6QU9xcFRPSDhyZUZPQllTQ0dDSHJsek1URUd0UnU5TmQtejN5WlVkcGdXN3hYYTZuRk5RNlNLRnhvWGVMSDJCYkdiWEJxRmE1OEN2N01PX2ZfaGlP,French,,2,2014-08-20,Ready Boy,Dictionnaries unavailable,La plupart des liens permettant de télécharger les wikipedia sont indisponibles. A réparer de toute urgence. Most of the links to download Wikipedia are unavailable since several days. Please correct as soon as possible. Thanks,,
Aard Dictionary,Google Play,aarddict.android,Z3A6QU9xcFRPSHAxck42QWlrRXBFMThmVUttQXRtOFdvMWRuZGI4a1ZldGx2T2F1SHVpQ2U4NVc5UXU1eGhLdXl1Wl9zSENodnBKWkJ2OGZjRTRYbDdq,French,,5,2014-01-22,"",Génial,Merci pour le téléchargement du site sur la sd ext car c'est volumineux.,,
Aard Dictionary,Google Play,aarddict.android,bGc6QU9xcFRPRVlWcWQtdkFseGp5QW9TaHFUZ1VQTU8xb1dtYmtrTmNqSlRoS3kyNHVleFl1c295VVB2ZUxYSDhLbEgwQ3pTdm1VN1JtdlY5ZGJVbmtM,French,,5,2012-11-29,Un utilisateur de Google,Tout bonnement géniale !,Cette application est excellente. Surtout pour ceux qui comme moi n'ont pas accès à la 3G.,,
