Date,Language,Rating,Count
2016-07-13,Russian,1,1
2016-04-04,English,5,1
2016-02-23,German,5,1
2016-02-02,Spanish,5,1
2015-12-27,German,4,1
2015-10-04,Arabic,5,1
2015-05-27,Spanish,5,1
2015-05-24,Portuguese,5,1
2015-04-29,English,4,1
2015-04-20,German,1,1
2015-04-05,English,5,1
2015-03-30,Spanish,5,1
2015-01-15,German,1,1
2015-01-11,English,5,1
2014-12-31,Russian,5,1
2014-12-20,German,5,1
2014-12-12,German,1,1
2014-11-27,English,5,1
2014-10-05,Russian,5,1
2014-09-23,German,5,1
2014-09-02,French,5,1
2014-08-25,English,5,1
2014-08-20,French,2,1
2014-07-21,German,4,1
2014-07-02,English,4,1
2014-06-25,Spanish,5,1
2014-06-20,Russian,3,1
2014-06-20,German,5,1
2014-06-16,Italian,5,1
2014-06-15,Russian,5,1
2014-06-15,German,5,2
2014-06-13,German,4,1
2014-06-10,English,5,1
2014-06-01,German,5,1
2014-05-28,German,5,1
2014-05-24,German,5,1
2014-05-16,Czech,5,1
2014-05-10,English,5,1
2014-04-28,Italian,5,1
2014-04-23,Russian,1,1
2014-04-23,Chinese (Simplified),5,1
2014-03-09,German,4,1
2014-03-06,German,5,1
2014-02-19,German,5,1
2014-02-19,German,4,1
2014-02-18,English,5,1
2014-02-14,Russian,4,1
2014-02-12,Russian,5,1
2014-02-12,German,5,1
2014-02-12,English,5,1
2014-02-03,English,4,1
2014-01-27,English,5,1
2014-01-25,German,5,1
2014-01-22,French,5,1
2014-01-20,German,3,1
2014-01-15,English,5,1
2014-01-13,German,4,1
2014-01-08,Spanish,5,1
2013-12-25,German,5,1
2013-12-13,German,4,1
2013-12-10,Italian,5,1
2013-12-07,Polish,4,1
2013-11-11,German,5,1
2013-11-09,German,5,1
2013-11-09,German,4,1
2013-10-20,German,4,1
2013-10-02,English,5,1
2013-09-29,German,5,1
2013-09-24,Russian,1,1
2013-09-17,German,1,1
2013-08-30,Russian,5,1
2013-08-13,English,5,1
2013-08-04,Italian,5,1
2013-08-02,German,5,1
2013-07-28,Russian,5,2
2013-07-21,English,5,1
2013-07-03,Russian,5,1
2013-06-17,German,5,1
2013-06-11,German,4,1
2013-06-07,German,5,1
2013-06-03,German,5,1
2013-05-31,Russian,4,1
2013-05-26,German,5,1
2013-05-22,German,1,1
2013-05-15,German,5,1
2013-04-21,German,5,1
2013-03-28,Arabic,1,1
2013-03-25,English,4,1
2013-03-22,English,5,1
2013-03-20,English,5,1
2013-02-27,English,4,1
2013-02-21,English,5,1
2013-02-19,German,5,1
2013-02-16,English,2,1
2013-02-10,German,5,1
2013-02-05,Russian,5,1
2013-01-22,German,1,1
2013-01-20,Russian,5,1
2013-01-18,German,5,1
2012-12-22,German,5,1
2012-12-05,English,5,1
2012-11-30,English,5,1
2012-11-29,French,5,1
2012-11-24,Russian,5,1
2012-11-19,English,5,1
2012-11-17,Spanish,5,1
2012-11-01,German,5,1
2012-10-29,Russian,3,1
2012-09-26,German,5,1
2012-09-15,German,5,1
2012-09-14,English,1,1
2012-09-10,English,4,1
2012-09-09,English,5,1
2012-09-04,Russian,5,1
2012-08-29,Russian,4,1
2012-08-16,German,5,1
2012-08-05,German,4,1
2012-07-31,English,5,1
2012-07-24,English,5,1
2012-07-15,Russian,5,1
2012-07-08,Russian,5,1
2012-06-26,English,5,1
2012-06-09,English,5,1
2012-06-01,English,5,1
2012-04-15,English,5,1
2012-04-12,Italian,5,1
2012-04-10,German,5,1
2012-04-03,German,5,1
2012-03-29,English,5,1
2012-03-16,English,1,1
2012-02-19,Turkish,2,1
2012-02-19,Italian,5,1
2012-01-25,English,5,1
2012-01-11,German,5,1
2011-12-03,English,5,1
2011-11-15,Russian,5,1
2011-08-09,English,5,1
2011-05-04,English,5,1
2011-04-17,English,5,1
2010-10-17,English,5,1
2010-08-21,English,5,1
2010-08-05,English,3,1
