Word,Review Count,Positive Sentiment Count,Negative Sentiment Count
wikipedia,33,28,5
offline,30,28,1
great,15,15,0
wiki,15,14,1
noch,12,11,0
sehr,11,10,1
schnell,10,10,0
download,10,6,4
man,10,8,2
best,10,10,0
good,10,8,1
use,10,10,0
aktuelle,10,10,0
works,10,8,2
super,9,9,0
wikidroyd,9,9,0
словарей,8,3,3
reader,8,8,0
perfect,8,8,0
gut,8,8,0
search,8,8,0
thanks,7,4,3
version,7,7,0
needs,7,7,0
dictionaries,7,4,3
funktioniert,6,5,1
suche,6,5,1
bilder,6,6,0
keine,6,5,1
also,6,5,1
link,6,3,3
english,6,5,0
one,6,5,1
articles,6,6,0
well,6,5,1
fast,6,6,0
программа,5,3,1
toll,5,5,0
ausland,5,5,0
alles,5,3,1
leider,5,3,1
better,5,5,0
richtig,5,4,1
open,5,3,1
option,5,4,1
like,5,5,0
praktisch,5,4,0
per,4,4,0
buena,4,4,0
file,4,3,1
get,4,4,0
sache,4,3,1
wörterbücher,4,2,2
mir,4,3,1
deutsche,4,0,4
habe,4,3,1
gibt,4,4,0
immer,4,2,1
simple,4,4,0
found,4,3,1
data,4,4,0
add,4,3,1
danke,4,4,0
will,4,4,0
это,4,3,1
schon,4,3,0
program,4,4,0
artikel,4,3,1
excellent,4,4,0
wären,4,3,1
nice,4,4,0
mal,3,3,0
innerhalb,3,3,0
inhalte,3,2,1
mehr,3,3,0
jahr,3,3,0
format,3,3,0
ganzen,3,2,1
wollte,3,0,3
even,3,3,0
wikipedia,3,2,1
dann,3,2,1
über,3,2,1
kommt,3,1,2
Отличное,3,3,0
programm,3,1,2
seite,3,2,1
source,3,3,0
problem,3,1,2
please,3,2,1
possibility,3,2,1
find,3,3,0
macht,3,2,1
поиска,3,2,0
такое,3,1,0
что,3,1,1
datei,3,3,0
dati,3,3,0
einfach,3,3,0
10gb,3,3,0
wish,3,3,0
wiktionary,3,2,0
almost,3,3,0
just,3,3,0
results,3,3,0
fixed,3,2,1
понять,3,2,1
android,3,3,0
reader,3,3,0
Хорошо,3,3,0
awesome,3,3,0
nützlich,3,2,0
directly,3,2,1
geladen,3,3,0
meinen,3,2,1
aar,3,2,1
ohne,3,2,1
top,3,3,0
alt,3,2,1
статьях,3,3,0
can,3,3,0
without,3,3,0
отлично,3,3,0
hat,3,3,0
copy,3,3,0
free,3,3,0
looks,3,2,1
much,3,3,0
linux,3,3,0
stable,3,3,0
full,3,3,0
update,3,3,0
online,3,2,1
fantastic,3,3,0
accurate,3,3,0
Скачала,2,0,2
wordnet,2,2,0
datenbank,2,2,0
andere,2,2,0
wikipedia-artikel,2,2,0
play,2,2,0
difference,2,2,0
new,2,2,0
dafür,2,1,1
utile,2,2,0
diccionario,2,2,0
nix,2,0,2
direkt,2,1,1
beim,2,1,1
files,2,1,1
problem,2,1,1
zeit,2,2,0
führt,2,1,1
vorhanden,2,1,1
sagt,2,0,2
sinnvollen,2,2,0
store,2,2,0
integración,2,2,0
téléchargement,2,1,1
developers,2,2,0
rendering,2,2,0
know,2,2,0
browse,2,2,0
way,2,2,0
button,2,2,0
скачал,2,1,0
galaxy,2,1,0
сам,2,1,0
советую,2,1,0
сделать,2,1,0
information,2,2,0
wikipedia,2,2,0
sempre,2,2,0
spero,2,2,0
dizionari,2,2,0
windows,2,2,0
perfekt,2,1,1
application,2,1,1
instant,2,2,0
access,2,2,0
settings,2,2,0
two,2,2,0
pics,2,2,0
darstellung,2,1,0
offline-wikipedia,2,2,0
load,2,1,0
corrupted,2,1,0
think,2,1,1
choose,2,2,0
нет,2,1,1
igor,2,1,1
tkach,2,1,1
save,2,2,0
истории,2,2,0
хорошо,2,2,0
content,2,2,0
containing,2,2,0
right,2,2,0
now,2,2,0
entry,2,2,0
actual,2,2,0
shown,2,2,0
sito,2,2,0
géniale,2,2,0
old,2,1,1
