Date,Language,Rating,Count
2017-05-21,Polish,4,1
2017-05-20,Russian,4,1
2017-05-20,Russian,5,1
2017-05-20,English,5,1
2017-05-19,Russian,4,1
2017-05-19,Russian,5,1
2017-05-19,Indonesian,5,1
2017-05-18,Spanish,5,1
2017-05-18,Portuguese,3,1
2017-05-18,English,4,1
2017-05-17,Portuguese,3,1
2017-05-17,French,4,1
2017-05-17,English,5,1
2017-05-16,English,1,1
2017-05-15,Spanish,1,1
2017-05-14,Japanese,5,1
2017-05-13,Russian,5,1
2017-05-12,Spanish,5,1
2017-05-09,English,1,1
2017-05-08,English,5,1
2017-05-07,Spanish,5,1
2017-05-07,English,1,1
2017-05-05,English,5,2
2017-05-04,Portuguese,5,1
2017-05-04,Malay,5,1
2017-05-03,Spanish,5,1
2017-05-03,French,5,1
2017-05-02,German,5,1
2017-05-02,Spanish,5,1
2017-05-01,Chinese (Simplified),5,1
2017-04-30,Russian,5,1
2017-04-30,Hungarian,3,1
2017-04-28,Thai,4,1
2017-04-28,Arabic,5,2
2017-04-28,English,5,1
2017-04-27,English,4,1
2017-04-26,Russian,2,1
2017-04-25,Spanish,4,1
2017-04-25,English,5,1
2017-04-24,Indonesian,5,1
2017-04-23,Portuguese,5,1
2017-04-23,German,5,1
2017-04-23,English,5,1
2017-04-23,English,4,1
2017-04-21,English,3,1
2017-04-20,Indonesian,5,1
2017-04-20,Dutch,5,1
2017-04-19,Arabic,5,1
2017-04-19,English,5,1
2017-04-18,Spanish,5,1
2017-04-17,English,5,1
2017-04-16,Thai,5,1
2017-04-16,Portuguese,5,1
2017-04-16,Italian,5,1
2017-04-16,English,5,1
2017-04-15,Indonesian,5,1
2017-04-15,English,5,1
2017-04-14,Indonesian,3,1
2017-04-13,Russian,5,1
2017-04-13,Indonesian,4,1
2017-04-12,Spanish,5,1
2017-04-12,Portuguese,5,1
2017-04-11,Spanish,5,1
2017-04-11,Romanian,5,1
2017-04-11,English,5,1
2017-04-09,Turkish,1,1
2017-04-07,Russian,5,1
2017-04-07,Indonesian,1,1
2017-04-06,Indonesian,4,1
2017-04-06,English,2,1
2017-04-06,English,5,1
2017-04-05,Portuguese,5,1
2017-04-05,English,4,1
2017-04-03,Indonesian,5,2
2017-04-03,German,1,1
2017-04-03,Italian,4,1
2017-04-03,English,1,1
2017-04-02,Spanish,5,1
2017-04-02,Russian,2,1
2017-04-01,English,5,1
2017-04-01,English,3,1
2017-03-31,Spanish,5,1
2017-03-31,English,5,1
2017-03-30,Serbian,3,1
2017-03-30,Russian,5,1
2017-03-30,Bulgarian,4,1
2017-03-29,Indonesian,5,1
2017-03-29,English,5,1
2017-03-28,English,5,1
2017-03-27,Russian,5,1
2017-03-27,Indonesian,5,1
2017-03-27,French,5,1
2017-03-27,English,5,1
2017-03-27,English,3,1
2017-03-26,Spanish,3,1
2017-03-26,Serbian,5,1
2017-03-26,English,3,1
2017-03-24,Indonesian,4,1
2017-03-23,Indonesian,1,1
2017-03-22,Russian,1,1
2017-03-20,Spanish,5,1
2017-03-20,Russian,3,1
2017-03-20,Portuguese,5,2
2017-03-19,Portuguese,5,1
2017-03-18,English,1,1
2017-03-17,Thai,3,1
2017-03-17,Chinese (Traditional),1,1
2017-03-16,Slovak,5,1
2017-03-16,English,1,1
2017-03-15,Portuguese,5,1
2017-03-15,English,4,1
2017-03-14,English,4,1
2017-03-13,Spanish,2,1
2017-03-13,Spanish,5,1
2017-03-13,Portuguese,5,1
2017-03-12,Spanish,5,1
2017-03-12,Croatian,5,1
2017-03-11,Russian,1,1
2017-03-09,English,4,1
2017-03-08,English,5,1
2017-03-08,English,3,1
2017-03-05,Slovenian,5,1
2017-03-05,Russian,5,1
2017-03-05,Japanese,2,1
2017-03-04,Italian,2,1
2017-03-03,Japanese,4,1
2017-03-02,Spanish,3,1
2017-03-02,English,2,1
2017-03-01,Indonesian,5,1
2017-03-01,Croatian,5,1
2017-03-01,English,2,1
2017-02-28,French,5,1
2017-02-28,English,5,1
2017-02-27,Turkish,3,1
2017-02-27,Thai,5,1
2017-02-27,Thai,3,1
2017-02-27,Russian,5,1
2017-02-26,Thai,5,1
2017-02-26,English,4,1
2017-02-25,Thai,2,1
2017-02-25,Spanish,3,1
2017-02-25,English,5,1
2017-02-23,Spanish,5,1
2017-02-23,English,5,2
2017-02-21,English,1,1
2017-02-20,Spanish,5,2
2017-02-20,Russian,5,1
2017-02-20,Indonesian,5,1
2017-02-19,Chinese (Traditional),4,1
2017-02-19,English,3,1
2017-02-19,English,1,1
2017-02-17,Spanish,4,1
2017-02-17,English,5,1
2017-02-15,Polish,4,1
2017-02-13,Indonesian,5,1
2017-02-13,English,5,1
2017-02-12,Spanish,3,1
2017-02-12,English,5,1
2017-02-11,Spanish,4,1
2017-02-11,Portuguese,5,1
2017-02-10,Spanish,5,1
2017-02-10,Polish,5,1
2017-02-10,Indonesian,4,1
2017-02-10,Indonesian,5,1
2017-02-10,German,5,1
2017-02-10,English,3,1
2017-02-09,English,1,1
2017-02-09,English,5,1
2017-02-08,French,3,1
2017-02-08,English,2,1
2017-02-07,Japanese,2,1
2017-02-05,English,4,1
2017-02-04,Spanish,5,1
2017-02-02,English,5,1
2017-01-30,Portuguese,1,1
2017-01-30,English,3,1
2017-01-29,Spanish,3,1
2017-01-29,Russian,4,1
2017-01-29,German,2,1
2017-01-29,English,5,1
2017-01-28,Turkish,1,1
2017-01-28,Polish,5,1
2017-01-28,German,1,1
2017-01-26,Russian,5,1
2017-01-24,Spanish,4,2
2017-01-24,English,4,1
2017-01-23,English,5,2
2017-01-22,Polish,4,1
2017-01-21,English,5,1
2017-01-20,Spanish,1,1
2017-01-19,Russian,2,1
2017-01-19,German,2,2
2017-01-18,Czech,1,1
2017-01-16,Spanish,2,1
2017-01-15,Spanish,5,1
2017-01-15,Russian,5,1
2017-01-15,English,3,1
2017-01-15,English,4,1
2017-01-14,English,2,1
2017-01-14,English,5,1
2017-01-14,English,4,1
2017-01-12,German,1,1
2017-01-12,English,4,1
2017-01-09,English,1,1
2017-01-09,English,5,1
2017-01-08,English,5,2
2017-01-07,Russian,1,1
2017-01-07,Italian,5,1
2017-01-07,English,3,1
2017-01-06,Portuguese,5,1
2017-01-05,Russian,3,1
2017-01-05,Russian,2,1
2017-01-05,Russian,1,1
2017-01-05,Portuguese,5,1
2017-01-05,English,4,1
2017-01-04,Russian,5,1
2017-01-04,Dutch,5,1
2017-01-03,French,3,1
2017-01-03,English,1,1
2017-01-02,Spanish,4,1
2017-01-01,Russian,1,1
2017-01-01,German,5,1
2017-01-01,English,5,1
2016-12-31,Indonesian,5,1
2016-12-31,Arabic,1,1
2016-12-31,English,4,1
2016-12-29,Turkish,5,1
2016-12-28,Spanish,4,1
2016-12-27,Indonesian,5,1
2016-12-26,Russian,5,1
2016-12-26,Portuguese,5,1
2016-12-26,German,5,1
2016-12-26,German,3,1
2016-12-26,English,4,1
2016-12-25,Turkish,5,1
2016-12-25,Indonesian,5,1
2016-12-24,Russian,2,1
2016-12-24,Portuguese,3,1
2016-12-24,Arabic,3,1
2016-12-22,Spanish,2,1
2016-12-22,Spanish,5,1
2016-12-21,Portuguese,5,1
2016-12-20,Spanish,3,1
2016-12-20,Latvian,5,1
2016-12-19,Spanish,5,1
2016-12-19,Spanish,3,1
2016-12-19,Russian,5,1
2016-12-19,Indonesian,5,1
2016-12-18,German,4,1
2016-12-17,Russian,5,1
2016-12-17,Czech,4,1
2016-12-17,English,5,1
2016-12-16,English,5,2
2016-12-15,Spanish,4,1
2016-12-15,French,5,1
2016-12-14,Indonesian,3,1
2016-12-14,English,5,1
2016-12-14,English,1,1
2016-12-13,Indonesian,5,1
2016-12-12,Turkish,4,1
2016-12-12,Spanish,1,1
2016-12-12,Russian,1,1
2016-12-11,Spanish,4,1
2016-12-10,Spanish,1,1
2016-12-10,Spanish,5,1
2016-12-10,Russian,5,1
2016-12-10,Chinese (Traditional),5,1
2016-12-10,French,5,1
2016-12-09,Russian,5,1
2016-12-09,Russian,3,1
2016-12-08,Czech,4,1
2016-12-07,English,4,1
2016-12-06,Portuguese,4,1
2016-12-06,Japanese,4,1
2016-12-05,Russian,4,1
2016-12-04,Russian,5,1
2016-12-04,English,2,1
2016-12-03,Spanish,5,1
2016-12-03,Portuguese,5,1
2016-12-03,English,5,1
2016-12-02,English,1,1
2016-12-02,English,5,1
2016-12-01,Spanish,4,1
2016-12-01,English,5,1
2016-12-01,English,2,1
2016-11-30,Spanish,5,1
2016-11-30,Spanish,4,1
2016-11-30,Russian,5,2
