App,Store,App ID,Review ID,Country,Version,Rating,Date,Author,Subject,Body,Translated Subject,Translated Body
Easy Token (RSA),Google Play,app.easytoken,Z3A6QU9xcFRPRVNZZzYxb21udDAxLXU3RzI2M0x1X0pRZ1BUQlV5LUZkcWc1aG5CX3hIRV9Zakt0NEQ0RXVONkdpZ3NjYXRqR1k4UXVhNzZfUG1OV3FaVXc,English,,4,2017-03-15,El Farto,"","Been using it for years, here is a future update feature request: make it possible to import multiple tokens.. that will earn you five stars",,
Easy Token (RSA),Google Play,app.easytoken,Z3A6QU9xcFRPSElYUmsySXFDTm50bWo5X3VEQk1ZTEVfLWRlNkxiUy15aU5iTzljemp6cnd3Wlc0cENkSUUwTndtbkNIcUdWU2E2RFljNFkyT0c5aTRqS2c,English,,5,2016-12-09,Manoj Mishra,Amazing app,This is really cool app. It helped me transferring token from previous device without going through IT team.,,
Easy Token (RSA),Google Play,app.easytoken,Z3A6QU9xcFRPR3Yyd0RHeTRjRFc4UUJZcGtiRk9Ed3lBb0lmdE9rQzhCRkNQSGZpWVlIUTRrckxaNGZqalVxU2dDWjZfbklRV0dVdi1sTVBqYU02MndjQVE,English,,4,2016-12-08,Thanos Svigkos,Just one token,4stars for the moment because you cannot add more than one tokens at the same time. Unfortunately I had to change to another app due to this. If this is fixed it will well deserve the 5 stars.,,
Easy Token (RSA),Google Play,app.easytoken,Z3A6QU9xcFRPSDJOaFhvdk5Jc29DR0RHcDJhRDlqTVpsUk1MLTdYYWtDSXBPUkxBblZqOWllOXlMTlZScWU1Xzh3OVBLOXNiS3VuWUgzWFVLSzAyTURqOXc,English,,2,2016-11-09,Simon Alphonse,Bad Looks,Need transparent option for background and border.,,
Easy Token (RSA),Google Play,app.easytoken,Z3A6QU9xcFRPRThTQnJXSEo1d0FDelpCR3BUNGxlemYtcml0ZzdRWDV0Qm10cGVObDJUWGp5ZDl2VlFGTzUza2tXVnZIVTIxeGxwM1BYYmhNNm04QXlaLWc,English,,5,2016-08-30,Paul Hedderly,"",Do not even bother with the official RSA app. This one is brilliant.   The only improvement I would want is to be able to get tokens to tasker (via intents) so that I can push the token to my Pebble... Please Kevin - any chance?,,
Easy Token (RSA),Google Play,app.easytoken,Z3A6QU9xcFRPSF9xMVdxYmNxLTlROVhuOWFZZjV3ZXBacElFZWVNcDVZT1phV0hSd2l6ZGlWRmlwYTlZeVBjdk1LVlo5NmJBN1RjSGJZUkRsTVJtWTNGd2c,English,,5,2016-07-01,Phillip Simpson,Works great,The official rsa secureid app started being flaky with the most recent update. My it department asked me to reinstall and sent me a qr code. I used that code to reactivate the rsa official app and this one. But I much prefer this one due to the widget.,,
Easy Token (RSA),Google Play,app.easytoken,Z3A6QU9xcFRPRUtIck02YlE1LXJkR2w2WFRjUkRUemc4cVYtcnYyWFY2Z0tWeDF5bzhWSFRoczZKY3B2NXB3eTVnLTZfNW5nWEJkVjNEN1I2RWczRDczNWc,English,,5,2016-06-08,Shuvo Paul,"",works good. But I am wondering if is there any way to restore old device id.,,
Easy Token (RSA),Google Play,app.easytoken,Z3A6QU9xcFRPSFpTT3BhcDRLNmM1WDY3VXJ0SDVuYzQwZk1hLXVScEdYTHpjdUNRLTVwNW9kb01Zb0Z5bEZiV0dwWE1CTlNjdW1YbnFmV1prN3NSSFZ3TXc,English,,5,2016-03-22,Sherman Smith,Best RSA tool,"It's sad that the official RSA app doesn't work,this one works like a charm on all my Android devices. Save your stid file in Dropbox or your cloud storage and you'll be able to easily move from one device to another. As I said before, don't bother with the ""official"" RSA app. Thus app should be paid, but it's not.",,
Easy Token (RSA),Google Play,app.easytoken,Z3A6QU9xcFRPR2pWLVRPYW96ODE5UG45RnVkSjJwMmN3NXB4bEZVU3RmN0VmWE9tcWJ3djk1bDZDT2V2RkhfanlqeVJhQ0JoWnJfcWluNUl0dUYtLW1HTlE,English,,4,2016-02-08,Arthur Blakely,"",Like it so far would love it and 5 star if it gave android wear support!,,
Easy Token (RSA),Google Play,app.easytoken,Z3A6QU9xcFRPRTN5S21wR3h4QzY2Z0xGVzZWdUFXWElPTVBoTkJnckpIb280ZnI0cjFPYUw4ZzZjOS1saVduOE14ZW9XT1NqYVVfUkxFeWh5eEF3NW9DYUE,English,,5,2015-12-28,ÖMER DOĞU,Real time ....,Future time and I see,,
Easy Token (RSA),Google Play,app.easytoken,Z3A6QU9xcFRPRjZ3Qk5VUHFCRlUzdXp6QjBLalc3MUppRWJzOENjTm5tZXAyU2tDOWEtckpXb2swbHQ4OEp1NDNFUnlLRGJvVXpETFZUSjdkSnEtODBWZ2c,English,,5,2015-11-03,Martin Geisler,"","For people who use their RSA token frequently, this is a real time saver! This app comes with a widget for quick access to the token — the original RSA SecurID app has no such thing.",,
Easy Token (RSA),Google Play,app.easytoken,Z3A6QU9xcFRPSDcxY0t2OUdIQ084dzdldWVJR05ROFpPRXJvUHE0TzRLQlA5MXIyR3hqcm8ta2NJRXZGMWc5SEZwQW5IcHotT1c5d0xCN1VyN00xSjVuM1E,English,,5,2015-08-08,Akshay Paul,Great replacement,No need for RSA token conversion. stdid file will be taken up. Plus u get a widget. Truly amazing.,,
Easy Token (RSA),Google Play,app.easytoken,Z3A6QU9xcFRPR0FWMEVOVHlRMlk0aEpNS21qSTlBZ2ZTZ2stbm5zc0xwYmpvd1RWU0RqZGktWWl0V3dsRWVRQTAwbU5LRXFqTlozTUhjeWhfMjBKLURBSFE,English,,5,2015-07-30,Harikrishna Vukkisala,"",It is awesome app,,
Easy Token (RSA),Google Play,app.easytoken,Z3A6QU9xcFRPR1VmYmMxWmZlYkFsQXAtSzhlWnNPX3psallJeVRnck1RSDNsa09tZ1hnN1gzcnVBNWx6QnFkMnUzc2FvSDJEOWpGNU5jV0RlRWZtX2lqSFE,English,,5,2015-07-15,Ross Wilson,Works great- direct import of sdtid files,Better than RSA app!,,
Easy Token (RSA),Google Play,app.easytoken,Z3A6QU9xcFRPRmRHTTRwZzIwTjRlZFdGMUpsY0h1eEhiSl8yZ0xTdU1ac1E1Y1RCUnphcEM0ejFLbHV6WThvVnNERHNIVmt3UDdJLS1rTmhwNHhuVXhQemc,English,,5,2015-07-03,Jasvin Tan,"",Better than original RSA SecuID app. Able to import directly from folder. Thanks pal!,,
Easy Token (RSA),Google Play,app.easytoken,Z3A6QU9xcFRPRVlidmlfNEVvTmZUU1h0UXlObDRMOGstTEp1X24xRnF6aFZoSXc1elE1eU5EX2FHQ01EVzFndkM4YjBQZkdST0k1NUFLQXBfbjJwWGVsQmc,English,,5,2015-07-02,Константин Медведь,"",very good,,
Easy Token (RSA),Google Play,app.easytoken,Z3A6QU9xcFRPSHVxMEE4SURrZGItaW9rWXpQTEtuTkoyR0hYNHJfRThSYkhydFBWVFVwT3U1cXV0VXU1N3dyZU1EVDUzNXhwNlA4czZTdWRrR092U0NCaFE,English,,5,2015-05-08,vipul vadher,Great App,Simple to use....,,
Easy Token (RSA),Google Play,app.easytoken,Z3A6QU9xcFRPRk5iLVQ1aHVYaWIwbUZGd2VCWHhKQnlUbGxzaUFsdnRmbkhVU25LREJDYXpfSkpWQVZZMTVScjFQUnJya3ZsLTh1LVhzLUNRNnBjU0tBVlE,English,,5,2015-05-02,Gurpreet Grover,Great alternative for RSA Soft token,".sdtid file can be imported in this unlike the original rsa app for android. Thanks for this utility, it helps alot.",,
Easy Token (RSA),Google Play,app.easytoken,Z3A6QU9xcFRPRTN1YUhSakRVR0hDTEdEZEJuWjJZZXE0eW9zX2lKU3VyVUl3aFN5bHNRcDljNEgtYVBXZzFUbUdibk5GMzNSNWZoOWRpUE1wT0Uzc2JDQ1E,English,,5,2015-04-13,Kumar Ganapathy,"",Works like a charm!!!!,,
Easy Token (RSA),Google Play,app.easytoken,Z3A6QU9xcFRPR3lRSXV2aFRNUUZUVGthNGpUNWpKVHhLNGNuSE1FRGFaQkg5OE9uOEVjenUwdGZUZzdWdkphMndMalR6dERDMHUzY01MQnJEZnA1djRlTHc,English,,3,2015-03-28,محسن دانی,"","",,
Easy Token (RSA),Google Play,app.easytoken,Z3A6QU9xcFRPR1RCbXdlQkdWRVFiRXhaVXIyaktzakVCZFNqUHQtZWw2WU5FOFNIdUFEVHFJRmNPVnM1SGFkR1piZkxRcTJjeFNJdGgzSllLR3Y4WnpZLXc,English,,5,2015-01-16,Michael Hopper,Works great!,Finally a replacement for the long non-working official RSA token app!,,
Easy Token (RSA),Google Play,app.easytoken,Z3A6QU9xcFRPR01aaE1Xd0tjUHZtVC12aHBuVUFPWTFvendJWm5NOEdXMmg4RzFCbTNyNkpmXzdtWXBJUkNMejBfeERkZlBDNHVOeDZXdTE1NTZJWUNySHc,English,,5,2014-12-29,Terry Seiple,Great RSA Replacement for 4.4.4 OS,I tried to get the RSA native client working but it wouldn't import from either QR code or URL. I added this app and moved my RSA .SDTID file to my Samsung Galaxy S5 and was able to install and configure my device and was logged in with my software token in less than 30 seconds. Sure beats the heck out of downloading all the JAR files and nonsense that one has to do with the native RSA conversion application. GREAT JOB!!!,,
Easy Token (RSA),Google Play,app.easytoken,Z3A6QU9xcFRPRndoQUltdmJGNnBQTE4yTXk1NURxZmlOX3h6M3RHUFhBd3A1Tlc1Ym5MWmVlU3VxbkI3MDkzTzllNlEyVHVidG9oSUdTbXBmV2txUmhqX3c,English,,4,2014-11-04,Dale Kirkley,"Great app, but.....","Works well, love that you can have your code as a widget, but I would really like support for multiple tokens, like the official RSA app. It's a free app, with no intrusive adverts, so I certainly don't feel entitled to anything, just putting it out there. Thanks again to the dev for all his hard work.",,
Easy Token (RSA),Google Play,app.easytoken,Z3A6QU9xcFRPSFkyMEVLNXVqY2JYZ0E4V0dXWlo4ck84R3E0VkM1T1pEYnBwRW9LUk5WUXIxWFJ2ekZYQXN5Zk02YmxrTmExOFZNcnFmQUs2eTVtTGZVVWc,English,,4,2014-09-13,Gavin Meerwald,Another great app,Works well. Shame it wants to download Barcode Scanner when I already have QR Reader installed.,,
Easy Token (RSA),Google Play,app.easytoken,Z3A6QU9xcFRPRlJwNDRVYl81WDR5S1lFQUZQdXlOc0xLUmY3WXJOckFDaHRQNVNKeEdrdG5EdGI2dkx3ZDVhU3hRT3pMcW4yZk9WbVJVLVNNNGtkd1FSY0E,Spanish,,4,2016-12-05,Julian Mesa,Excelente,Funciono muy bien.,,
Easy Token (RSA),Google Play,app.easytoken,Z3A6QU9xcFRPSDBlMDVIeUFSVF9oMjlMcjdONGU5VGdKMXYzLWoxTkZnODRpbXVjVm1qZEFfb3VMbUFJMXB0TmtKTkZVbndod3FaUW42SV92aUVjNF9ScHc,English,,5,2017-05-18,John Zabroski,"",Sweet app,,
