Date,Language,Rating,Count
2017-05-18,English,5,1
2017-03-15,English,4,1
2016-12-09,English,5,1
2016-12-08,English,4,1
2016-12-05,Spanish,4,1
2016-11-09,English,2,1
2016-08-30,English,5,1
2016-07-01,English,5,1
2016-06-08,English,5,1
2016-03-22,English,5,1
2016-02-08,English,4,1
2015-12-28,English,5,1
2015-11-03,English,5,1
2015-08-08,English,5,1
2015-07-30,English,5,1
2015-07-15,English,5,1
2015-07-03,English,5,1
2015-07-02,English,5,1
2015-05-08,English,5,1
2015-05-02,English,5,1
2015-04-13,English,5,1
2015-03-28,English,3,1
2015-01-16,English,5,1
2014-12-29,English,5,1
2014-11-04,English,4,1
2014-09-13,English,4,1
