App,Store,App ID,Review ID,Country,Version,Rating,Date,Author,Subject,Body,Translated Subject,Translated Body
OpenConnect,Google Play,app.openconnect,Z3A6QU9xcFRPR1Zmek5CaWJROElQTWdDNVdHX252Yk5HX3B2cU16Tk4xX1RRSzBsQ25MMmNTUFltaXNKS3NfeHpDQU5vMTBRc2c3X1FIOUNXTXBLdmExX1E,English,,5,2017-05-20,Kiarash2Tab3,"",Kiarash2Tab3 Lenovo™🆙👑🗽😎👨,,
OpenConnect,Google Play,app.openconnect,Z3A6QU9xcFRPSEhJRXRPSU8ySEtqQ0tlejdDYVZrYzhHTy1uZGVWTm5sNG9vSkJhYWZzWmoyc3VCRG1UYWhRdWR5LTA0bERFRkFzVUFhSzhLMnJjMEZzU3c,English,,5,2017-05-18,manthan t,"",Blazingly faster than cisco anyconnect !!,,
OpenConnect,Google Play,app.openconnect,Z3A6QU9xcFRPRUZ6NzE3UWRtemlsU0EwaEQyUTZuX0tnaFJOSXJkNTNUNkpIcGlBU210eVlzSFFmcDhPTGs2VGtQMmVZZGgyQzRZZE54Rk1Od283VDc4b2c,English,,5,2017-05-16,"","",Needs to be updated.,,
OpenConnect,Google Play,app.openconnect,Z3A6QU9xcFRPRWtfSThVOFdBSTE1WG45SmNyV25ucDhSUHRNZTRMYTZxUmw0eC1UNk1JMUEyby1WcC1KUmpZdnNONUE2NTNlajBpaTFMSlB0RVh3bDJRZVE,English,,5,2017-05-07,From Concept To Reality,"",Best ever! I wish Cisco stuff was this good.,,
OpenConnect,Google Play,app.openconnect,Z3A6QU9xcFRPRnpCbldQMUhYLTRIcllaekR4bjU3M0N4NXBCemJwa0xMNmZVX21nTS02QnhHLXdIazhBajA0a1lITE5GTUFwWHdZbTVxM1h1eFU2VVJ2SWc,English,,5,2017-05-06,"","",Merge perfect pe asa si nu ai nevoie de licenta pentru mobil.,,
OpenConnect,Google Play,app.openconnect,Z3A6QU9xcFRPRWgySVpjdVM1ZXZMWkV3UTFDQjc3bFJ5dnR0WXVGY05FYU9PbXVMcWljejRVVkRMZ24tRDBFVUpsdFJ4SFp5TS12eVVwY1BPS0pwd0Eyanc,English,,5,2017-04-18,mohamad dhfani,"","",,
OpenConnect,Google Play,app.openconnect,Z3A6QU9xcFRPSDRaRjFJS01PMWExMEtzeVR2N3QtSDhpTXJDQ0RyczFHRWZiZFN5QXBobVBIc2FBNVR0U1RFd0tZT1lwSFhLbS1tajVaNFlsSUdDNkdoWWc,English,,1,2017-04-07,Bruno - Koricya,"",Seems working ok. Has not been updated for a long time.,,
OpenConnect,Google Play,app.openconnect,Z3A6QU9xcFRPSFlhbFFKODNUeEJHSG51QUJYcE55MHZoUV9Ia2ZzMGRoOGdsOFdMVVdCcGJJVkMyd3FmamluUThpTUJRcTRWdy1tMFlwQXhFNEdsMUFuUHc,English,,5,2017-03-21,"","",Iii,,
OpenConnect,Google Play,app.openconnect,Z3A6QU9xcFRPRjREZklyaFBWWlJfVThydG5VYUUyNjQwNWNqZ1pCYkpGNnJxejFMbTM4djY1bW1CWlh6Y2ZRWHFGYVFzQkcxWXd4dkgxUEZBZ2J6bTFxY0E,English,,5,2017-03-14,Fereydoun Gholipour,"","",,
OpenConnect,Google Play,app.openconnect,Z3A6QU9xcFRPRlR4bFViNWRQU09kWUdoeE9NLUJpc1NEUTZMUlM5a0ZhdmltZTBXUHV4UkpObW5PX0Jad3p4UUFKU1ktNE44VmpvNXJRREkyVGE0N1FSWkE,English,,5,2017-02-18,Quatham Mumin,"",Just awesome... Works great with my ASA5505 that only has a base license for any connect,,
