Date,Language,Count
2017-05-20,English,1
2017-05-18,English,1
2017-05-16,English,1
2017-05-07,English,1
2017-05-06,English,1
2017-04-28,Czech,1
2017-04-18,English,1
2017-04-07,English,1
2017-03-21,English,1
2017-03-18,Dutch,1
2017-03-14,English,1
2017-03-11,Russian,1
2017-02-18,English,1
2017-02-14,German,1
2017-02-13,English,1
2017-02-08,Portuguese,1
2017-01-25,Chinese (Simplified),1
2017-01-21,English,1
2017-01-20,French,1
2017-01-18,English,1
2017-01-11,Portuguese,1
2017-01-09,Arabic,1
2017-01-08,Spanish,1
2017-01-07,English,1
2016-12-30,English,1
2016-12-26,English,1
2016-12-25,English,1
2016-12-11,Portuguese,1
2016-12-10,English,1
2016-12-09,Portuguese,1
2016-12-01,Spanish,1
2016-11-24,English,1
2016-11-20,English,1
2016-11-18,Portuguese,1
2016-11-15,German,1
2016-11-15,English,1
2016-11-14,Portuguese,1
2016-11-09,Spanish,1
2016-10-28,English,1
2016-10-18,Indonesian,1
2016-10-15,English,1
2016-10-09,Arabic,1
2016-10-04,Portuguese,1
2016-10-03,Spanish,1
2016-10-03,Portuguese,1
2016-10-02,English,1
2016-10-01,English,1
2016-09-29,Portuguese,1
2016-09-23,English,1
2016-09-19,English,1
2016-09-14,Chinese (Simplified),1
2016-09-12,Portuguese,1
2016-09-12,English,1
2016-09-08,Russian,1
2016-09-07,Portuguese,1
2016-09-05,German,1
2016-09-02,Portuguese,1
2016-09-01,Italian,1
2016-09-01,English,2
2016-08-28,Spanish,1
2016-08-28,English,1
2016-08-26,Czech,1
2016-08-21,German,1
2016-08-21,English,1
2016-08-20,Portuguese,1
2016-08-20,English,1
2016-08-19,English,1
2016-08-17,Portuguese,1
2016-08-11,Portuguese,1
2016-08-07,Portuguese,1
2016-08-07,English,2
2016-08-06,English,1
2016-07-31,English,1
2016-07-29,English,1
2016-07-28,Portuguese,2
2016-07-27,English,1
2016-07-26,Arabic,1
2016-07-25,Hungarian,1
2016-07-25,French,1
2016-07-22,English,2
2016-07-18,Russian,1
2016-07-17,English,1
2016-07-16,Russian,1
2016-07-07,Spanish,1
2016-07-07,Indonesian,1
2016-07-07,English,2
2016-07-04,Turkish,1
2016-07-04,English,2
2016-06-20,English,1
2016-06-19,Greek,1
2016-06-18,Chinese (Simplified),1
2016-06-10,Arabic,1
2016-06-10,English,1
2016-06-04,English,1
2016-06-03,Chinese (Simplified),1
2016-06-01,Portuguese,1
2016-06-01,English,1
2016-05-26,English,1
2016-05-24,English,1
2016-05-14,Chinese (Simplified),1
2016-05-13,English,1
2016-05-09,Chinese (Simplified),1
2016-05-09,English,1
2016-05-05,Portuguese,1
2016-05-05,English,1
2016-05-04,Chinese (Simplified),1
2016-05-03,Chinese (Simplified),1
2016-05-01,English,1
