App,Store,App ID,Review ID,Country,Version,Rating,Date,Author,Subject,Body,Translated Subject,Translated Body
CAdroid – Import Certificates,Google Play,at.bitfire.cadroid,Z3A6QU9xcFRPRm9WNkdMQjFYNTJkMVdWYmRkMjVvc3REcUVqcDdFdHQwaUxDQzJGQVhrZmY4UFJMa01GZUswWDhPM2JVYmx6RTBXaXgwS1J6STRGYlpW,English,,5,2017-03-05,Ali Ziaee,"",its amazing thank you so much,,
CAdroid – Import Certificates,Google Play,at.bitfire.cadroid,Z3A6QU9xcFRPRjdadzF5VGpKUkwyQTFQVzNnQkJ3UWZ4cmNPdHJNQ21fa040ZkkyZ3lhSTR0TlNyVTktczhRUDJDTDk2SlMyZTFWLS0tZ0lLTzdqSURf,English,,5,2016-12-24,Regulus Chung,good,give great details and hints for not able import certificate,,
CAdroid – Import Certificates,Google Play,at.bitfire.cadroid,Z3A6QU9xcFRPR05BNFM2ZWRLSXJyeXRJMW1kYjNiN3pBUU8tY3hJM3dNY1g0eWwxRHZHNmpRNEFlU21FbURMQ3hrRTBWY21mcm9NcXZGRGVFS0JHUVpm,English,,5,2016-11-25,Ed Porter,Worked perfectly,Used this to quickly import my pfSense self signed certificate.,,
CAdroid – Import Certificates,Google Play,at.bitfire.cadroid,Z3A6QU9xcFRPR3puUnJMcDdOdUdVUmZsa0ZkbkNpQUd0VUR3SEdKdGU3ZHJUSldMZFhMLWpnZlVvaUJkN212Nm9URnNBdWNHbnhMNlNqLVFHSDB3X2Y4,English,,5,2016-10-19,Dimitri Mucznik,"",Does just what is needed,,
CAdroid – Import Certificates,Google Play,at.bitfire.cadroid,Z3A6QU9xcFRPSGRMcTV0NDRWbHhkRGMxODM2cDgwczBjZVRsTnhLWWtjNnF4Zm1OcnVPb2lDbnBjTHhLd2MwNUxFRW1MRmVldk5BYzd5d29rX3hWREhU,English,,1,2016-09-22,Gwyn Judd,Can only import CA=true certs,Not much use. How can you make a self signed certificate with ca=true that can be imported by this app,,
CAdroid – Import Certificates,Google Play,at.bitfire.cadroid,Z3A6QU9xcFRPR1VQWGhlZWwzWUhISEU4SWVCQUN6Q1dRbTRvSktLWFpBNFFQckc4V3FaOGl3b2RIcWZHeDdtM1FsR1Q2SlUzdWxSZjZ2NWtNUUhUbF96,English,,3,2016-09-13,Pete Ortega,App,It was good,,
CAdroid – Import Certificates,Google Play,at.bitfire.cadroid,Z3A6QU9xcFRPSFRuY0V2d3lRNjBtTHN0eXJvTkxVS00xZXl1SjhoSjNtWjdoMjVudmo3Nnk4dTRka25iSkdfNkNZS09rZVlPVEVNLVhaZ2RpMnlreVN0,English,,3,2016-07-13,Julius Alvarez,Good,Nice very help apps tnx,,
CAdroid – Import Certificates,Google Play,at.bitfire.cadroid,Z3A6QU9xcFRPSDNVNk4xNHpkLWNMOGtSMF9NZGMtRlZwR1FZczJYOXVZT2Z6czBBSU5YTkUtN0FRcHVUY1BncHdzejlTZEpDa0wtWGtPOThTQ1ZpV1kw,English,,5,2015-11-01,Dan Esguerra,Nice,Nice,,
CAdroid – Import Certificates,Google Play,at.bitfire.cadroid,Z3A6QU9xcFRPRk8xUjM1VnFPOENsZEtEOUFMQXJiQXZsRXRldzlaSVMycFNURFh0VTQ1Sm9PMWVJck9Dbjk2UWJSNk96NWV0MkxHS2NJTzdLR1NfVVFr,English,,5,2015-11-01,Blaine Brunelle,A+ app,great app,,
CAdroid – Import Certificates,Google Play,at.bitfire.cadroid,Z3A6QU9xcFRPSGRFQTVvdGRySmJCVnBUOEViOGZROWZsLXpWbUc1aEdLQi0ydGVpd2pjMGZhY0lVajJCS2M2a2NsaHhSMnNyelA1dkNxTEIwd0RjVFoz,English,,1,2015-10-31,Low Eel,Useless,Only imports ca=true certificates. So you need to use a ca certificate as a selfsigned. How to describe this?,,
CAdroid – Import Certificates,Google Play,at.bitfire.cadroid,Z3A6QU9xcFRPRnpjZlNfMjRScWJQY0lLTGdkTjFqekRSS2hfM0luVksxZ0stQldmRVpYME4xYXlMR2pKQVdYNGEycmJoRkZ5TUxrYlBIaHpaUGlHNTlP,English,,1,2015-10-02,K Seven,Subject line,I require an IP on my certificate subject and this app didn't want to accept it. ---- in response: my IP address is in the alternate subject name. That's the only way I could get it to work with caldav/carddav and place the certificate on my Android through the certificate menu. This app simply didn't accept it.,,
CAdroid – Import Certificates,Google Play,at.bitfire.cadroid,Z3A6QU9xcFRPR3Z1RGRoSXlESmg2VzZwU2hCRm9nTTMybWZoUmhyd01sZm9Bd3VmU3lRLXFZd2dsQzNfQVF4bWQ5OGRqcFdZbV9POE1UN1ZpcGxJaFdO,English,,5,2015-07-01,Fawad Shah,You people born to make lifes easier .keep it up,Great job.,,
CAdroid – Import Certificates,Google Play,at.bitfire.cadroid,Z3A6QU9xcFRPSFZLdVVIZk4wUnhlSGNaVllfUllIeU5VUUowMnZEdHNBRy1WTUtLRVlNT29WX0pGbXh1bGFVVUpILU5oaGtRWHhjTFk0WDgtX0ZKS1c5,English,,5,2015-06-30,Tara Bellafiore,Simple Tool,Simple tool that makes grabbing a cert easy. Thanks for making it!,,
CAdroid – Import Certificates,Google Play,at.bitfire.cadroid,Z3A6QU9xcFRPRVlpRGdZZ01JYzJFeVljdnExenNBU1VpQzlvQm9aWDBrcDhaajRwVGRJcXdfNlFubnU1NW1jSkc2ZDNiUjRxWmJPMjZWaV9NLU9teVNS,English,,5,2015-06-26,Luis Cuellar,Works perfectly,"Everything was done right on my phone, no need to export anything from my computer!",,
CAdroid – Import Certificates,Google Play,at.bitfire.cadroid,Z3A6QU9xcFRPRmZvcXBsQ3dFV0NaLXVGVWJ2ZUlvYWIyUEg0dnRUcmVSc0ZTUXZOU2dQSTg0T0NWel9nSkhEUEYzQmtpOGl5R2dRRGoyR2ZUb2ZZVWRo,English,,2,2015-06-18,Rustam Abdullaev,Very limited use.,Why can't I simply import from a file?,,
CAdroid – Import Certificates,Google Play,at.bitfire.cadroid,Z3A6QU9xcFRPRjRMU2ZZSzU0Nk81Z3lXRGh6MXhOR1dSZktVR1N0bERhZUtiNklzVWR6WE5UUkhubEl6UDBheVN4cm1TUGtrdGpqaE1Ja2lOeVlaQlJZ,English,,5,2015-06-12,Seijuro Akashi,Thank u very much,"Thank for the people who made this , u help many people a lot",,
CAdroid – Import Certificates,Google Play,at.bitfire.cadroid,Z3A6QU9xcFRPR2dHY1dSemJzazFzWHlpNC1FWkRaYldaS2FVVFF3RkJHZHY3SGpnMnpPbDdNcURkOWREMnZMbS1idW56T0N2eUpLcmRCeUYwZVpnNk13,English,,5,2015-03-26,philip dias,"",Works great. Using for my self signed certificate on my pfsense router's transparent squid 3 proxy with ssl filtering.,,
CAdroid – Import Certificates,Google Play,at.bitfire.cadroid,Z3A6QU9xcFRPRXVOVGhCN1labHVFelY4NEZ3aUQxZzBfNk40c1d5d01ZR1pzNmtNU08zbjJOQnVFQXNULUp3TFlOcTl3NFlya1F5TmllN3BjeFZhZ2FY,English,,5,2015-03-14,H. Liaw,CAdroid saved my day,"First of all, worked like a charm. Secondly, I have spent one whole day trying to figure out how to securely connect to a personal server. This is the easiest and a very clean solution.",,
CAdroid – Import Certificates,Google Play,at.bitfire.cadroid,Z3A6QU9xcFRPR1QzTUU4TkVDMzRYaVpsZkxwdWNZUVdpV1ZYSnJETHZrcnJWQ0ozWGRaSkRHWV9JY3VpR2pqbkFxMUd5bnc1VDJXMndZM1dQOS1URkto,English,,5,2015-02-03,Oliver Wurster,works perfectly!,does exactly what it says and is easy to use.,,
CAdroid – Import Certificates,Google Play,at.bitfire.cadroid,Z3A6QU9xcFRPRi1NUE4zTmF3NExFd2IyTDlvUFNhcXlKdlN6cVJaYUFtQ2RjTEtTREM3ZlItMWFvSUgtc01uVndLVHpnNEdjSzlkcXFLWW5FMUtiNkpF,English,,5,2015-01-28,samar parvaiz,"",Loved it,,
CAdroid – Import Certificates,Google Play,at.bitfire.cadroid,Z3A6QU9xcFRPR0FOMTdYT3QteTFKYVZ4aGl1bXkyN01GS2xfcGd2Y3plb3VCOTlDWU03eHpJTG0tN2p2SzVhSjFOTnhsRy0tY2pkQVA4MU0zeVpWRVRH,English,,5,2014-12-12,Sheila Bandol,"",Ilove it,,
CAdroid – Import Certificates,Google Play,at.bitfire.cadroid,Z3A6QU9xcFRPR0RvSF93OUxDcktjNFZMY1U3X3lmVG1zRE03RHR1RGpPaWNTRkEyRHU4SDFKdFhKVDFLZjVvQkJsb0NzMDJ2bGtJNGkxRlMzSG1OYzJz,English,,5,2014-11-28,nick merritt,Worked like a charm,"It really simplifies adding a self signed cert to the OS. Android sucks big time though and now required me to set up a pin code to unlock my phone, but I realize thats just good practice anyway. Now for a tablet that never leaves the home or you have permanemtly fixed to a wall that would be annoying as hell.",,
CAdroid – Import Certificates,Google Play,at.bitfire.cadroid,Z3A6QU9xcFRPRnZ0Tm9Gak0xZ2lWeVJGUnFRd29IODJNVGdNM0F3c0h5dVhXUzI4UmJMSVpTV0tCOUZEUDNlb2hPc2lIYXNDMDRTUTJhT2x4UGt1WXdl,English,,3,2014-09-12,Paris Edwards,A little confusing,"I'm sure this is a nice app, just can't figure out how to get certificate for my company exchange server.",,
CAdroid – Import Certificates,Google Play,at.bitfire.cadroid,Z3A6QU9xcFRPRk9uejJMakREa0ZGSzVkaEVTRGcwOU5jUFltdTVmTGg4QjBKeXE3OUV2TWJtckZvVTlZOWlBQWpGR3NfRzV3YjJ3NjZLUURjQ1JCR1J2,English,,1,2014-09-11,Samantha Cook,Didn't work,Didn't work for the certificate I needed. Ugh,,
CAdroid – Import Certificates,Google Play,at.bitfire.cadroid,Z3A6QU9xcFRPSDFrblk4UGhmWkl3bGFHY05kQkhTajV3OUZWMUoycnptbWJBajBfaVJZTXFzLUdHU2xpWXRIRXJHMVhaQUZYYkJGekxCcUxYNWlGVWlz,English,,5,2014-08-09,magnus anderssen,"",Just does what it says,,
CAdroid – Import Certificates,Google Play,at.bitfire.cadroid,Z3A6QU9xcFRPRkNXbzZDWjB0M0dkWXROQU1aVEhmOVZxaEVLcTR1QzhaekVyM2w4R0dlS21LQ2lKdEVUdzRIZldYQkxkU295Q1p4eVlNT1dVYWVUSkMt,English,,5,2014-08-09,Aculeo -,Works perfectly,Not much to say - does what it should do.,,
CAdroid – Import Certificates,Google Play,at.bitfire.cadroid,Z3A6QU9xcFRPRVVoY1laNm45UklWU1VVeGtQYV82blg3OTBUR29xSE1FYUNtZ0RqMFVJY2RZbXIwMXVfZFRIamR2ZkhUS2JLaG5Jd2pjc0ZmTXUwSERi,French,,5,2015-04-04,Dominique P.,Tres pratique,"Après qq ajustements fonctionne finalement bien avec JL 4.1  , merci les développeurs pour cet outils très utile",,
CAdroid – Import Certificates,Google Play,at.bitfire.cadroid,Z3A6QU9xcFRPR2M4LVFVU2pZLUtJblFQdWRqV2tQQmdIMTgtQ3dvdzVkR04wcXJHX00zMWJKWTd5dGxTTXlxUXpSXzN2eGlld0VPV2tuQ3k4b21xd2xD,French,,5,2014-10-05,Aubeline Pysz,"","Simple et efficace, what else ?",,
CAdroid – Import Certificates,Google Play,at.bitfire.cadroid,Z3A6QU9xcFRPRTVvdFg2Ym1WYnFxQWtUWjNET0g2bUx1R3puX3FybWFGM2Q5Tl92aUMzb2JoUkEtS2U2azJzbEdWN3NFV3daN3RmbkZzUW1wN0VyOVhX,Chinese (Traditional),,5,2017-04-08,TF Wong,"",Very good and reliable.,,
CAdroid – Import Certificates,Google Play,at.bitfire.cadroid,Z3A6QU9xcFRPSGxTWnhGdTNkN2hFQTRlVGxubTg2anhBLWc1QVNjR3NyR0ZkcTh4MVFjdUI1ZkdaV3E4MU5mS3lTWjhSNExKcDdUY3J4bVBrT1hrY3Fi,German,,1,2016-09-23,"",funktioniert nicht,kann kein selbstsigniertes Stammzertifikat installieren. sagt das er die ca nicht kennt,,
CAdroid – Import Certificates,Google Play,at.bitfire.cadroid,Z3A6QU9xcFRPSFU4RmY1QnNoSmN6ZmJqb1Y5c1YxSmtLcmhJNjNjWDdQamtPeVBWVWtTTDZ5ZmY5bXZkb19XSGZuX1p4LXRFdTZsM3FvNmhET05fWFJm,German,,5,2016-05-04,Tobias Caspers,"",Funktioniert prima zum Import eines selbst erstellten owncloud Zerifikats! :-),,
CAdroid – Import Certificates,Google Play,at.bitfire.cadroid,Z3A6QU9xcFRPRWhWSW9iREtEOVlTRXVnUXFmaWowU0RiMWRzZ3pOZmM5QjlvRk14bHRMaXJoM2w5U0Z6V1hySWx2STFORkVvNlpSOHVjR2dmWFF5dDFC,German,,5,2016-01-23,Adrian Enns,works very very goood! thank you,problem solved ^^,,
CAdroid – Import Certificates,Google Play,at.bitfire.cadroid,Z3A6QU9xcFRPRTNfNUdtTC1ZYk9TUzZyV2hpSWNHcHlTallOTGs5TDROMkJiLUpKMWNTekhjZm1aVjNmMDBnMktiMExoQnlIU0pSREtVa3M3dWN0V3Bx,German,,5,2016-01-20,Markus Adler,"",Funktioniert super.,,
CAdroid – Import Certificates,Google Play,at.bitfire.cadroid,Z3A6QU9xcFRPSFJDN3cxZ2pRUXM2OUYyajk0LVplRGJ4ZTl5N0RkWnN0b3ZpVkhvYjVGTmxybzZaQUFDMFdxMGpuazNhekNXX3pER2VLc29fX2ZoY1B2,German,,5,2016-01-01,"",Super Sache,"Vielen Dank,  die App ist wirklich eine praktische Hilfe und erspart einem Ärger!",,
