Date,Language,Rating,Count
2017-04-08,Chinese (Traditional),5,1
2017-03-05,English,5,1
2016-12-24,English,5,1
2016-11-25,English,5,1
2016-10-19,English,5,1
2016-09-23,German,1,1
2016-09-22,English,1,1
2016-09-13,English,3,1
2016-07-13,English,3,1
2016-05-04,German,5,1
2016-01-23,Thai,5,1
2016-01-23,German,5,1
2016-01-20,German,5,1
2016-01-01,German,5,1
2015-11-11,Polish,5,1
2015-11-01,English,5,2
2015-10-31,English,1,1
2015-10-02,English,1,1
2015-08-09,German,1,1
2015-07-30,German,1,1
2015-07-18,Indonesian,3,1
2015-07-01,English,5,1
2015-06-30,English,5,1
2015-06-26,English,5,1
2015-06-18,English,2,1
2015-06-12,English,5,1
2015-05-26,German,5,1
2015-04-12,Russian,5,1
2015-04-11,German,5,1
2015-04-04,German,5,1
2015-04-04,French,5,1
2015-03-26,English,5,1
2015-03-14,English,5,1
2015-02-03,English,5,1
2015-01-28,English,5,1
2015-01-16,Russian,1,1
2014-12-25,German,5,1
2014-12-12,English,5,1
2014-11-28,English,5,1
2014-11-22,German,5,2
2014-10-05,French,5,1
2014-09-12,English,3,1
2014-09-11,English,1,1
2014-08-19,German,5,1
2014-08-09,English,5,2
