App,Store,App ID,Review ID,Country,Version,Rating,Date,Author,Subject,Body,Translated Subject,Translated Body
OpenDocument Reader,Google Play,at.tomtasche.reader,Z3A6QU9xcFRPRnVqTWltN09sVlliWXRpSUhhcjYtNXZDZW1jU3c3Zk02MGswcFZPSUJXTzNXUWtRaDEwWHhvVUNjZFRJVHZ0eXdrZ2dpUTdpazJweFFZVGsw,English,,3,2017-05-21,Cat Forster,"","As a frequent long-distance RP'er, I appreciate being able to make and edit text documents on the go. However, I'm running into an issue I didn't have when I first installed this, about a year ago: the edit button is doing pretty much nothing now. As well, I noticed issues saving a few weeks ago, wherein I could make edits, but they weren't saved at all. Now I seem unable to edit, period, though the button for it still exists. FYI.",,
OpenDocument Reader,Google Play,at.tomtasche.reader,Z3A6QU9xcFRPRW44Q09fWGlHRmN2clpBSW84Nmk2dEg0SHRwOEprcUNlbHF2TEo3cXpYdnN1cEw3NThmZDR1U2xwdE9NU0oybE84SHFNMGN3OVdjZ2ZVN2hZ,English,,2,2017-05-14,Alfred Reaud,"","Was working well, now will not open encrypted LibreOffice spreadsheets, which previous versions did.",,
OpenDocument Reader,Google Play,at.tomtasche.reader,Z3A6QU9xcFRPRTU3UTJJTkp1b0F2VERtSnRmRnRiMzZfeXJCZDlVelJNODV0Z0dDWldjdlZfMld2WDN4dlJFY0wyQWVQbC01djFXVVlUUnNqd3V4U19aYi1B,English,,5,2017-05-14,David Goffredo,"","Works, which means it's better than most apps.",,
OpenDocument Reader,Google Play,at.tomtasche.reader,Z3A6QU9xcFRPSGNpNHhGUVJOTU9JUmhncDR3ZTlpUjVUSV9NSXd6YlhVandYdUxIeld4ZGlxOFpHLTBIUV80ZnNWREhXV0dpRVVEdGNKc3JONVBVY1Z2c2RR,English,,5,2017-05-13,Brian Johnson,"",Free and my go to doc app.,,
OpenDocument Reader,Google Play,at.tomtasche.reader,Z3A6QU9xcFRPR0N0Z0NPcDRJM1ZKZFpLcjE1cDBielZvaGp0MjdVekt3MU9Oa0ZucUpnQlZuMWhUbFlXQlJmVjZxeEdwUkxsR2NuUlJld1ZHZHgxeFdpYmlj,English,,3,2017-05-11,"","",Ok,,
OpenDocument Reader,Google Play,at.tomtasche.reader,Z3A6QU9xcFRPRU9oM2dFLUN0MVJuQmY5c0xINkNuVlFLQUpRQWtfRHJMVnBFUm5rRlF4dDB2TEZhemUwSDgwaE1ueDRTaUk2aGpVSlJBX0dqTFlYVWFuQTM0,English,,1,2017-05-10,Daniel R,"",Can't open odt files,,
OpenDocument Reader,Google Play,at.tomtasche.reader,Z3A6QU9xcFRPR25Hbm1ndXJ3VFdOSzBEVEI3Znh4TEtBRzNBdFYxUWl6UEhPekFQUktuWm1rNThiTEdJTjFBd1oyendndzFtbDRLRmw5LXFvT0hfaUYzQkE4,English,,5,2017-05-10,"","",Fain.,,
OpenDocument Reader,Google Play,at.tomtasche.reader,Z3A6QU9xcFRPRm94enI1bEVycVl0dGktQVdHZ3lXTUZCb2lCVm52QlpxU0FiUzg2UFRJdjZiSWxJcXJpekpJbG9pNXJjN0QyNS1PZnhLSXRxeUVkWUpXckxB,English,,1,2017-05-06,Joseph Was,"","Another non-integrated app. The only way it can be used is if you open the app first then use it to find the file in question and open it. From the device file manager the device reports ""you have no app that can open this type of file installed."" Useless - uninstalling!",,
OpenDocument Reader,Google Play,at.tomtasche.reader,Z3A6QU9xcFRPSC05VVI0WXV6VE9kdXNFVnE0VFVPVFRLQm1PTEotMmNWUTFJeHZBWWtKM2ZPa1V3bTZYVlJnTy1MVUxzbUNmNnBRejA5dHZiZEFvZXlsV2d3,English,,5,2017-05-03,Joshua King,"","Lightweight, works well.   Love it!",,
OpenDocument Reader,Google Play,at.tomtasche.reader,Z3A6QU9xcFRPSDdnWl9CQjA3cXFnMlBCbVM3VkwzeTJDanN2ZTloSkFub0ZERzdZMWZfdXc5Y2lwMlB0S0haUnNsRHFodDZEY2FpWlNQd09ibHF2Q2hpNXFJ,English,,5,2017-05-02,Linduaji Sembara,"",Good,,
OpenDocument Reader,Google Play,at.tomtasche.reader,Z3A6QU9xcFRPR3VHVjZRaHQxNlloSnIzek1TMm9KU2RBczB4MndCOGhlWk5VblA2TkxLV3lNT29lM2hFVG5fanZRWGViTXRFOEhtSEZuSEYtWmhhSFd6R3Fr,English,,3,2017-04-24,Margaret wangare Ndung'u,"",Good,,
OpenDocument Reader,Google Play,at.tomtasche.reader,Z3A6QU9xcFRPR2hCaUdxYi1EcFBrMXhnMUhpZU1VRFhremhxeDVZWHpEc0k0alFsLTh2dnd6aW12LThZVUljcDdLTVhiRlBqVXF4cUpPOFBMZXBRWUV3TVRv,English,,5,2017-04-22,jennifer deleo,"",I love this app! Easy to use.,,
OpenDocument Reader,Google Play,at.tomtasche.reader,Z3A6QU9xcFRPR3VCTGlTMzN3VHNuQUtvbWdGb2QtZDhhNG5TbHZCdFFBX2tNRHNlUTgyVUh2ZE5xbnNYb0ZlbG5VdWZZRS15bHhhTnRhM0llQk5WQUtudEhB,English,,4,2017-04-22,Darpally Narayanarao,"",It is a good app to read open office documents,,
OpenDocument Reader,Google Play,at.tomtasche.reader,Z3A6QU9xcFRPRU5KMnFxeG01dTlJandlb0kzTXJoRE5rS1lpZGtYOW9VMW9DR1o2a3ZZRzliX0VmeVJ0bmlncjVCcmd1LVRQdGtmbkFMOUpXb1JLOUlxWlNN,English,,5,2017-04-20,"","",Needed to read odt document it works,,
OpenDocument Reader,Google Play,at.tomtasche.reader,Z3A6QU9xcFRPRzdFaDNaWHBLem96NnFnVlJOYjh1el9XVVpUd21fa3hJTi1TUEpjY3k4NVBIakFjYzVjT1I2ZDc1cWpjSUVheXNfMjZZUzZseEVwUGx5ODZv,English,,1,2017-04-16,io situ,"","Doesn't read .doc files, if you deny wifi connection... They ask you to upload the file on their website to open... no, i did not try to allow this app internet connection ... a document reading app should not have wifi connection in order to work, or else can be catalogued as a privacy leak spam app... Uninstall",,
