App,Store,App ID,Review ID,Country,Version,Rating,Date,Author,Subject,Body,Translated Subject,Translated Body
X Server,Google Play,au.com.darkside.XServer,Z3A6QU9xcFRPRk1jY3hlbzJOWmRxNnBIYzhzbUdZMmZnT1dRdUd2ZWp4WjJtaXY0RkRaQkl3aFkzODRacW54amZLdUFhVWIxQTNiRjFYMEFDS2pwUGhFRlBN,English,,4,2017-05-12,yalong chu,"",nice but no update.hope the developer continue update,,
X Server,Google Play,au.com.darkside.XServer,Z3A6QU9xcFRPRWFiT3JyRi00STdRQzcyQ0tZcEJMRjhFa01JbHBHYldXUXo0M0NmRGx3ZVFmUmhoWWFmSURqOWstUTg5VmVweG1ncnQ2a0JaSHRUVHBlT2Fr,English,,2,2016-12-12,jan harald,"",really confusing,,
X Server,Google Play,au.com.darkside.XServer,Z3A6QU9xcFRPSC1Mcl9VYkJIS2VGZWZjN0d6SzhQRmhoU2xkMVZCUFlnZUo4b3dkZjVsNWVnRWNFR3o4SHhCdXNHUUh5WjQ0ZVlZQko0NDNJZFFBQUVLMl93,English,,3,2016-10-07,Roger Farrington,Font error,"I get an error when trying to run twm, but xterm seems to work on its own.",,
X Server,Google Play,au.com.darkside.XServer,Z3A6QU9xcFRPRjVRcmdXY1ZfUmdpZUY4ZEpSbDM3aWdzNmZLczRXR2d0M1hZYnJwNzRUZ1M2Y3cxenF0S0N5bTBDMVFvMG5vaHpsdUFLeG1BSklvUnFyVDdB,English,,1,2016-08-03,Jordan Dyckes,So bad it crashed linux!,"It just threw out frame errors and crippled my system, had to shutdown and restart. Not even worth your time.",,
X Server,Google Play,au.com.darkside.XServer,Z3A6QU9xcFRPSEJvSk13aHhBUXRwcFV5UWZpak90ZDRqZ29lZVpmNUVCZjM3U2pReTcyR2d6bk5QTHF3ZklMWDNUbjdWblJuR3FhMndVeXYxd3Q5RXlrQ0Rv,English,,1,2016-07-06,Gabriel Eiseman,Can't get working,"I started this app and then ran ""export DISPLAY=localhost:0; ssh -Y -v ..."" on Termux on my phone, but I get an error that localhost is not listening on port 6000.",,
X Server,Google Play,au.com.darkside.XServer,Z3A6QU9xcFRPSHpuZVp3QnV2RlkzQ3Azek0xT2FEZVNuRlAwejYxeXN4WjRpd01nVVV2ekVWU3FNTjNZZ3Ftb2Z3Y2QtQ24zZXdYbldmOXc2UkxFcEpCNFRF,English,,1,2016-03-20,"","",doesn't work with hardware keyboard,,
X Server,Google Play,au.com.darkside.XServer,Z3A6QU9xcFRPR0k5bVdjekVHMDBGc1FucWtPS3J1QmpXaXl1ejIwTHFMNE9uRzBYc1g1LVU1ZkhOVzhkY0FVNFZ2Q1pjdzFOY1VNOWpiUHYweGkxVXplRFBz,English,,1,2015-10-03,Yousafking Super,"",How to use apps on x server?,,
X Server,Google Play,au.com.darkside.XServer,Z3A6QU9xcFRPRnZfaEhQSXMteWRqbnpfZUNZVHlYRlBLcjV5TmZES2NoMjdOTWtiSUVOU2R3a0RxN3dSVXBoMmVOa0V0eXdtb01ZYTdCLW9LQ2VQMlVEcjlJ,English,,5,2015-06-29,Mace Moneta,"","I use this to turn old tablets and smartphones into small remote monitors for our alarm systems and other things. Works great, and very useful!",,
X Server,Google Play,au.com.darkside.XServer,Z3A6QU9xcFRPRllPeXJ1WW9fODU4LUdLWENWMUc5Y0xNTVo4MVpyM0tCeTRxb0xxNUpXYUVFVXFNelZBdUtWY3FWRWd5Y0kwRXNBQ2J6UFRXYWY1cl9pQks0,English,,5,2015-02-10,Ethan Jett,Awesome,I think that this idea is one of the greatest ever! It also takes up a very small amount of storage!,,
X Server,Google Play,au.com.darkside.XServer,Z3A6QU9xcFRPRXBLd2dDVGI1ZERadWdXckx5UXBoWTB5eTlSMEhxSllCbm10eGoyYUdsbVBUNkYwZldPVVVlT0ZCRGtMbXFWSmVwdjc2cFhCOTBrX2pPenNr,English,,1,2014-12-25,Sergei Zhirikov,Useless,Can't even run XTerm - hangs at any attempt and has to be killed. Completely useless.,,
