Date,Language,Rating,Count
2017-05-22,Turkish,4,1
2017-05-16,English,5,1
2017-02-21,English,5,1
2017-02-15,English,5,1
2017-02-14,English,5,1
2017-02-07,English,3,1
2017-01-28,English,5,1
2017-01-21,English,5,1
2017-01-09,Russian,3,1
2017-01-02,English,1,1
2016-12-27,English,5,1
2016-12-18,English,5,1
2016-12-17,English,5,1
2016-12-03,English,5,1
2016-11-22,English,5,1
2016-11-04,English,5,1
2016-10-26,English,5,1
2016-10-17,English,5,1
2016-10-11,English,5,1
2016-10-09,English,5,1
2016-09-16,Romanian,5,1
2016-09-13,English,5,1
2016-08-29,English,5,1
2016-08-28,English,3,1
2016-08-27,English,5,1
2016-08-13,English,5,1
2016-08-12,English,1,1
2016-08-12,English,5,1
2016-08-08,English,4,1
2016-08-05,English,5,1
2016-08-03,English,4,1
2016-06-29,German,5,1
2016-06-23,English,4,1
2016-06-10,English,5,1
2016-06-01,German,4,1
2016-06-01,French,4,1
2016-05-30,English,5,1
2016-05-28,English,3,1
2016-05-26,English,5,1
2016-05-22,English,5,1
2016-05-15,English,5,1
2016-05-14,English,4,1
2016-05-03,English,5,1
2016-04-30,English,5,1
2016-04-29,English,5,1
2016-04-27,English,5,1
2016-04-24,English,4,1
2016-04-21,English,5,1
2016-04-20,English,5,1
2016-04-19,English,5,2
2016-04-18,English,4,1
2016-04-16,English,4,1
2016-04-16,English,5,1
2016-04-15,English,5,1
2016-04-15,English,4,1
2016-04-12,English,5,1
2016-04-11,English,1,2
2016-04-08,English,5,1
2016-04-07,English,5,1
2016-04-07,English,4,1
2016-03-31,English,5,1
2016-03-22,English,5,1
2016-03-20,English,1,1
2016-03-10,English,5,1
2016-02-26,English,3,1
2016-02-20,English,4,1
2016-02-14,English,5,1
2016-02-08,English,4,1
2016-02-06,English,5,1
2016-02-05,English,5,1
2016-01-27,English,5,1
2015-12-27,English,4,1
2015-12-24,English,4,1
2015-12-21,English,5,1
2015-12-19,English,3,1
2015-12-07,English,3,1
2015-12-05,English,4,1
2015-12-05,English,5,1
2015-08-19,English,5,1
2015-08-18,English,5,1
2015-05-17,English,5,1
2015-05-17,English,4,1
2015-05-16,English,1,1
2015-03-22,English,5,1
2015-03-08,English,5,1
2015-03-03,English,3,1
2015-01-30,Turkish,5,1
2014-10-19,English,5,1
2014-10-19,English,4,1
2014-08-19,English,4,1
2014-08-17,English,3,1
2014-07-18,English,5,1
2014-06-21,English,4,1
2014-06-11,English,4,1
2014-06-01,English,5,1
2014-04-29,English,5,1
2014-02-24,English,4,1
2014-01-20,English,4,1
2014-01-17,English,1,1
2014-01-17,English,5,2
2014-01-15,English,3,1
2014-01-03,Polish,4,1
2013-12-30,English,4,1
2013-12-24,English,4,1
2013-09-27,English,5,1
2013-08-23,English,5,1
2013-07-09,English,5,1
2013-07-08,Dutch,5,1
2013-04-24,English,5,1
2013-04-15,English,4,2
2013-04-14,English,3,1
2013-04-14,English,4,1
2013-04-14,English,5,3
