Date,Language,Count
2017-05-13,English,1
2017-05-04,Indonesian,1
2017-04-04,Russian,1
2017-03-28,Italian,1
2017-03-21,Polish,1
2017-03-20,English,1
2017-03-19,English,1
2017-03-04,Turkish,1
2017-02-26,Russian,1
2017-02-21,Spanish,1
2017-02-20,Portuguese,1
2017-02-18,German,1
2017-02-13,Russian,1
2017-02-11,English,1
2017-01-31,English,1
2017-01-23,Indonesian,1
2017-01-19,English,1
2017-01-10,Russian,1
2017-01-08,English,1
2017-01-07,Italian,1
2017-01-07,English,1
2016-12-04,English,1
2016-12-03,Japanese,1
2016-11-30,Arabic,1
2016-11-07,English,1
2016-11-05,English,1
2016-10-20,English,1
2016-10-10,Russian,1
2016-10-06,French,1
2016-09-29,English,1
2016-09-19,English,1
2016-09-11,English,1
2016-08-29,English,1
2016-08-28,English,1
2016-06-16,Chinese (Traditional),1
2016-05-08,Hungarian,1
2016-05-02,English,1
2016-04-24,English,1
2016-04-19,English,1
2016-04-07,English,1
2016-04-06,English,1
2016-03-21,Polish,1
2016-03-14,English,1
2015-12-17,Arabic,1
2015-09-18,Russian,1
2015-09-12,Russian,1
2015-07-17,Russian,1
2015-07-04,English,1
2015-06-12,English,1
2015-03-22,English,1
2015-01-22,Turkish,1
2015-01-06,German,1
2014-12-16,Italian,1
2014-11-12,English,1
2014-10-23,Italian,1
2014-10-05,Russian,1
2014-09-25,Portuguese,1
2014-09-18,English,1
2014-09-10,German,1
2014-09-07,Russian,1
2014-08-03,Chinese (Simplified),1
2014-07-18,Russian,1
2014-06-25,English,1
2014-06-21,Portuguese,1
2014-04-28,English,1
2014-04-07,Portuguese,1
2014-04-07,English,1
2014-04-05,Russian,1
2014-02-22,English,1
2014-01-15,English,1
2014-01-12,Russian,1
2014-01-06,Russian,1
2014-01-05,English,1
2013-12-30,English,1
2013-12-26,Thai,1
2013-12-25,Italian,1
2013-12-12,Russian,1
2013-11-29,Spanish,1
2013-11-23,English,1
2013-11-18,German,1
2013-11-10,English,1
2013-09-13,English,1
2013-09-12,English,1
2013-08-21,English,1
2013-08-12,Russian,1
2013-07-18,French,1
2013-07-11,Arabic,1
2013-07-07,Spanish,1
2013-06-26,Arabic,1
2013-05-23,English,1
2013-05-18,Russian,1
2013-05-05,Spanish,1
2013-05-01,Russian,1
2013-04-18,Russian,1
2013-04-12,English,1
2013-03-25,English,1
2013-03-23,English,1
2013-03-22,English,1
2013-03-18,Polish,1
2013-02-21,Thai,1
2013-02-13,Japanese,1
2013-02-02,English,1
2013-01-26,English,1
2013-01-05,Spanish,1
2013-01-01,French,1
2012-12-14,English,1
2012-08-10,Chinese (Simplified),1
2012-08-05,English,1
2012-07-20,German,1
2012-07-17,English,1
2012-07-12,Chinese (Simplified),1
2012-07-03,English,1
2012-06-04,Greek,1
2012-06-03,English,1
2012-05-10,Italian,1
2012-03-17,Polish,1
2012-03-14,English,1
2011-11-19,German,1
2011-09-23,English,1
