App,Store,App ID,Review ID,Country,Version,Rating,Date,Author,Subject,Body,Translated Subject,Translated Body
WiFiKeyShare,Google Play,be.brunoparmentier.wifikeyshare,Z3A6QU9xcFRPSHNtdjNpRUVxZTJtZmVvTTQzakg3QVdtZF84LTdHSnhKOURBcDFWVWE0SG9TcXlyYThKQjdTUlc0UmJqckZmeVo1Qk40T09ENDdhR1YwSnVZ,English,,1,2017-04-29,"","",Fake 🖕,,
WiFiKeyShare,Google Play,be.brunoparmentier.wifikeyshare,Z3A6QU9xcFRPRTQ3N3N3bGF0U3BJS2RXNjlMSUZzSWdidzdXUU1URFdERnJvUkd2NXJweDMtbjdSZ3JjT0VGdFE4ZzFIY2FrX25WX0FUeHE3ZGh2UWMxdG9j,English,,5,2017-03-30,Ricky Algo,"",Detect access all password at wifi network,,
WiFiKeyShare,Google Play,be.brunoparmentier.wifikeyshare,Z3A6QU9xcFRPRm5TbS1sNXMwMUlMd2ZwRnA0alJadUQ5LXRjc19uWXY5R3JJVG0zM29ERmV0cUp3LU40RnhSajhmRmJwOGJvWjQxUDZUNmxpV3cwM19EbzBB,English,,4,2017-01-28,Rahul Singh,"",This app is crashing,,
WiFiKeyShare,Google Play,be.brunoparmentier.wifikeyshare,Z3A6QU9xcFRPRU5KaENuYVcwMlJ1TjNWZjNwd3ozODYxSDFYOHQyWlZCOWhrRlUtRkhiVTVzcDROcmNIdDZxTlMzTERaS3A1VjdRRGhoMkZDS183ZEtYOUtz,English,,1,2016-10-13,ilyas khan,"",Waste of time,,
WiFiKeyShare,Google Play,be.brunoparmentier.wifikeyshare,Z3A6QU9xcFRPR3JQWDFMNF9wdDBYNXVlM3hRLWhNbk1fdDdaYmRZdTROajI2c1JqQ29semJnZmtNMU9iSGN4QjZYZ1VXOUlmdjkySUpxTDBveS0yU1NGWk1v,English,,1,2016-08-12,rahul Âthwáñî,"",Root permission?,,
WiFiKeyShare,Google Play,be.brunoparmentier.wifikeyshare,Z3A6QU9xcFRPRjVGdnVmOWl4YlA3cWZxdXloMEVKVWFNa084Z3IyaFlOT2VkcU5MQVk5VDllM18yRnBUZ1lfaElpcEl6Unk3QjBPYmhsbWtUY3Rrc05KZzgw,English,,5,2016-05-29,Martin Hall,Excellent little app,"Very useful, I like the way the whole app can be locked with a pin or a fingerprint (on a device that has a fingerprint scanner of course).",,
WiFiKeyShare,Google Play,be.brunoparmentier.wifikeyshare,Z3A6QU9xcFRPRmhiWU9qTER1cks0MV9LV09KRDEtamV5SGhiVk95OEdZb1VSTFcxRDY4M0RKUUhOUlVrdVpXem8zdXNfdzRqbHI1VC15ODdhUlRoaGt6M0xZ,English,,5,2016-01-28,Ibrahim Toure,"",Useful for sharing wifi passwords on the go !,,
WiFiKeyShare,Google Play,be.brunoparmentier.wifikeyshare,Z3A6QU9xcFRPRnZQZWlyTFZtMXZnTWFzQU5KR1I5N2RhODJCS2pMc2FPOFBLNHp1eGpGZ0ZuYkxWTFhYazU3eGRKWHpGSHdjMTZxM3BfdXZJNGZiVkJzV09N,Dutch,,5,2017-04-15,Tawfeeq Van der Veldt,"",Super goed maar als je even het verkeerde wachtwoord invoert is de qr code ook verkeerd,,
WiFiKeyShare,Google Play,be.brunoparmentier.wifikeyshare,Z3A6QU9xcFRPR1lqRlBvUjYwS3NqeXNQWGk0ZkRlSzI0eEZrRTFXR213SmZ0X0Ftc19pWGFaNmZjLUhoRHd5NHpzWWllMFgzamhLb2NzaXN3SlplUEVVVDFv,Dutch,,4,2016-05-30,Mich Capich,"Very handy and easy to use, but not complete...","Great and handy app. Works as it should, with PIN-lock. Just superb! But I miss 2 options... Order the list, with known passwords first/at top, and a backup-feature (encrypted with the same PIN-lock?). Implant these, and 5 stars will be yours! 😃",,
WiFiKeyShare,Google Play,be.brunoparmentier.wifikeyshare,Z3A6QU9xcFRPR2lKMmlGV1ZaanVxdXY0b2ZlWWpyOHpTcy1Yb3ZfMWMzNmlJZzhGVHFzVEpVWlZ5UWkwZUlIYXY4MlNoekxmTlN0LXNENzNNQ2FVZWlPUUZr,Dutch,,3,2016-05-29,Fifame Jemima,handig,handig! maar nu nog een delete knop voor oude netwerken!,,
WiFiKeyShare,Google Play,be.brunoparmentier.wifikeyshare,Z3A6QU9xcFRPRl9kYUlTZ0I0LUhTajZhbzd4dW02VnBtS0FrSllXTDlYaVFxbDY4WUFDZEJ2S2VqeWNVREMwdkxnR0R6eFc4RHZ0WTRZeE11V1BROGhRWkFR,Arabic,,5,2017-03-13,Alaa Khaddour,"",♡♡♥♥♥,,
WiFiKeyShare,Google Play,be.brunoparmentier.wifikeyshare,Z3A6QU9xcFRPRkU5SGV6cmFvRnVQekJsZ19kWEJxUTdyM2J4STM4Mk84RG5IWFVCVlpsbk5NQnl3eVZ5ZnJ1LVd5NnV5cUlzX3YxUjFkRHpNRjVDeS1ONWV3,Bulgarian,,5,2016-01-26,Орлин Якимов,Awesome!,Work fine and do just what it says in description.,,
WiFiKeyShare,Google Play,be.brunoparmentier.wifikeyshare,Z3A6QU9xcFRPRkd2Y0l1aGp1MFVqekY2S3hjMFJqSDRiMGxTWmVXS3Y1RzB6QzV2bE0wV2dpZkpYNmQ5dUFpRkdvQ1FOcEdIaUlEd21qRzN1R1JReFZlZm4w,Indonesian,,3,2016-11-20,Adang Paser,"",ok,,
