Date,Language,Count
2017-02-06,English,1
2017-02-04,Russian,1
2017-02-01,French,1
2017-01-24,Spanish,1
2016-10-24,Dutch,1
2016-02-24,English,1
2016-01-29,German,1
2016-01-20,English,1
2016-01-07,English,1
2015-02-02,French,1
2015-01-31,Dutch,1
2015-01-31,English,2
2015-01-30,English,1
2015-01-29,Italian,1
2015-01-26,English,1
2015-01-23,Italian,1
2014-11-01,English,1
2014-02-24,French,1
2014-02-12,French,1
2014-02-04,English,2
2014-02-01,English,2
2014-01-26,Italian,1
2014-01-25,Italian,1
2014-01-23,Spanish,1
2014-01-22,English,2
2014-01-17,English,1
