App,Store,App ID,Review ID,Country,Version,Rating,Date,Author,Subject,Body,Translated Subject,Translated Body
Shutdown (ROOT NEEDED),Google Play,be.ppareit.shutdown,Z3A6QU9xcFRPSFEzTzNwMHpyeVVYcTVQbDJYUF8wdTViZUhTRGlWMW1XUzY5WVNKcVF2c2RhU1ZCYnpZTFlKelMtZlcwMllBTC1pU1VKX1lvUjh6dW1QQkRJ,English,,1,2016-12-30,Dyane Noble,"",doesn't shut down only reboots,,
Shutdown (ROOT NEEDED),Google Play,be.ppareit.shutdown,Z3A6QU9xcFRPSFk3UVFVUXZ5TklXQlpkWHU3eVFsSkh1QmlMZXNfbURIYXNMYmsxQUNjV2N1QktSWFJuM0h4SFBVcDRzX25wcmNjc3hpbkVveXhqZ2dpOFg4,English,,5,2016-12-29,uttam manohar,Good,Works as it says,,
Shutdown (ROOT NEEDED),Google Play,be.ppareit.shutdown,Z3A6QU9xcFRPSG1ZTmxwZUlWTGtCLVNuN25UTjZKSndNUnpwdzF6ckhnTjNOUllKZ3hJN19JcnlfcUpaQTdaRUdzTmN3VHY4dUxvOU0xMG1fNVg5OExIRTRv,English,,5,2016-11-25,Faw Aquino Aquino,Shutdown,Faw AquinoAquino,,
Shutdown (ROOT NEEDED),Google Play,be.ppareit.shutdown,Z3A6QU9xcFRPRnNNOFNhVk9lbGwtU285WDA5VnQ3cG1uN0p4clkyUi14ZFJ5djdtbW9yd1pjSTRDLUJYbE1KNW5QS2JzVEpzRkdMeU5NR2REcTJTZ3R1emxn,English,,5,2016-11-09,Govenda Osei,Bb,V,,
Shutdown (ROOT NEEDED),Google Play,be.ppareit.shutdown,Z3A6QU9xcFRPSE1VZDVQYnV5UlZ2THMyUTZrb2QtRnNJMnUzVi00aENyb0VxVzBBdEp5LVRjOTlDRUplUW1NdDBkUUR0ckdsSUxpZEJ5U3NnUXhDWTlJNmVz,English,,1,2016-08-26,E Kishore,"",It's not working,,
Shutdown (ROOT NEEDED),Google Play,be.ppareit.shutdown,Z3A6QU9xcFRPRWlzREk5RWNhb1FQcGpkN1ZxQmxZOEU5VHl0Z2xMUFJvOVJyRVR2cW5CR2R6U2JzSzdDdE0wVGx6bEJkZ0M3c2o5WlVXV25KY09RYWZFNVlR,English,,3,2016-08-24,Alain Li,Doesn't work on Kitkat,"This app does nothing on my rooted HTC with Kitkat, the counter runs but stops at 1 second then nothing happens. None of the buttons works.",,
Shutdown (ROOT NEEDED),Google Play,be.ppareit.shutdown,Z3A6QU9xcFRPSFRTZGlMZVl0VXIwUDNPQUx4MDhuZzdQTUEyR0tycGR0cmRVaTd5c2NaeHhjdHVhZzdKNHNHNUhxY3JfSlBzbWxwbVBtWnloRFhPSExDNXpj,English,,5,2016-06-21,Toriless,Simple and works,"No permissions required, not spyware, and doe exactly as needed.",,
Shutdown (ROOT NEEDED),Google Play,be.ppareit.shutdown,Z3A6QU9xcFRPRjhlREFvcWtiaXF0NDdQSENpaThpUWFJbExyN0hNajI3and3dHJDc1RXTHJSM3BaUVVMU09YYmd5WEJzT05IS3JGRUJPMXVLaWRiUXBzZEp3,English,,5,2016-05-06,Hayden Thring,"","works on my rooted phone, at first was like i dont want the warning but then realized it better for my use anyway, maybe add an option to skip ?",,
Shutdown (ROOT NEEDED),Google Play,be.ppareit.shutdown,Z3A6QU9xcFRPRlJJenhVNkw3OWtobUNuMFRQR0ExNHJGM1dPWk5OVnp1dndvb2hQeHhISXZfUS16ZkJGdjJKM0pHTG43S0VtTm51Rm1PZGlCT1VzelcwQUQ0,English,,1,2016-02-11,Perry Linda,"",Thank you for your effort anyway.,,
Shutdown (ROOT NEEDED),Google Play,be.ppareit.shutdown,Z3A6QU9xcFRPRmV5LWYyVkFwdTJtVHkzRWhOQTRlMEtkSHpIeUdwWFU4QzBjU1BMYmtNb201NTJEbVJ0X2F6TXEyYnRyWGVoSE5mVTZXNjFNUDZlTTlhQUZv,English,,5,2015-09-15,Bisnu Barai,vvv,gggg hhh,,
Shutdown (ROOT NEEDED),Google Play,be.ppareit.shutdown,Z3A6QU9xcFRPRmZjMnAyNDFhRW4zYTJkWkhxVENOUUZnZkVJMXpqb29jdE80WlJVQ2ViTllmbXI4UWlINHUwRnRILWJ4UmxTQ0RpZUNaY3otYmU0Q3ZiWUFB,English,,5,2015-07-14,Patti-Sue Rux,"A real simple app, a must have app.","This app is really GREAT, does exactly what it suppose to do.  Just remember to root your device in order for it to work.",,
Shutdown (ROOT NEEDED),Google Play,be.ppareit.shutdown,Z3A6QU9xcFRPRzNoenZ5Qm9hQmJsNTNQZzdfRElDVVltckFyMzB0SllkN2FZSkFXRm9vZks1MlZsalR2dW5xY015VmtvQ0VvNkFhQ0pSSllXc3JETVJxNmpN,English,,1,2015-02-06,Bahman Jalili,"",Only for roooooted,,
Shutdown (ROOT NEEDED),Google Play,be.ppareit.shutdown,Z3A6QU9xcFRPRW1xNVlocDZpMXYwREttUVgyajJ2ZXhReGtWUTZxXzJzNzhqdS0wSW96XzFGbkc1MENSekRES1FiWHdteUJ1c1NJbTNydG5rQkMwcGFHQUVZ,English,,5,2015-01-25,RYAN AVERION,"",Loved it,,
