App,Store,App ID,Review ID,Country,Version,Rating,Date,Author,Subject,Body,Translated Subject,Translated Body
FTP Server (Demo),Google Play,be.ppareit.swiftp_free,Z3A6QU9xcFRPRmg4UWUzd3Z3V3B4SWZoZHFaMGNvWW1nRlJ5enNsb2NXQW1jMnRBRC01SUdlUHpFcVBVNFN3QndsYmdYUXFIZjJFOXEyUERiYXZydlE3UlE,English,,2,2017-04-19,"","",Doesn't allow to specify the interface/IP address when wrong.,,
FTP Server (Demo),Google Play,be.ppareit.swiftp_free,Z3A6QU9xcFRPR3VsZkhJNlcyWElodFQwOHZ3SHFZNGZCQi1EUFFWWnp2bW1RbTVUNnB0REZ2bnRzNEFoTkxiZ1VrZk91WmdHclF5NG8tZEw5cmhIUjJUZVE,English,,5,2017-03-15,Jason Edson,"",Works great.,,
FTP Server (Demo),Google Play,be.ppareit.swiftp_free,Z3A6QU9xcFRPSDhTR3BkcV9QLVE4emVUNzhRSEM2YjBWXzUyWnFwU2sxVzZBYmdMMk1rN0d4SW5mTUdtaWhnMlhnemMyS0VMMWRseWpFM1ZCdDROT1Q5MHc,English,,3,2016-12-29,Andy Moulton,I don't know why but...,Somehow this app has been turning itself on for no reason lately...!,,
FTP Server (Demo),Google Play,be.ppareit.swiftp_free,Z3A6QU9xcFRPRnE3SHFNQ01qSWxRYjBEN2pkMWdBV3duUWpMb2QyVURtZ2Mzd1hsLVBGOXJPRkpOaVByNEFVZ1VRS0ZnTEVSTDlxb1FPV3dVM3hCa05Camc,English,,5,2016-10-09,Hariom Yadav,"","Simple, small size, and works fine.. overall awesome..",,
FTP Server (Demo),Google Play,be.ppareit.swiftp_free,Z3A6QU9xcFRPR2JTZk9WOFBTYWVXS2pVenMwc1MtS2c5d3VaNmJDeXdHQnJ1ZjJxd195aXpIb2M3SEx4Qmk5RmVkZFZkejJhbm1ycUNfN2JFNkZwMDVJSWc,English,,4,2016-09-26,Krishna pokkuluri,Not getting connected these days,It says could not connect :( what am I supposed to do,,
FTP Server (Demo),Google Play,be.ppareit.swiftp_free,Z3A6QU9xcFRPRmFkWk95ejdHN3dEdF9xVDlwS0M1WVNVbDFhREdnVVI2ZGJmRzB3Q3lqd1pYcmpwNUdrUTJCdWxYbUx1YnhsVmRxZmJSZHVUZjYxOGFLWHc,English,,5,2016-09-26,7ifoctoc Iftocof o,Simple and efficient,"A single toggle for activation, a simple space for userpass. Great open source software.",,
FTP Server (Demo),Google Play,be.ppareit.swiftp_free,Z3A6QU9xcFRPSG5IS05iTFN2VGg5LUJ3Zlo2M0JMOHU1VDQyelM0b2FSMEU0SXZoaWpubUdkbUtTdVp3YTk2Z3hYOUQzWDI5TDlxa3V2LWpaaUtJcGhaWGc,English,,5,2016-07-29,John Hammer,"",Great app.,,
FTP Server (Demo),Google Play,be.ppareit.swiftp_free,Z3A6QU9xcFRPSDFHbFlkampmNGF6b0RNOFdUZktteWd4cWM4TnlIbUpuUWdyNG5OenNVdTkxN01pa2hnYVJiYVZVNlJCcTVTdkdYcmRQRUVkZllZakQtc3c,English,,5,2016-07-18,Hrnek Bezucha,"",Nice and simple,,
FTP Server (Demo),Google Play,be.ppareit.swiftp_free,Z3A6QU9xcFRPRmZNMXB5OGNUcUZmVkNTSHZ3M2xzakw0NlFyaTE0NUNFU3lXMF9NVExzYUxXMFVkODRNbUZqZHgyV2wzNlRhWjNRLVhEQXRNcE5PWUJFWHc,English,,5,2016-07-17,Dima Dimin,"","Open source, intuitive, featureful, beautiful",,
FTP Server (Demo),Google Play,be.ppareit.swiftp_free,Z3A6QU9xcFRPRkJxN2VJQVlnWXZuYmp2MWlmYkVOWkJXU1RhX2RjVThMQVBmdldrSk5QWVV6N3JsNEdFR1ZPSTh5LVVrN0pPYVVIZ1RWaVpuX240d0M0RHc,English,,5,2016-03-19,Bob Gally,Very nice appp,Its source code made available makes it doubly cool,,
FTP Server (Demo),Google Play,be.ppareit.swiftp_free,Z3A6QU9xcFRPSFFQMS02Q05ucDIxd3NUeE8wbUw2OG1MdTZBcV9XajJZRHpsN0FIRUNIZEpLMUh0Tkc0OWU1aW1kQU5aSU5rSDFQd1ZFaVN6TlJKZE1hQ1E,English,,5,2014-11-11,David Silverman,Works GREAT!,"I couldn't get my files transferred from my Galaxy S3 to my PC and still preserve the timestamp using Airdroid (which I needed because my USB phone port stopped working).  ...until I found this program.  Combined with FileZilla on my PC (set to 'Preserve timestamps of transferred files'), it did just what I wanted!  Thanks to the developers.  David",,
FTP Server (Demo),Google Play,be.ppareit.swiftp_free,Z3A6QU9xcFRPRWdVbXdSNHBZbGNBQUViWVEydVJTM0s2c2xJVjBReV9PRElvcUd5UkhxV1dGTDh2VEgxa0dIb0ZZMWdPQS1fa3ZvLWh1MENhVTlkaTlQQ0E,English,,5,2014-05-22,Ian Lim,Great,Simple and effective. Install and play,,
