App,Store,App ID,Review ID,Country,Version,Rating,Date,Author,Subject,Body,Translated Subject,Translated Body
BRouter Offline Navigation,Google Play,btools.routingapp,Z3A6QU9xcFRPRzR6cmZNODhqeVhBYmhfRlVFTUpOMDBWd2hvQ1JtempsOGFVTnc4bHdKOVJDaGZNejhnVHpuNFRrSDNFOXZnZmxMZUl5SW5ROFB6NHFtYnhn,English,,5,2017-04-10,Javier Grinfeld,"","I use it combined with Locus Maps- this app is excellent not only for simple navigation- it picks up hiking trails, bike etc. with great accuracy. The simple interface can be misleading but under the hood it is the best out there. Now, if it could also combine (and download) srtm elevation data in route calculations...",,
BRouter Offline Navigation,Google Play,btools.routingapp,Z3A6QU9xcFRPRlhxYm5yVE9ZdmF5YjdaRlU0MFJ2QjgzQWtXbkNidkNsXzNFZVdsLU9TdEpkYURrRXRXUE80TTFZMmVNWTU0eWNCMFJuNmZNZjNQb2ljaFpz,English,,5,2017-01-07,Kris,Great offline navigation *routing* option,"A very useful complement/plugin for various offline maps such as locus and osmand. Make sure to download the sector where you need the routing capability. When navigating and internet goes stoneage, you should have this as one of you alternatives. Take note that it doesn't know all one-way (under construction roads like waze does) but it should give you an idea of the routes to take esp on far flung areas. N00BS who will be using this, read first how to use before whining--use some brain cells. Ciao!",,
BRouter Offline Navigation,Google Play,btools.routingapp,Z3A6QU9xcFRPSHhxTDlDclNEdGJKQnd5MTg3aEdhMFh1RzI0YWN3NjByejRRbDc2aVgwa0VhQ2VJYzVJNnhWOTFLRUJmdG9IdHhpeHN1dFRVb0tuZVVhUl9v,English,,5,2016-12-30,Rikard Bjorkman,"","Custom routing profiles, world class!",,
BRouter Offline Navigation,Google Play,btools.routingapp,Z3A6QU9xcFRPR3liRjkxQ2diR0x5OW9UXzd5ejg5SWZnbVVKVW1RZW9EeDJTcWlJdHJtZ2VYaWlxWkVXbDlhSkJwQ2lZNHdUTDN1VEtPMUFBRGxWbUV6NzdR,English,,5,2016-12-25,Jordan Nikolov,Awesome,There might be an auto update feature implemented to keep the data files always up to date,,
BRouter Offline Navigation,Google Play,btools.routingapp,Z3A6QU9xcFRPSF9GMjZrNnFCaU1XV2ZXWUp1a2laS0VRUWprT3JvMHpJQjZPdUNKc0k4LUFMd2RPOGxob2puQUNGU1BSQ1RPNno1WVZORHJ0LUhOTjFZb05N,English,,1,2016-11-29,BrazBlue,Java runtime exception,"App isn't programmed to work, update somewhere along the way killed it",,
BRouter Offline Navigation,Google Play,btools.routingapp,Z3A6QU9xcFRPR09jUFNhRk1KV09peTc1eXJWTlpfSmN0U3NkOGN1bkFzU3lDWTNKMmVJZGsxZ1lMRTVOdV9pQnNrbDVzUTduVnhCR3VyVXdQQ0c1RC1aTlQ4,English,,5,2016-10-25,Denis Bujoreanu,Awesome rooting app,"Ready to use and configure particularly with Locus Map. The routing algorithm is actually making sense most of the time which is great for me, the best part however is the fact that's free",,
BRouter Offline Navigation,Google Play,btools.routingapp,Z3A6QU9xcFRPRWhXRHV1ZGozZ1RsMkRUbnQ4UVczUWdCYWNpODg0cV94aGx5OF9yRWliUHctMVppSmFVUWY2ZlphYjlBWXMwY3JYeDNKdUFMMzVxWWZYY2dV,English,,5,2016-10-25,Ollie B,Works,"I use locus maps as a go to for hiking and cycling, so this is an ace tool to have for those times you have the mail downloaded but no internet.",,
BRouter Offline Navigation,Google Play,btools.routingapp,Z3A6QU9xcFRPR3lxMGVoN2F2NU9lbEtZbVNBd3NyQVZxMGM3anRDTDNIcUw1LWsyWnJ3ZDJLaUpjeUJPcUJZYkhMbEdjcnJUSWxGX3lxbldoOFlxbDZoSXJz,English,,5,2016-08-08,"",Great app for route calculation,"Requires another app to display the route, for example orux map. Orux map is what I'm using and it works great!",,
BRouter Offline Navigation,Google Play,btools.routingapp,Z3A6QU9xcFRPRzZRdmthRUhnc0NyTWlLSHdFQ2paMEJDeVRpZU9JeWI2WkFOU1FtNGRrRkRlTmRPaUZmczZvMDNIYmcwZWVGVE1DcTJUVlVIbmFTVjgwbHBN,English,,5,2016-07-06,Peter Dieleman,"",Locus + brouter is an amazing combination.  Where do I donate money?,,
BRouter Offline Navigation,Google Play,btools.routingapp,Z3A6QU9xcFRPRnNQUk9OaVR1azBWYk9FVnNkcVhyakszYzRlVHRYOXJKNVEwWmtLVEVoUVhhT3g4QjZYRlZIMkFNUUN6SV8yTjZKQW80U0hpdUV3SlpnSTZr,English,,1,2016-05-21,Björn Martin,Ui ist nicht benutzbar,"Beim ersten Start lädt man eine Karte herunter. Beim zweiten Start ist dann Schluss: praktisch rein textbasierte Benutzerführung, die mir einen Servermodus anbietet, der dann auch wieder die App beendet, oder in einem Hilfetext nicht wirklich sagt, was jetzt tun ist.",,
