Date,Language,Rating,Count
2017-04-10,English,5,1
2017-03-16,Polish,1,1
2017-02-18,German,5,1
2017-02-13,German,5,1
2017-02-02,Hungarian,5,1
2017-02-01,German,5,1
2017-01-23,German,5,1
2017-01-14,German,4,1
2017-01-12,German,5,1
2017-01-11,Polish,5,1
2017-01-11,German,5,2
2017-01-11,Czech,4,1
2017-01-09,Dutch,5,1
2017-01-08,German,5,2
2017-01-08,German,3,1
2017-01-08,Dutch,4,1
2017-01-07,English,5,1
2017-01-03,Hungarian,5,1
2017-01-03,German,1,1
2017-01-02,Spanish,5,1
2016-12-30,English,5,1
2016-12-29,German,4,1
2016-12-28,Finnish,4,1
2016-12-27,German,5,1
2016-12-26,German,5,2
2016-12-26,German,4,1
2016-12-25,Spanish,5,1
2016-12-25,German,5,1
2016-12-25,English,5,1
2016-12-22,German,4,1
2016-12-13,German,1,1
2016-12-10,German,5,1
2016-12-09,German,5,1
2016-11-29,English,1,1
2016-11-22,Russian,1,1
2016-11-22,German,1,1
2016-11-11,German,5,1
2016-10-26,Hungarian,5,1
2016-10-25,English,5,2
2016-10-23,Spanish,5,1
2016-10-23,German,4,1
2016-10-14,Spanish,4,1
2016-10-09,Hungarian,5,1
2016-10-05,German,5,1
2016-10-04,German,1,1
2016-10-02,Dutch,1,1
2016-10-01,German,3,1
2016-09-25,Spanish,5,1
2016-09-14,German,5,1
2016-09-13,Czech,5,1
2016-09-13,Dutch,5,1
2016-09-13,Japanese,5,1
2016-09-12,German,5,2
2016-09-12,German,3,1
2016-09-12,Czech,5,1
2016-09-11,Spanish,5,1
2016-09-04,German,4,1
2016-08-30,Hungarian,5,1
2016-08-30,German,5,1
2016-08-29,Hungarian,1,1
2016-08-23,Italian,5,1
2016-08-19,German,5,1
2016-08-15,Polish,4,1
2016-08-13,German,4,1
2016-08-12,German,5,1
2016-08-11,German,5,1
2016-08-10,German,5,1
2016-08-09,German,5,1
2016-08-08,Polish,5,1
2016-08-08,German,5,2
2016-08-08,English,5,1
2016-08-07,Slovak,4,1
2016-08-07,German,5,2
2016-07-16,Slovak,4,1
2016-07-14,Polish,5,1
2016-07-13,German,1,1
2016-07-06,English,5,1
2016-07-04,German,1,1
2016-06-25,German,5,1
2016-06-23,Spanish,5,1
2016-06-11,Dutch,5,1
2016-05-30,German,5,1
2016-05-28,German,5,1
2016-05-22,Arabic,1,1
2016-05-21,English,1,1
2016-05-18,German,5,1
2016-05-16,Russian,5,1
2016-05-16,German,5,1
2016-05-15,English,4,1
2016-05-12,English,5,1
2016-05-11,German,5,1
2016-05-08,German,5,1
2016-05-03,German,5,1
2016-04-30,Hungarian,1,1
2016-04-21,German,1,1
2016-04-19,German,3,1
2016-04-19,Czech,3,1
2016-04-16,Czech,5,1
2016-04-02,German,5,1
2016-03-22,German,5,1
2016-03-05,Czech,5,1
2016-03-01,English,1,1
2016-02-28,German,5,1
2016-02-26,German,1,1
2016-02-21,Indonesian,4,1
2016-02-13,German,5,1
2016-02-13,Dutch,1,1
2016-02-03,German,1,1
2016-01-30,English,1,1
2016-01-20,German,1,1
2016-01-09,German,5,1
2015-12-14,English,5,1
2015-12-10,German,5,1
2015-12-07,Portuguese,3,1
2015-11-14,Indonesian,5,1
2015-11-09,Dutch,1,1
2015-11-07,German,5,1
2015-10-23,English,5,1
2015-10-17,Finnish,2,1
2015-10-11,German,5,1
2015-10-09,English,5,1
2015-09-14,German,5,1
2015-09-08,English,5,1
2015-09-04,German,5,1
2015-09-02,English,2,1
