App,Store,App ID,Review ID,Country,Version,Rating,Date,Author,Subject,Body,Translated Subject,Translated Body
Budoist - Todoist Client,Google Play,budo.budoist,Z3A6QU9xcFRPRWpYYXp0bXY0X01Ld2MtSU56NE5xal9CUTRtZzNLRTQzUHVTeVMyUTBIU1dQajU5bmhjS21oTktNb3FRRjdHandQaGR0bmVfRGZRMzIzeUE,English,,1,2014-07-04,Edward B,Crashes instantly,.,,
Budoist - Todoist Client,Google Play,budo.budoist,Z3A6QU9xcFRPRXp5ekpZM09WdjNHMHZjWnZPZS1ZNHo2UGthQlBJZFRra0ZuT2hyUUNkS2t2VHlTcy1CQVlfOTZEbEdYTm5kSHZFVjdicGF3YVQ3Z1V6RFE,English,,4,2013-11-18,Jim Knighton,Very Useful,Been using for a year or so. Got a few quirks but after learn those very useful.,,
Budoist - Todoist Client,Google Play,budo.budoist,bGc6QU9xcFRPRkx6UlU0eUR4SUNSUnp0endpcXRnTGJxaWlsV2FrOWVGaDIzY0RfU0oxdGx0LV9mM195alc4b0VoYUZhMjZkY0xyT2JES0hNYmlGZFNXd3c,English,,5,2012-11-26,A Google User,Best Todoist Android App,Minimalist design and features make this better than new Todoist officialbapp.,,
Budoist - Todoist Client,Google Play,budo.budoist,bGc6QU9xcFRPR1FYdTJCR2Zpc1dqRU1ld29Ibmp1ZkkwRENhcTFSNFRKZUZSbzRyUmZPNUhlUmprTy1lNVduQ0txQWZPMXJvYk9sVklPeTZBMC1hbmVwd2c,English,,5,2012-11-25,A Google User,The best,This is much better than the official todoist app. Highly recommended.,,
Budoist - Todoist Client,Google Play,budo.budoist,bGc6QU9xcFRPR1VmN1VtZjhvcUxiUDZ4ZE9IZ25RRzBVSnhzV0NMTjZ0YUNZZks5emdEOVdJaUhobVNZREhIQXNXRkhMU2pTWjNmVm92TFoyUURWUm1Zd0E,English,,5,2012-11-13,A Google User,Great,This is the best todoist app. Tried the others and this one is the best. Good features. Please create a widget similar to gtasks,,
Budoist - Todoist Client,Google Play,budo.budoist,bGc6QU9xcFRPRm5Cc1EyS2h4Yy1scnRZemxhd2RqMHhCVGFjakVOWUVkcEZsSG90RU1qeXF5MGdKemV3ZjY5NHdFbmhrY29jaVNtUmlENHFKMVViX01jaFE,English,,1,2012-11-01,A Google User,Does not sync with Todoist,Tasks do not show up in Todoist on other devices.,,
Budoist - Todoist Client,Google Play,budo.budoist,bGc6QU9xcFRPR3lMa05BWnFDbUt5bVVQRU1tVjFhZDVZZlVrODJWVEh5YUpXd3VXTGd5LVZkcjZwWTA4Y3NVMl9pQndXRlk2b1pKRUJLQlFNQVE4a2xfamc,English,,1,2012-11-01,A Google User,No Google Account Support?,"ToDoist is great using Chrome. Don't know why they don't have their own Android app, but you would think others who do would include Google Account support for people like me who used it to create a log in.",,
Budoist - Todoist Client,Google Play,budo.budoist,bGc6QU9xcFRPRlNabmRET2JVdDZmSzBzTFhtZ3F0alc5TUJYSzZVX2pfSUxmS1dxaF9aS25TQXNrWTBvUjl6bTNOWEhGUWNLRG05emsxTkR5RzNWcnhhQlE,English,,1,2012-10-17,A Google User,"",Useless,,
Budoist - Todoist Client,Google Play,budo.budoist,bGc6QU9xcFRPRnRSSXFFQkRteTdNZ3BmY1Z1SjY2eUZ0RHd0VTQxZEJYaEpPU0F1VGpZWlJQenFXajBta0pHclllUXRTNzcwd1ZoNW92RDU1akd5UEtUc3c,English,,4,2012-09-25,A Google User,Good App,"Good App, integrates well, just missing the widget.",,
Budoist - Todoist Client,Google Play,budo.budoist,bGc6QU9xcFRPSElOOUYtRlVKMnFVN0pseHFjUF9lX05IcHJMemphMGtHZDdBaUxpMktGeGJ6N3NQQnFCejBLM3NldjZBSzBTSXkxRUF5LW81emJiNFlSSmc,English,,5,2012-09-25,A Google User,Simple but effective,"Simple but effective. I tested a lot, for me th best app available for todoist.  Very helpful is the option to setup your own query.",,
Budoist - Todoist Client,Google Play,budo.budoist,bGc6QU9xcFRPRlBqZTZQSDRDY2FkWmpuZmc2b05Qbk01V0oyQjJfb0RvMU8wb1Nab3NyNmI4ZzhJUUpQclgzNE5nQ2k3TWZqWl81cDdfc1V5RlY0ZUxyMHc,English,,3,2012-09-13,A Google User,"Probably works, but no Google log in","From the other reviews, the app looks great, smooth and easy to use in tandem with the browser based version. Although my problem was that I could not even log in because my Todoist account is linked with my Google one and it does not allow that yet. Wish I could use it but not quite yet.",,
Budoist - Todoist Client,Google Play,budo.budoist,bGc6QU9xcFRPSDB0RzRqOEpOQ3F6emg5NEl6eDJtWUVEMW95T3I0YnRSNGlhMThhaURzcjdEM3NGN2V5cDZ5eF9OeDN0X3NXOWJqZlhvZFQ1Qm1ZcHd0ZWc,English,,4,2012-09-06,A Google User,Better than the official app.,"It has a few bugs like with recurring tasks that get stuck or checked tasks unchecking by themselves, but it works much better than the official app.",,
Budoist - Todoist Client,Google Play,budo.budoist,bGc6QU9xcFRPSFdDOFRrQ2x2eUwzcGU3Z2VFdVdxcG9DR0FzMGlJamJJVlExaXQ0RjhEbnBDRExRRlJjZ2psa3pVUWVKSmhUSWM2NXk1X0dHank2dGFKYkE,English,,1,2012-08-27,A Google User,No preview,"Have to register before I see anything, interface is so minimal that i can't be bothered.",,
Budoist - Todoist Client,Google Play,budo.budoist,bGc6QU9xcFRPRzhUN2ViemNmeF9IVXFFcE9LbEpCdElFNk9rV01UZHp6UFhYUk5wdXdEQWVSQW5lS2JXdzdNRm0zZmpnUEp6S2kyQjNRTUdGbGJtdFdrWUE,English,,4,2012-08-22,A Google User,Best app yet for todoist,Simple and nice gui .,,
Budoist - Todoist Client,Google Play,budo.budoist,bGc6QU9xcFRPSERrcFVLSzM5T2RuMXNOQnA0X1NkZUJzampLRktoR0R3YllvTEpjeGplVVFIZTl0blZhNGRhWW9tN1E1V0t1eURQSnNjR1dhWHI3MFRTTEE,English,,4,2012-08-11,A Google User,Room for small improvement but great!,Little buggy but seems to be constantly improving with each update. Still by far the best Todoist app available!,,
Budoist - Todoist Client,Google Play,budo.budoist,bGc6QU9xcFRPRXdhckNoVlEzeDBmbGxjQTZZQzBJZ0NXUkdtOG0weUUxZXNHUUt3dHlyTUJQZmtWM1ZHckZ4SGs2TzFrR2l4RDc3M2FiUGo3emN0cWg5dlE,English,,5,2012-08-08,A Google User,Needs some work; not as good as typing todoist into browser,"This app is almost there, and I appreciate their efforts. With a few more updates,  I think it will be stellar. Issues right now include: The changes you make don't sync right away.  The shortcuts that todoist provides don't really work such as dates.  For some reason, I can't find a way to just bring up today's tasks (please correct me if I'm wrong)  Update 8/8: excellent updates and looks awesome on Samsung galaxy s3",,
Budoist - Todoist Client,Google Play,budo.budoist,bGc6QU9xcFRPSHlaQm5rU3REN05HelQzMGx5a2pPYVZnRWtrUVA1c29EaU1fQl83Z18zNEpSaGxWZW01bUl6a2pIblAtTDhDZ0NfdHc3TnBQY1JOdjVkZ0E,English,,4,2012-07-26,A Google User,currently best Todoist app out there,"Great app, works well overall - much better than the one from Todoist!  There are a couple bugs still, but not enough to make me give up on the app now, though.  The two that bother me most are 1) sync - changes don't sync automatically, or even within the set amount of time (i.e., 30 minutes after making a change on my phone and it isn't showing on the Todoist web site, even though I have Budoist set to sync every 5 minutes) and it doesn't sync on start/exit even though I have it set to do so; and 2) date/time - when I enter a deadline with a time it never shows up correctly - if I set something for noon on 7/30, it shows up as (example) 11:30 PM on 8/3 on my phone, and maybe 3:00 AM on 7/30/2013 on the website.  Then I edit the event on my phone, re-entering the correct date/time (which are showing correctly in the editing box, just not after the edits are submitted) and I'll end up with the event showing on my phone &amp; the website at two different, but equally bizarre and incorrect, times.  I've gotten in the habit of just writing out the full date/time in the text of the task, but that's not really a useful work-around long term.",,
Budoist - Todoist Client,Google Play,budo.budoist,bGc6QU9xcFRPRV9BRHM3cmxtTl9Lb1Q4TW43UHVnU3N2U290NlM2MVQ2eUFqWDRybFB0dGdPTE1xZ1VhTUZGOGpycWRDVlozN2ZPRXd4aWJ5N0t4VkNCWVE,English,,4,2012-07-26,A Google User,Very good work,Very good work. When I have no sub projects I still have the arrow space holder empty and taking space affecting the good look oh GUI. Also the synching process takes long time. But it the best todoist client in my opinion,,
Budoist - Todoist Client,Google Play,budo.budoist,bGc6QU9xcFRPR2x1cmRLUlhpLWtlQTVzeXJHcVo4Nllld1ZLVUZnNmlVd01RU0lQNFRCRGNJbWFURFNSenctSU1UNEZ2M1VaUFhpdVdHZGE1UkEtNlRnY1E,English,,4,2012-07-25,A Google User,Great app,"Very clean, easy to use, full features. Thanks!",,
Budoist - Todoist Client,Google Play,budo.budoist,bGc6QU9xcFRPSHM2R3ZCT2w0X3BFdEVKUGJ6N0VIdTc5S1o1Mmhyc1BLX29zRDJXUHFLNjB5eDk3YTBVZW80c0p1cjNMT3dHcUp6TU9kdkk4eHM1LXE5ZlE,English,,4,2012-07-11,A Google User,"",Simple and efficient,,
Budoist - Todoist Client,Google Play,budo.budoist,bGc6QU9xcFRPRkgzNFFiNHljUk1wRjNaU1pvTGxlY0k4azQ1cmVSU21FX0NLSzlaUWZRWWtiQkhsWE9kOU5hZTZqcXh6WktJZUVOR1B2aUFVelEtQkpJTFE,English,,5,2012-07-05,A Google User,Excellent - but Widget needed please,Great looking &amp; does what it says really well....but needs a Widget please.,,
Budoist - Todoist Client,Google Play,budo.budoist,bGc6QU9xcFRPRnlGY0NtZ3MzOG5QamFZTVhnYnJ2TkdfQzFQZmI4SnJSUkNxVHMydTV0eVJOd1d3YXdvR0x0Zm1TdzRhb0xyaVN4aVlpSG1GMWNaZjhROFE,English,,5,2012-06-17,A Google User,Best todoist client for android,"Little more to say, simple and powerful, like todoist itself. Really good support and response from the developer.",,
Budoist - Todoist Client,Google Play,budo.budoist,bGc6QU9xcFRPR3g2c2NoQmdURndyRk4zSzQzQ0ZMM21oQzJXUl93d1pRYUpUQ1VSNFQ4VXRjbktCRkV2RXdvUFhPV0RSNW9kdWtSSExFdTEzU0NxSk0xblE,English,,5,2012-06-13,A Google User,Very Good,Works fine.  Very clean and tight.  No issue here.,,
Budoist - Todoist Client,Google Play,budo.budoist,bGc6QU9xcFRPSHZZUVNxX2FqNDI3Tng2R0ZVNklqVFpWTWZTQ29UanoxS2wyaFFEd0l4NmZyRU1SQmxab1VaRnYxbldIanJYbFlCVHFYSXpPcnY5NHdUSWc,English,,5,2012-06-13,A Google User,Sweet!,"Best Todoist app. Tried all the rest, been using Todoist Pro, but this one is even better. Change the icon though.",,
Budoist - Todoist Client,Google Play,budo.budoist,bGc6QU9xcFRPRkg5NmVMdjYwbS0xOUlBNk5XRU04RHgwenc0c1pfM0RqWl9sa2Vsa0VqazNpQzZETUgySFBuaWJsdWhmQlZyZlNDMnRTYWdTeTk2RDhrZEE,English,,4,2012-06-02,A Google User,Best of free todoist apps so far,"I tried TodoToday, Todoist by lightful, &amp; Todoist for Android before this one. This has most complete functionality. I hope I find no bugs.",,
Budoist - Todoist Client,Google Play,budo.budoist,bGc6QU9xcFRPSE8tZ3NHVmVQZWlvbWprNTVsVm5aQ1lQUmxpLXdqTlR6Z3JOQmhLM2JXVGZ2OFVJQ2lwNUhzVzktdmJNalF1eHBsdWJLbzdsbDBGX0JYRGc,English,,5,2012-06-01,A Google User,This is the one,"Tried last (because i didnt like the app icon :-)), but budoist killed it! Free, fully functional (labels, query, priority, etc), and no ads, yes please and thank you!",,
