Date,Language,Rating,Count
2016-04-12,Portuguese,3,1
2014-07-04,English,1,1
2014-01-18,Russian,4,1
2013-11-18,English,4,1
2013-02-03,Russian,4,1
2013-02-03,Dutch,3,1
2013-01-25,German,5,1
2012-12-17,Portuguese,2,1
2012-11-26,English,5,1
2012-11-25,English,5,1
2012-11-19,Italian,3,1
2012-11-13,English,5,1
2012-11-11,Chinese (Simplified),3,1
2012-11-01,English,1,2
2012-10-17,English,1,1
2012-09-25,English,5,1
2012-09-25,English,4,1
2012-09-22,Portuguese,4,1
2012-09-13,English,3,1
2012-09-12,Czech,2,1
2012-09-06,English,4,1
2012-09-02,Portuguese,5,1
2012-08-27,English,1,1
2012-08-22,English,4,1
2012-08-13,Russian,1,1
2012-08-11,English,4,1
2012-08-08,English,5,1
2012-07-29,Portuguese,4,1
2012-07-26,English,4,2
2012-07-25,English,4,1
2012-07-11,English,4,1
2012-07-05,English,5,1
2012-06-17,English,5,1
2012-06-13,English,5,2
2012-06-12,Russian,5,1
2012-06-02,English,4,1
2012-06-01,English,5,1
2012-05-31,Russian,5,1
2012-05-23,English,5,1
2012-05-20,English,4,1
2012-05-16,English,4,1
2012-05-11,Russian,5,1
2012-04-20,English,1,1
2012-04-16,English,4,1
2012-03-26,English,5,1
2012-03-22,English,5,1
2012-03-20,English,5,1
2012-03-18,English,5,1
2012-03-15,English,4,1
2012-03-14,English,4,1
2012-03-13,English,5,1
2012-03-12,English,5,1
2012-03-11,English,1,1
2012-03-09,English,5,1
2012-03-07,English,1,1
2012-03-06,English,4,2
