App,Store,App ID,Review ID,Country,Version,Rating,Date,Author,Subject,Body,Translated Subject,Translated Body
Ridmik Bangla Dictionary,Google Play,buet.rafi.dictionary,Z3A6QU9xcFRPR0VuZWFqUU55VVNIYXl6WUZueUFvdXBSVTNvWEtJcng1b0pTZTljdEliVENRNUUzc3lUZzYyT0NSZk5MLUs5UnJkaHkzUGRCdUxkdXB0YlNF,English,,5,2017-05-21,syed jaber,"",very usefully,,
Ridmik Bangla Dictionary,Google Play,buet.rafi.dictionary,Z3A6QU9xcFRPSC03YUpabXlXSndpUTVhQXVMRzdvZ3lQclRaZGhLbXEwTnBvYzFKUS1tTXRzSkhXcWktNG0wNlhxNVVBZTdmcV9KMDlOS3ZKN181VDZFMlNN,English,,5,2017-05-19,Rokibul hasan rokib,"",Love it,,
Ridmik Bangla Dictionary,Google Play,buet.rafi.dictionary,Z3A6QU9xcFRPSGJHNEJfWTczbTVIY2hNeXA3Y3VobGdZX3RNeTVaVTdURVRMZVp3dERZQVgyZi04UFA1T3h5cjViODM2WGJiODd2OGpYY2lKdzlIR1lCblZN,English,,4,2017-05-19,Rony Prodhan,"",Good,,
Ridmik Bangla Dictionary,Google Play,buet.rafi.dictionary,Z3A6QU9xcFRPSFNsaWhZeEREZzFQYnZ4RG02SjhnS3dJX2J1ak12MUM2YVlWTW9MdEZROTVieTU0S2F6RmhoVGdlel92eUFvNjZyaEU0NDRuekRQNlhxTjRN,English,,5,2017-05-18,MD Masum,"",this app is vary useful,,
Ridmik Bangla Dictionary,Google Play,buet.rafi.dictionary,Z3A6QU9xcFRPR2RGTDRzaG9GdDZhTFpJbWhLNTdaT0UwSlRJeUoyVUhJNjhUQTREQ09TYWFmbnRLR0d4VUl5YmlPSmoxRmpQNzhqblNIRlRoOVB0enIxMk5Z,English,,5,2017-05-18,MD Ananto Adnan Milon,"",Nice,,
Ridmik Bangla Dictionary,Google Play,buet.rafi.dictionary,Z3A6QU9xcFRPRjR0Z2UtZ2tQMFpfSUxoRUdCRW9qTHRwb2o0UzJFSTVEYlhSdnpoZzJac1FHeXJhQ3NyeG5pZm0tYmZCeDM5YWpyaGstS1BsYXNoZ2pLZktn,English,,5,2017-05-18,Jakir Hossain,"",Jakir,,
Ridmik Bangla Dictionary,Google Play,buet.rafi.dictionary,Z3A6QU9xcFRPRnZzck9vVWxzZEdqa1RDRFdZN2gycXZiNDgyMGhRSTB2R203VWxIV2pIMnpQWnlzcTd2VF9IXzIxS2xyalZ4WnVqYWlYbVZja3A1MTR1VExR,English,,5,2017-05-18,Minaj Mondal,"",Very nice,,
Ridmik Bangla Dictionary,Google Play,buet.rafi.dictionary,Z3A6QU9xcFRPRWpuOHZ6Q0MwRjJaNHNpV1M3RlhDUEJkaHdVUXRybDg0RG82M1d4SWFhRkdBbkxSM2llNjJEUEVJYXBXdGtrNXdIVHp6LUFOaFh1UUU3ZlVn,English,,5,2017-05-15,"","",It's very helped.,,
Ridmik Bangla Dictionary,Google Play,buet.rafi.dictionary,Z3A6QU9xcFRPR1ZhN3pMazRYbUg3b3J4OVpYanhFUEFFODRLZ0Zkbl9RYnlEeXdnbTNFYkUyX1g4cGJpQTNRYVAzZHZYQkJzamRsU21mUFNqR3VXSzRFejQ0,English,,5,2017-05-14,"","",MdRezaulkarimbappy,,
Ridmik Bangla Dictionary,Google Play,buet.rafi.dictionary,Z3A6QU9xcFRPSEVBQUNoNy1PRllzTHp6dTlIamt3VlRQckw1b1BSS0o1bEFSVjFCei1ia2EzUkQ0aVZBaXNWejZSNkxkaGZPN0o1eUNCNEMwT1hySFFzbEhr,English,,3,2017-05-14,"","",It is very good keybord,,
