Date,Language,Count
2017-05-21,English,1
2017-05-19,English,2
2017-05-18,English,4
2017-05-15,English,1
2017-05-14,English,3
2017-05-09,English,2
2017-05-08,English,1
2017-05-07,English,3
2017-05-05,English,1
2017-05-03,English,1
2017-05-01,English,1
2017-04-27,English,1
2017-04-26,English,1
2017-04-25,English,1
2017-04-24,English,3
2017-04-22,English,2
2017-04-21,English,1
2017-04-20,English,1
2017-04-18,English,1
2017-04-17,English,1
2017-04-16,English,2
2017-04-15,English,1
2017-04-14,English,2
2017-04-13,English,1
2017-04-12,English,1
2017-04-11,English,1
2017-04-10,English,2
2017-04-09,English,2
2017-04-08,English,1
2017-04-06,English,1
2017-04-05,English,1
2017-04-04,English,1
2017-04-01,English,2
2017-03-30,English,1
2017-03-27,English,1
2017-03-24,English,1
2017-03-23,English,1
2017-03-21,English,1
2017-03-18,English,2
2017-03-15,English,2
2017-03-14,English,2
2017-03-13,English,2
2017-03-12,English,3
2017-03-11,English,2
2017-03-10,English,1
2017-03-09,English,1
2017-03-06,English,1
2017-03-02,English,1
2017-03-01,English,1
2017-02-25,English,1
2017-02-24,English,1
2017-02-22,English,2
2017-02-19,English,1
2017-02-18,English,1
2017-02-17,English,2
2017-02-14,English,3
2017-02-13,English,1
2017-02-11,English,2
2017-02-10,English,1
2017-02-07,English,1
2017-02-06,English,2
2017-02-03,English,1
2017-02-02,English,1
2017-01-31,English,1
2017-01-30,English,2
2017-01-29,English,2
2017-01-27,English,1
2017-01-25,English,1
2017-01-19,English,1
2017-01-16,English,1
2017-01-15,English,2
2017-01-12,English,1
2017-01-11,English,1
2017-01-10,English,2
2017-01-09,English,1
2017-01-08,English,4
2017-01-07,English,2
2017-01-06,English,1
2017-01-05,English,2
2016-12-30,English,2
2016-12-29,English,2
2016-12-28,English,2
2016-12-26,English,1
2016-12-23,English,2
2016-12-22,English,1
2016-12-21,English,2
2016-12-19,English,1
2016-12-18,English,1
2016-12-16,English,1
2016-12-12,English,2
2016-12-11,English,2
2016-12-10,English,1
2016-12-08,English,2
2016-12-07,English,1
2016-12-06,English,1
2016-12-05,English,1
2016-12-03,English,3
2016-12-02,English,1
2016-11-29,English,2
2016-11-26,English,1
2016-11-25,English,1
2016-11-24,English,4
2016-11-23,English,2
2016-11-22,English,2
2016-11-21,English,1
2016-11-20,English,1
2016-11-17,English,1
2016-11-15,English,1
2016-11-12,English,1
2016-11-11,English,3
2016-11-10,English,1
2016-11-09,English,1
2016-11-08,English,1
2016-11-07,English,1
2016-11-03,English,1
2016-11-02,English,4
2016-11-01,English,3
2016-10-30,English,3
2016-10-29,English,2
2016-10-27,English,1
2016-10-25,English,1
2016-10-24,English,2
2016-10-22,English,2
2016-10-20,English,2
2016-10-18,English,3
2016-10-17,English,3
2016-10-16,English,3
2016-10-15,English,2
2016-10-12,English,2
2016-10-10,English,1
2016-10-08,English,2
2016-10-07,English,1
2016-10-06,English,1
2016-10-05,English,1
2016-10-03,English,2
2016-10-02,English,3
2016-10-01,English,1
2016-09-30,English,1
2016-09-29,English,2
2016-09-28,English,2
2016-09-27,English,3
2016-09-26,English,2
2016-09-24,English,1
2016-09-23,English,2
2016-09-22,English,1
2016-09-21,English,3
2016-09-20,English,2
2016-09-17,English,3
2016-09-15,English,1
2016-09-14,Indonesian,1
2016-09-13,English,2
2016-09-11,English,3
2016-09-10,English,1
2016-09-08,English,1
2016-09-05,English,1
2016-09-04,English,4
2016-09-03,English,2
