App,Store,App ID,Review ID,Country,Version,Rating,Date,Author,Subject,Body,Translated Subject,Translated Body
HashPass,Google Play,byrne.utilities.hashpass,Z3A6QU9xcFRPRWtkcDVTN2xCXzc4ekV5WU5IYUhKNkdCdi1HN2Z3RTNMcWxPZm1SbldqeUpOR3ZkUmN2VGZMTXdhQ1d5VnkyMUV3MlpHZmE4WWVFSnRWRzRn,English,,5,2017-05-01,"","",it doesn't good work,,
HashPass,Google Play,byrne.utilities.hashpass,Z3A6QU9xcFRPR3J6d2ZsbzRfYThKQzE1RUhsMlZYcFZEYVhzNEREVDFSVkxZSnFJMHpuazZmejVHWEdFcnhVdGhEU2pTT09vZG1yTEpmRm1uaFVheEZyT2ZF,English,,5,2016-04-28,Jadiel Wambugu,Hash pass,Its perfect,,
HashPass,Google Play,byrne.utilities.hashpass,Z3A6QU9xcFRPRWdTZ1BPSWU0SlpjTTRfckw1OV9SaEttbVRtdmp0cmxyaDRuLUVOMzE5WGNTTzhWWXNwYW5UUkZNbW5fSEpBWVFTVklIU0tpUXU0X0xfeXMw,English,,3,2015-07-30,Shakib,"",plz add reverse method,,
HashPass,Google Play,byrne.utilities.hashpass,Z3A6QU9xcFRPRngzMHFOVHllZ2I0ckhKR2N6NEFxYkVtOXZIaVpydVZ5UDVrQmQ0Y1JqZnRmX0M4ZVZNa2psU1lHeUt4bkNiMUFMVWxsZlpPWkdPX1VleW9r,English,,2,2014-10-05,Oreo Crumble,Doesn't hack MSP,"I need an app that hacks moviestarplanet,  please help me",,
HashPass,Google Play,byrne.utilities.hashpass,Z3A6QU9xcFRPR2w5TnpFZ1Q4Z0dxM25Ea0tSZXhvb1JWYmJ1VTBaalRHckR2YTFLMFYzWXItSmoyZ083UnZ1VlBmd19NeXZVVDhURUpJaGtEb1AwUVhEVlY0,English,,1,2014-09-25,uzair Ahmad,facebook,hake paasward,,
HashPass,Google Play,byrne.utilities.hashpass,Z3A6QU9xcFRPRzJDWDdJYm5xOTlleVAwWWdJLXJVNXVFTDVnSkNGU2lmRGk5WVZiRGo5T0hTRkFXYkZ6OWRXRVhXTktDekhqZGp3NDcyaTh4cWFmcDVVaVIw,English,,5,2014-02-12,Karl Barnes,Killer,"Love it.  Wrote similar script for my Linux box w/default 16 char limit to deal with site limits but with the option to specify length. This people, is a great way to deal w/psswds w/out going nuts. The ability to generate 4 different STRONG psswd's based on 1 identical string &amp; even prioritize them based on algorithm! Great &amp; THX!  FWIW; I think writing a little script or one-liner using these techniques is well worth it even if you stick w/the pro's tools for password generation &amp; managment.",,
HashPass,Google Play,byrne.utilities.hashpass,Z3A6QU9xcFRPRW1zNklYQXp6Um9KVWZhek5qWjhjWUhUa0R2WHhaSFl0aEVlUEIydXZlbmc4TzR0UDF0WnZXNHhVaTRfT19JbjAwSjhGMFJkRGE0dVY1aUlR,English,,5,2014-02-09,Joseph Hurlston,Prefect,"",,
HashPass,Google Play,byrne.utilities.hashpass,Z3A6QU9xcFRPRnFLS1NWN2ZkMmh4b2FmQ0tUaFc0amtySHFRam1MOW9CQjgzSS1XZ0pkUzYzOGRwbnBiVVl3cEFQbUZXc0lZSDRneGs3d09VWkZYbVlIaTIw,English,,5,2014-01-25,Steve Sampsel,Great,FsntasticfuckingA,,
HashPass,Google Play,byrne.utilities.hashpass,Z3A6QU9xcFRPSG45NE5IYzc1Sy0xdEZ0RTZrVkhuaS13ZGtBakZFbWR6RHh6RmhySEoydkpXWXdlYnY2T0NCd0xicWZYWDdabm9QVm1EYXpXNDFFUGZCU3lR,English,,3,2014-01-12,Craig Fenton,Good enough for me...,I think it's just what I've been looking for...,,
HashPass,Google Play,byrne.utilities.hashpass,Z3A6QU9xcFRPR0MtUmxMTUdSU3F4b1dlZF8wUEJiQVN6MjBwZmk1eWJHdWdTTVdBRUpnekV6RDZYZkdlYzBvdEUwbi0wMFU2cWN0N2pDb0tzM0dTMmFhLXUw,English,,5,2013-05-12,RAHUL PATNAIK,Good....,How to use this app.....?,,
