App,Store,App ID,Review ID,Country,Version,Rating,Date,Author,Subject,Body,Translated Subject,Translated Body
Pastee Droid,Google Play,byrne.utilities.pasteedroid,Z3A6QU9xcFRPSFBtbmRRVVB1M1YyTjhlbkttNy1uQ1Jjc2Q4MXVUeEd1ZENnVkRRNlRkRm5sc3dKZ0pLTjZ6aDNsOFVkcEdmZGY4N2lBekx5eTNkUFdrQnhN,English,,1,2016-11-25,ANDY COOPER,F***,Downloaded it and it stopped working right after opening it!,,
Pastee Droid,Google Play,byrne.utilities.pasteedroid,Z3A6QU9xcFRPSEowSDlOc2xIOVV2ZGR4eEQzNGdSbTFGaG1CQjhrRmMwSk9pTU9HWTd2QS1OUnA1bExjT1BOUFB6QVUwSHNGalZDMXZmTllkamxZMURBVlNz,English,,5,2015-01-10,Kokomg Komg,"",I like it very.,,
Pastee Droid,Google Play,byrne.utilities.pasteedroid,Z3A6QU9xcFRPRzhjQXlnSWstQmMwdmc2OHYzMllqcVVHbkQwdDdIcjVtQ2dhenczVFVuSVZqYnl5aHhiaVB4VXhVOWVnRWp4a0FleE15QW0zOGhPUV9ESXlr,English,,5,2014-11-04,vcente montano,I TRY IT,Thanks,,
Pastee Droid,Google Play,byrne.utilities.pasteedroid,Z3A6QU9xcFRPRXlnSm8tS2JNSkNKVE9PWHFrS2Z2UVRHMWJGQzhrbFM5ekhHLVhoVF9sRGtsOFl0dF9fZ2FPdWpUSXlQZVlGT284Y3k0dEJkX19KdzJRbGo4,English,,5,2014-10-04,far Khan,Ok,Good,,
Pastee Droid,Google Play,byrne.utilities.pasteedroid,Z3A6QU9xcFRPRmk3VUlwY0t3S3pmd21jTDNkT0hzWXM0UC1ZaWc1MC1Id2FCM3lZSDVkUzN5VW8wbGM3Rk43aW9DeTJHeGFaa2xSZWdtemhBTUNvNTBvSE9F,English,,4,2013-10-28,Elampooranan S,Large txt size of final url wud help!,That can be used to share curls between droid &amp; pc.,,
Pastee Droid,Google Play,byrne.utilities.pasteedroid,bGc6QU9xcFRPRnlGX3RzQmgzZ2tUUF93SFZFeFJSczhMZ0JUZFZhNXp3RWgwUHBDeElQNDRtRUJLSW1MR0tEcE9RcVYtSkV5RUI2OHEzTTBkMDdPdTdfMEZr,English,,5,2012-06-14,A Google User,Great,Very handy,,
Pastee Droid,Google Play,byrne.utilities.pasteedroid,bGc6QU9xcFRPRWc0VzBHRW16VGJrZTdCWVhyaDROS29fekwyMk1jY0d1cTJoLVp5RzlQa1k1akVmNUhFOEZINnhsMkVYcWtXbHU1OFdVZWhrdmI3WlFRU2FN,English,,5,2012-06-07,A Google User,5 stars,Very pleased with it,,
Pastee Droid,Google Play,byrne.utilities.pasteedroid,bGc6QU9xcFRPRTFtOG1kRzhwMmtEenVSc0RySHM1UWpEdF9UMUhmZnROeGNIWW8tQWRTNUoyaGc1d19rNFV0MXk1eHFJenJnLWR1QjVlM01abXQyaV9zREpV,English,,5,2012-06-07,A Google User,Excellent app,Very easy to use app. Very handy for code snippets sharing :),,
Pastee Droid,Google Play,byrne.utilities.pasteedroid,Z3A6QU9xcFRPRWhaX2pCTG5hbTl6cFJqSlBwTnV2dmlEcG1lTVFhZjlXdmpza19icVM0TUhKTTFQXzVOd05BaUtPT0hSU0Y4cHVTRWRNbmFHdnhObnQ2RFk0,French,,3,2016-09-17,Gildas Cotomale,Intéressant,...mais AdMob gâche tout.,,
Pastee Droid,Google Play,byrne.utilities.pasteedroid,Z3A6QU9xcFRPSGhxZ0FHekNXcHpWbFJsZkhNaUpXYjJzTXBrMWQ3dzdSVWhGekgxUmVUQWMyS2JxR01HbmV5Vi1ORzlac01EbTMxUkhlcWlTT25kb0YwczM4,Arabic,,5,2014-06-29,صالح العامري,"",الهوووووي,,
Pastee Droid,Google Play,byrne.utilities.pasteedroid,Z3A6QU9xcFRPRmcxYVlmeUhHYko3al9JZll3dDdEb2x3QjFfdWlBbGdtSFNMS1ZqbkJVSXdLMU1reEk4N211dkVpVFZSZmJ6RFBHaGpLbWw1QWdGblBLTjlV,Spanish,,1,2016-04-17,"","",Se ha cerrado sola y he perdido el texto,,
