App,Store,App ID,Review ID,Country,Version,Rating,Date,Author,Subject,Body,Translated Subject,Translated Body
Classic Monitor,Google Play,ca.farrelltonsolar.classic,Z3A6QU9xcFRPR2R2eFhMU1k5d0JpWl92N3FUTXFzcWhnUnNsZ3ZtYUw2UkpBRENYUEVjeUJadk84TTNnbHNDbHJocUdxZmRpeF9qbnhxdDNhNzBBbXh0OVE,English,,5,2017-03-10,Michael Shin,"",Great for my classic cc. Better than the factory.,,
Classic Monitor,Google Play,ca.farrelltonsolar.classic,Z3A6QU9xcFRPRnZfU3J2YmNIS0tPbzhycm1qTTFQQl9yal8xOE1EZHktR3o4T1F6bzNhSEhhS3I3aWVRYzFiVmI1bUhqQURfQmhmeGVOampHd2lYaHhxZWc,English,,5,2017-02-05,Rduairport Taxidispatch,"",I love this app it is the best software ever it is better than the company itself app the company need to pay you guys for this app to be available as Android and iPhone app thank you for the good job,,
Classic Monitor,Google Play,ca.farrelltonsolar.classic,Z3A6QU9xcFRPRl9pVGhIZnV4cU5GdThLNTBsTExXUFZhRm5ELXFhYS1XTmtES0x3YTVGcmhBdXo3SnRXVzZGS2lmWlFDY1lrV1dxdkdZLXVNWm1ub3g1c0E,English,,5,2017-02-03,Robert McHenry,"",Love it. It just works great! My favorite!,,
Classic Monitor,Google Play,ca.farrelltonsolar.classic,Z3A6QU9xcFRPSEpUREZFZWVYQlRKMlZhU3JmM0RUbnRDR1BtbXk0cHRMVUFRckpHQzdGOGJJaEZLWlMwREdDLUs2QVBGU1BWenBMOXFKdE5rWlB6LXJ0blE,English,,5,2017-01-31,"","",Awesome!!!  It's a must have,,
Classic Monitor,Google Play,ca.farrelltonsolar.classic,Z3A6QU9xcFRPRjhxczhfdnNUUFplMThucXoxZ1dIQ0NqWkI0RWlLdFNteUQ2ZVctSjRTUnNwY0FXamY4Z19VMlYyaWd4TE5Dd0NaQXN3SGMzN1hfMDNBSHc,English,,5,2017-01-27,Jim Hill,"","Edit: After using this app for a couple of days, I am upgrading my review. This is the best app for this period. It is far superior to Midnite Solar's own solution.  With some tweaking on my tablet the battery lasts well now.   ""This app seems to kill my battery quite fast like to leave it active on a tablet stuck to my wall but I think it keeps the WiFi active even after the screen times out. Perhaps the developer could add some code to put the app to sleep when the screen times out.""",,
Classic Monitor,Google Play,ca.farrelltonsolar.classic,Z3A6QU9xcFRPSGJpNlBxZzVfaDdjeDRjaThJQzVycHl2c2FkdzRhZkdqbm5rdWFLbGJXWlZDVFJiTFp2b3lVNnpEN3RMS0o3bUMxeTUwMlhKZldPQzdSeXc,English,,5,2017-01-15,klittlet005,Very useful,Great for monitoring my system over WiFi. I think the firmware on my charge controller is old or something...some things don't quite display correctly. The daily log calendar doesn't match .seems to be off by one day. Like I said probably my charge controller firmware,,
Classic Monitor,Google Play,ca.farrelltonsolar.classic,Z3A6QU9xcFRPSEI1WGlnem1nX3A5RTNNNmhmSWpHcTI4Y0g0MUx2TktweGVUX0JmLU9YcUlKMFpsWkp3QndhQ0dHdG52UDdhQ0ZZOWViXzV0TVVUNUlKSFE,English,,5,2016-08-28,Walt Tripp,"",This app is  without any question the best to keep track of your systems especially when their spread out as long as you can network them to a central location. Early visions of classic firmware don't work well so I recommend installing the latest from midnite solar. I haven't tried it on the morningstar but plan to and will give a review on that.,,
Classic Monitor,Google Play,ca.farrelltonsolar.classic,Z3A6QU9xcFRPR3hNT19WR01GTG42RE8yaC1XX1J2V1NUb2liX2VwRHRvem50MDBZOWhKcURmQ2xsNXB2Tl9VT3lod2xyMHg5dVpOSlZ5aDAzU2FheXFBOFE,English,,5,2016-08-04,Chris Schoen,"","Impressive APP! I am running three Midnite Solar Classics. This APP provides me with some powerful real-time information and data collection using my Local WIFI. The ""System"" views are excellent...nice touch!",,
Classic Monitor,Google Play,ca.farrelltonsolar.classic,Z3A6QU9xcFRPSEJ1R0hRRkIzZUhMTXg0aU1MTGtmdVU5U3MxSGFWN1k5bC1GbHFMOWRzYXpPRmVaMlU1ZjZoUVgxZE9mc0pMbEdaTktyVWRrbm1QVndjbkE,English,,5,2016-06-05,Rick Copeland,Great app,Great little app. Provides excellent information on the spot in easy to read layout..,,
Classic Monitor,Google Play,ca.farrelltonsolar.classic,Z3A6QU9xcFRPR1FHeDJSUGFRQWJZazQ4b1JiYkZ3dFJBYUVYZjdJWk1ibkxiVVF0QThXU29weUpkaWVWeUxZc2NUT2dkV1VCMVZNbGxnYVpsVlplUjBHN0E,English,,5,2016-03-06,steve white,"",Great app been using for a while now. Midnite Solar should scrap there's and pay you for a PC / Mac versions. Thank you.,,
