Date,Language,Rating,Count
2017-03-10,English,5,1
2017-03-05,German,4,1
2017-02-05,English,5,1
2017-02-03,English,5,1
2017-01-31,English,5,1
2017-01-27,English,5,1
2017-01-15,English,5,1
2016-12-27,Spanish,5,1
2016-12-20,German,5,1
2016-12-19,Spanish,5,1
2016-08-28,English,5,1
2016-08-04,English,5,1
2016-06-07,Spanish,5,1
2016-06-05,English,5,1
2016-03-06,English,5,1
2016-02-18,Russian,5,1
2016-02-09,Spanish,5,1
2015-12-21,English,5,2
2015-12-11,English,5,1
2015-09-27,English,5,1
2015-09-17,English,5,1
2015-08-13,German,5,1
2015-07-07,English,2,1
2015-04-07,English,5,1
2015-04-02,English,5,1
2015-03-18,German,5,1
2015-02-28,Spanish,5,1
2015-02-01,English,5,1
2015-01-20,English,5,1
2014-12-21,English,4,1
2014-12-03,English,5,1
