Date,Language,Count
2017-03-10,English,1
2017-03-05,German,1
2017-02-05,English,1
2017-02-03,English,1
2017-01-31,English,1
2017-01-27,English,1
2017-01-15,English,1
2016-12-27,Spanish,1
2016-12-20,German,1
2016-12-19,Spanish,1
2016-08-28,English,1
2016-08-04,English,1
2016-06-07,Spanish,1
2016-06-05,English,1
2016-03-06,English,1
2016-02-18,Russian,1
2016-02-09,Spanish,1
2015-12-21,English,2
2015-12-11,English,1
2015-09-27,English,1
2015-09-17,English,1
2015-08-13,German,1
2015-07-07,English,1
2015-04-07,English,1
2015-04-02,English,1
2015-03-18,German,1
2015-02-28,Spanish,1
2015-02-01,English,1
2015-01-20,English,1
2014-12-21,English,1
2014-12-03,English,1
