App,Store,App ID,Review ID,Country,Version,Rating,Date,Author,Subject,Body,Translated Subject,Translated Body
Hangar - Smart app shortcuts,Google Play,ca.mimic.apphangar,Z3A6QU9xcFRPR3R5ekhNOFFRU2Rvcl9QZ3ZPdG5yMzBLcV9ab1hLd3JpbHlXV0JlUm5fUEJDTFRZY3QyU2tYSFVfaVRVbTYyWDVjV0dsWVE3cEgwZE93cEE,English,,5,2017-05-16,Devin Devin,"",Badass af,,
Hangar - Smart app shortcuts,Google Play,ca.mimic.apphangar,Z3A6QU9xcFRPRmRYMzFoQmNDeFR4eXh5Qk9FbWcwVVdrRTZLdzU4SWRpVmkxWkNsYk0xZ0RQeXFUX1Nha3dBc05LaHhnRThzQl9xdjh0Ym13blQwaFV2M1E,English,,4,2017-04-20,Jeff Seale,"",Just me but I don't think Hangar itself should appear in the shortcut bar. Blacklisting it just doesn't feel right. Also think that the app stats need to be updated automatically and that there should be a toggle for this.,,
Hangar - Smart app shortcuts,Google Play,ca.mimic.apphangar,Z3A6QU9xcFRPRzVOZG9hOWNGYTJHdG9UT1VDRGJoUjFma3lLXzF6Nk1PV2lwQW1nNlEyUVBKdV9IaDh3UERrbWNreWRXeHhSMlF6Yk9xdjMtRDU3VlR6MkE,English,,5,2017-04-15,Danny Fritz,"",Creates a widget that puts your most used apps in it. Just what I want.,,
Hangar - Smart app shortcuts,Google Play,ca.mimic.apphangar,Z3A6QU9xcFRPRmY0YURPcUpOVU04S1Z3YzhBUTRFUGoybnVod01OVDl6TGtUTWdyQVF2bktCR05MaXYycktHX05ZZEVadGR3YlhMM0FVZ1h4a3F4V0RsOHc,English,,3,2017-04-03,Gordon MacK,"",Buggy and unreliable on android 7+,,
Hangar - Smart app shortcuts,Google Play,ca.mimic.apphangar,Z3A6QU9xcFRPR3BUSFFral9CR1pjb21LcExmdnRSMnkxWXpzNlFDWnE1YjlOTjIyTVdwQWpibmxzN1QxWUdlMU01NW1Jbmk2UnE5RUYwcGVBZ1YyNXFYRXc,English,,3,2017-03-16,Andrew J Gower,"",Good but unread count on icons would make it perfect. I only go into whatsapp if I see unread messages,,
Hangar - Smart app shortcuts,Google Play,ca.mimic.apphangar,Z3A6QU9xcFRPRm5PSmdCaE9uMl82b1ZtSXNYTi1meWVMZVVpU2xKa0FxRUpPcUctdEY2OTZ3emgtTktrMG56NFJEQ3AxVjJBQ0xpUS1CcFVseTZoMkZyVFE,English,,5,2017-02-26,M. James Wright,"","I was looking for a widget that sorts apps by use, this is perfect! Love it!",,
Hangar - Smart app shortcuts,Google Play,ca.mimic.apphangar,Z3A6QU9xcFRPR3NjRUFrQUZMeFNiZlNoQWQ4QTl2TmxkVUpGdU9VNUFPeHZTQ0JhVVFEVF90Zk9xYnBZdjF4SWxlQW04b1VIUC1WcEJEdW1rVTA4MS1EcGc,English,,5,2017-02-20,Mohamed Hoque,"",can we have a third row of apps as an option for the notification tray please?,,
Hangar - Smart app shortcuts,Google Play,ca.mimic.apphangar,Z3A6QU9xcFRPRm90YVBYblVXbDdEVnQ3RzUzcVF4OWQ5WVFtZkt5ZGRzcDZWNVVxZmE0Y2VIb21ScTYwbFRycW5OYW42dWVsTjQ2YlhHUGxEYzVZeWc0bVE,English,,5,2017-01-27,Wayne Ollerenshaw,"",Amazing,,
Hangar - Smart app shortcuts,Google Play,ca.mimic.apphangar,Z3A6QU9xcFRPR2g5RDM5eGdrU3VCemcxczBPUi1RYWdXb2RlWHMyOFRuTUI2cHdRWjJHd1JvM1h1UjRzakxpYjhkT25oTUpiaERZQk1oUkU2TXlXUjZFSGc,English,,4,2016-12-21,Ryan Hockenbury,Useful little app,Really well done. Add a way to remove the status bar icon independent of layout (top/bottom/normal) and it would be 5 stars.,,
Hangar - Smart app shortcuts,Google Play,ca.mimic.apphangar,Z3A6QU9xcFRPRUFGVEV2aEhTTlVjSUhrUF9jOEZTNDlfRjZuZldTSkdjanFkd2NOYTcwV01HTmgyNG5qSWdwX29CalpHd1dZWG4yNHM0MzBjLWJZRkdhbFE,English,,5,2016-12-10,Manoj Shah,Great app,Using for some time great app.  After the last update I can't seem to rid my notification.!!!,,
