App,Store,App ID,Review ID,Country,Version,Rating,Date,Author,Subject,Body,Translated Subject,Translated Body
Network Monitor,Google Play,ca.rmen.android.networkmonitor,Z3A6QU9xcFRPRkJYU0dvNXdKOUFSZ1F6WjFDR09oRFdhRmdaNWRJcmlrRmZsdkYzMTRibjRsR1hZbGZpTVhsSWZXTWV5YWhQX1dYMjNBNHBLVTR0NlhUUDVj,English,,5,2017-02-27,"","","Great app and it provides functionality not available elsewhere. But, put an option for the notification icon. All apps have such an option and the user chooses if wants to see it. Here the notification is enforced, it is not useful and takes space from the task bar. It is possible to have notification without icon on task bar (low priority). Please add this option.",,
Network Monitor,Google Play,ca.rmen.android.networkmonitor,Z3A6QU9xcFRPRmJYckNobnUyX3JOdDVNbzQzSDlueWl3WHBYSTJPQ2p4ekZNcWFXUHUxYjd2ZV9GZTU0MnlJdUlHc1FTeWxWNVA4ckE2enN3VGxvajZBVERB,English,,3,2017-02-25,Bruce Ritter,"","Updated: After several reboots and switching back and forth between data sources, my WiFi stated working again, so now I can see if it performs as hoped ( make a record of Comcast Internet outages, which we seem to get a lot of).",,
Network Monitor,Google Play,ca.rmen.android.networkmonitor,Z3A6QU9xcFRPR3NxaUpyQlVqUmRfczlHX3FGS3RuZGF6Si1EazJvVXdRMWdfQTdMWVJBZW5TNnVleVhUS0Y2YUJubXNKMm1kWHI0MFJPQ2FIcUVRRGY5MkNv,English,,2,2016-12-23,"",Inaccurate,I love the functions and reporting. But reading (download speed) error by -70% compared to Ookla. No upload speed data was collected. Tested few times.,,
Network Monitor,Google Play,ca.rmen.android.networkmonitor,Z3A6QU9xcFRPRnNxSHRsZEtla1JxSlRvdjZrRS16WE5yVVdyRzBCYjhXOWVGbVpkR216YzAtaks3akdoR1l2SjJ0TlJWeGxiQ2M3NnYzckdfZ3N3empwclN3,English,,4,2016-12-17,Nuwagaba Derick,"",Wonderful frequency coverage engineering app,,
Network Monitor,Google Play,ca.rmen.android.networkmonitor,Z3A6QU9xcFRPRjRURnFMVV9oTWpraEVkbGVta05fN3hCY2c3TDhyYkZlemI2c1luNEtRN04wbExuaHQyeTRVeUNmZGcxeUs2RF9QbFlGYm01NVM3bE9kVkxz,English,,5,2016-11-11,Kurt Finguerra,"",I'm deleting it for you my local Le or respect and thank,,
Network Monitor,Google Play,ca.rmen.android.networkmonitor,Z3A6QU9xcFRPSFczVVhJZVdPS1VTY1NaXzlGTUl4VE16YU05Z2Y1dHJNc0k5YmRxQWN6aXpLS3JWRG5LVTFKS3ZPWTlIWmcwMm9RSHRPdUIxRjNGSEVQR3lB,English,,5,2016-10-28,Diane Heilman,Dish network,Dish network,,
Network Monitor,Google Play,ca.rmen.android.networkmonitor,Z3A6QU9xcFRPRzhCNXdNVVVidV9FaERTbEtBRVMzcG1YRU0wUVNVVXp5RF9tMFJuSUZRamZKTkpCYWNCXzZDM0hkQWhQOE1TRFE2aEIwVEEzQ0NlZk9JRWRV,English,,5,2016-09-23,Nir N,"",Great tool,,
Network Monitor,Google Play,ca.rmen.android.networkmonitor,Z3A6QU9xcFRPRlBVOTN1UUFPRHJaUkRYRzhNcVU1cjA4YWdKV3N2QUMyZy1JWllCUWdrYUJOakJMZnpMWU1PWTRDckVGNGIyd18zY3M3cG5LSEpWTFFKdE44,English,,5,2016-07-11,BR Jar,Excellent app,Only issue is that log file can contain only 100 rows. Earlier this issue was not there. I tried it in many phones but in vain. Pl resolve it,,
Network Monitor,Google Play,ca.rmen.android.networkmonitor,Z3A6QU9xcFRPR3NXOHhtNHMza04wMW1MS01sbzljNTZ4YXAxR1pPdFNCOElUWHhFek5xd1YtZ2Y5aEpjbDNfNFdBVGpXMjdFck12NGpnSDBjZXV1dGNqV0VB,English,,4,2016-06-27,Rio Wong,freeze column heading row,Hard to view log without column heading during dragging log screen,,
Network Monitor,Google Play,ca.rmen.android.networkmonitor,Z3A6QU9xcFRPR3Z5bkppcHV4cExFNkdUdmUyNW1mVmcyejRVNk9aV3JWaVp3RV9tTzZUQ2ZRaVZ3SENQMS00YVlydFdxa0pYQlAwVk9GaVR0LUxiY2l1RlM4,English,,4,2016-03-16,Android Orangutan,"","It looks pretty good, I use Verizon..an I know Verizon blows but this app helps me log when it does.",,
