Date,Language,Rating,Count
2017-05-15,Indonesian,1,1
2017-04-05,Dutch,5,1
2017-03-28,Russian,5,1
2017-02-27,English,5,1
2017-02-25,English,3,1
2017-02-24,Thai,5,1
2016-12-23,English,2,1
2016-12-17,English,4,1
2016-11-25,French,3,1
2016-11-20,Spanish,5,1
2016-11-11,English,5,1
2016-10-28,English,5,1
2016-09-23,English,5,1
2016-08-21,German,5,1
2016-08-03,Indonesian,3,1
2016-07-29,Portuguese,5,1
2016-07-21,German,5,1
2016-07-11,English,5,1
2016-06-27,English,4,1
2016-04-23,Russian,5,1
2016-03-16,English,4,1
2016-03-12,English,5,1
2016-03-04,English,1,1
2016-02-24,German,5,1
2016-02-20,English,5,1
2016-01-08,Polish,5,1
2016-01-07,Czech,5,1
2015-12-30,English,5,1
2015-12-15,English,4,1
2015-12-13,Slovak,5,1
2015-12-07,English,5,1
2015-12-05,English,5,1
2015-11-08,Russian,1,1
2015-11-03,Hindi,5,1
2015-10-07,English,5,1
2015-09-23,Thai,5,1
2015-09-20,German,5,1
2015-09-10,Thai,5,1
2015-09-07,English,5,1
2015-08-20,Thai,5,1
2015-08-20,German,5,1
2015-08-16,English,5,1
2015-08-12,Malay,5,1
2015-08-11,Malay,5,2
2015-07-27,English,5,1
2015-07-19,German,5,1
2015-07-14,English,4,1
2015-07-12,English,5,1
2015-07-11,Spanish,5,1
2015-07-08,Spanish,5,1
2015-06-14,Arabic,4,1
2015-06-01,English,5,1
2015-05-11,English,5,1
2015-05-04,Russian,5,1
2015-04-01,English,5,1
2015-03-19,Spanish,5,1
2015-03-10,French,2,1
2015-03-08,Thai,4,1
2015-02-05,French,5,1
2015-01-20,Chinese (Simplified),5,1
2015-01-07,English,5,1
2014-12-23,English,4,1
2014-12-06,English,5,1
2014-12-03,English,4,1
2014-11-27,English,3,1
2014-11-18,English,3,1
2014-11-12,English,4,1
2014-10-17,Thai,5,1
2014-10-15,French,5,1
2014-10-06,English,4,1
2014-09-26,English,4,1
2014-09-03,Thai,5,1
2014-09-02,Russian,4,1
2014-08-25,English,4,1
2014-07-22,Russian,5,1
2014-06-30,English,5,1
2014-06-22,German,5,1
2014-06-15,Thai,3,1
2014-06-14,Spanish,5,1
2014-06-09,Thai,4,1
2014-06-08,English,4,1
2014-06-04,Spanish,2,1
2014-05-18,English,5,1
2014-05-16,Russian,1,1
2014-05-06,English,5,1
2014-04-15,English,1,1
2014-04-06,English,5,1
2014-03-24,English,5,1
2014-03-17,English,5,1
2014-02-25,Chinese (Simplified),5,1
2014-02-17,English,5,1
2014-02-03,English,5,1
2014-01-22,English,5,1
2014-01-19,Russian,5,1
2014-01-19,English,5,1
2014-01-13,French,2,1
2013-12-28,English,5,1
2013-12-26,English,5,1
2013-12-24,French,5,1
2013-12-22,English,5,1
2013-12-21,French,4,1
2013-12-16,Russian,5,1
2013-12-10,English,5,1
2013-11-16,English,5,1
2013-09-06,Spanish,5,1
2013-08-24,English,5,1
2013-05-27,French,5,1
2013-05-27,English,5,1
