Date,Language,Count
2017-05-15,Indonesian,1
2017-04-05,Dutch,1
2017-03-28,Russian,1
2017-02-27,English,1
2017-02-25,English,1
2017-02-24,Thai,1
2016-12-23,English,1
2016-12-17,English,1
2016-11-25,French,1
2016-11-20,Spanish,1
2016-11-11,English,1
2016-10-28,English,1
2016-09-23,English,1
2016-08-21,German,1
2016-08-03,Indonesian,1
2016-07-29,Portuguese,1
2016-07-21,German,1
2016-07-11,English,1
2016-06-27,English,1
2016-04-23,Russian,1
2016-03-16,English,1
2016-03-12,English,1
2016-03-04,English,1
2016-02-24,German,1
2016-02-20,English,1
2016-01-08,Polish,1
2016-01-07,Czech,1
2015-12-30,English,1
2015-12-15,English,1
2015-12-13,Slovak,1
2015-12-07,English,1
2015-12-05,English,1
2015-11-08,Russian,1
2015-11-03,Hindi,1
2015-10-07,English,1
2015-09-23,Thai,1
2015-09-20,German,1
2015-09-10,Thai,1
2015-09-07,English,1
2015-08-20,Thai,1
2015-08-20,German,1
2015-08-16,English,1
2015-08-12,Malay,1
2015-08-11,Malay,2
2015-07-27,English,1
2015-07-19,German,1
2015-07-14,English,1
2015-07-12,English,1
2015-07-11,Spanish,1
2015-07-08,Spanish,1
2015-06-14,Arabic,1
2015-06-01,English,1
2015-05-11,English,1
2015-05-04,Russian,1
2015-04-01,English,1
2015-03-19,Spanish,1
2015-03-10,French,1
2015-03-08,Thai,1
2015-02-05,French,1
2015-01-20,Chinese (Simplified),1
2015-01-07,English,1
2014-12-23,English,1
2014-12-06,English,1
2014-12-03,English,1
2014-11-27,English,1
2014-11-18,English,1
2014-11-12,English,1
2014-10-17,Thai,1
2014-10-15,French,1
2014-10-06,English,1
2014-09-26,English,1
2014-09-03,Thai,1
2014-09-02,Russian,1
2014-08-25,English,1
2014-07-22,Russian,1
2014-06-30,English,1
2014-06-22,German,1
2014-06-15,Thai,1
2014-06-14,Spanish,1
2014-06-09,Thai,1
2014-06-08,English,1
2014-06-04,Spanish,1
2014-05-18,English,1
2014-05-16,Russian,1
2014-05-06,English,1
2014-04-15,English,1
2014-04-06,English,1
2014-03-24,English,1
2014-03-17,English,1
2014-02-25,Chinese (Simplified),1
2014-02-17,English,1
2014-02-03,English,1
2014-01-22,English,1
2014-01-19,Russian,1
2014-01-19,English,1
2014-01-13,French,1
2013-12-28,English,1
2013-12-26,English,1
2013-12-24,French,1
2013-12-22,English,1
2013-12-21,French,1
2013-12-16,Russian,1
2013-12-10,English,1
2013-11-16,English,1
2013-09-06,Spanish,1
2013-08-24,English,1
2013-05-27,French,1
2013-05-27,English,1
