App,Store,App ID,Review ID,Country,Version,Rating,Date,Author,Subject,Body,Translated Subject,Translated Body
Poet Assistant (English),Google Play,ca.rmen.android.poetassistant,Z3A6QU9xcFRPRU12SThkUmRCaVZCckM5R2d4elQ2bVp4WWdYRVlXVG4tYkpBQXJSYUVXS0FDX1hjczVWQTBHNVI5Sm8wNFBYbklWaVVNVHg1eHJlYVE2Mk9n,English,,5,2017-05-21,The Zombified Cat,"","I got a suggestion. A strict rhyme for Europe, stirrup.  Other than a few missing things like that (unless there is a reason that those two words aren't strict rhymes) this app is amazing. I make rap songs and this app helped me make 5 songs, I've been using it for a few months",,
Poet Assistant (English),Google Play,ca.rmen.android.poetassistant,Z3A6QU9xcFRPSGg4Y0pkdGNnOHdrb2pkMFI3OXcwemdvNm9ILTJrUkl6MDFuRkZRZFVGZF9reUc1b2FqdC1mVG1ELTcwbnN1QXNqdDdqZ2xHQzdsSFF6VTJj,English,,2,2017-05-19,"","","Devs, download VersePerfect rhyming dictionary and see how this is supposed to be done. Then work out the best way to do stuff like SYLLABLE-COUNT or hyperbolic thesaurus on an android device and become the best lyric writing app bar none..",,
Poet Assistant (English),Google Play,ca.rmen.android.poetassistant,Z3A6QU9xcFRPRU1QTFhxRElreXdUWmFBbDd1a0RjNVdvMWZSRHNROHUyNzFBeURGSndBWG91WHlMZExUWWxzUF9Cc2JreUtWaDFNcENEaEZmQ21xU29IZ0hZ,English,,5,2017-05-19,"","",I loved this one!!,,
Poet Assistant (English),Google Play,ca.rmen.android.poetassistant,Z3A6QU9xcFRPR29mVnhqVUdsdkJTRUhTTS0wMWVWVEVpMWR6XzZPT0VJV0JCMGRYQVVwdkFpUnk5aUcwbU9NRTZXZUFIRmhmSC1DM0pJTUZHU1hSc1BPRTRR,English,,5,2017-05-17,Sebastian,"",Amazing. Great for offline use and gives you every possible aspect of information about the word. Favourite app for sure.,,
Poet Assistant (English),Google Play,ca.rmen.android.poetassistant,Z3A6QU9xcFRPRnJXMzVZblI4TDQzR2M2R0dHQlBhX3hIMlJRaXVudm5vUWVnM2pHdS10c0Y5SXhoOGV6TlhwQ3YxakgyTVZ5RW5WelNTV2tidTV1YXdwQ053,English,,5,2017-05-15,Mohsin Ali,"",What a splendid app..,,
Poet Assistant (English),Google Play,ca.rmen.android.poetassistant,Z3A6QU9xcFRPSG1qUFJQUm9peERacTF2ZkpWM3lTcU9iblREYXZNLVN5RDNaMUxhZU80R004blRpYW8yZU0yOWQyLWQyYUNfQ05IT3dhQVI5LWxNZ2c5cXg0,English,,5,2017-05-14,Madhavi Dalvi,"",I searched for an app which had rhymes in it but I didn't focused on the other things that this one provides like having thesaurus and a dictionary. I used this app for nearly 10 minutes and had no idea of these things. Then I downloaded an another app having dictionary and thesaurus but it didn't have rhymes. Even  I wanted synonyms and antonyms in a app. And now I think I got one. And it is this one. Very good app. Developers please pat on your back.,,
Poet Assistant (English),Google Play,ca.rmen.android.poetassistant,Z3A6QU9xcFRPRzhpN0FKOG5YUlZ1Y3pSRzB1dHhwX1VqeDVHTHBVdmNtR1pkQW1OZEd1OVhrWlA4S2E0VWpxMFFKLWJoczNsOTRMU0NZWjVvc0hGazBuOXNN,English,,5,2017-05-13,Adanma Eke,"",Love the app,,
Poet Assistant (English),Google Play,ca.rmen.android.poetassistant,Z3A6QU9xcFRPRWxFMHFWcTAwZ3E5Q1pVMmxvbmZ5MERWRTFVVkVIRU9ONndUU1NEaHFFUU5RYm5fbG55UnU4UEtpS3hSQmZkdXFyNS0yMGE1cFF6MUxzUFln,English,,5,2017-05-09,MADHAV KESAR,"",Perfect,,
Poet Assistant (English),Google Play,ca.rmen.android.poetassistant,Z3A6QU9xcFRPRTFONGRRaFVBNExSVmJlVVdyVExwQmxTU3NqVk1hM1BSNlZmZWFZd3RERXlQdUNLWm1nYnp0RWNFYUJabUxkamF0T0Z4N3hCNFkwX25rV0hr,English,,4,2017-05-09,Christian Bermejo,"","Love this app and how it helps with being able to expound the possibilities of my writings. One thing to note though is, perhaps it might be due to muscle memory but it is a bit jarring that when I search a word, tap on either R, T and D and press back, it would exit the app rather than go back to the previous word.",,
Poet Assistant (English),Google Play,ca.rmen.android.poetassistant,Z3A6QU9xcFRPR3prUWV5UzVIV0JNT3hEVXJyRHM2VTRXUU9ISjZiOURBYzRUY0h0bVdHd0NNN01NdzNYUlRaMHc4X25MV2RPNndGc24wYVVQSEJka21QcE5Z,English,,5,2017-05-08,"","",Its fantastic because it can give you rhymes you expected,,
