Date,Language,Count
2017-05-21,English,1
2017-05-19,English,2
2017-05-17,English,1
2017-05-15,English,1
2017-05-14,English,1
2017-05-13,English,1
2017-05-09,English,2
2017-05-08,English,1
2017-05-07,English,1
2017-05-06,German,1
2017-05-04,English,1
2017-05-02,English,1
2017-05-01,English,1
2017-04-30,English,2
2017-04-27,Portuguese,1
2017-04-22,English,2
2017-04-21,English,1
2017-04-20,English,2
2017-04-18,English,1
2017-04-14,English,1
2017-04-11,English,1
2017-04-10,English,1
2017-04-06,English,1
2017-04-05,English,1
2017-03-31,English,1
2017-03-30,English,1
2017-03-29,English,1
2017-03-28,English,2
2017-03-23,English,2
2017-03-21,English,1
2017-03-19,English,1
2017-03-15,English,1
2017-03-13,English,1
2017-03-12,English,1
2017-03-10,English,3
2017-03-09,English,1
2017-03-06,English,2
2017-03-05,English,1
2017-03-02,English,1
2017-02-28,English,1
2017-02-26,English,1
2017-02-23,English,1
2017-02-21,English,1
2017-02-17,English,1
2017-02-16,English,1
2017-02-14,English,2
2017-02-13,English,1
2017-02-11,English,3
2017-02-10,English,1
2017-02-09,English,1
2017-02-08,English,1
2017-02-05,English,1
2017-02-04,English,3
2017-02-03,English,1
2017-01-31,English,2
2017-01-29,English,1
2017-01-24,English,1
2017-01-22,English,1
2017-01-20,English,1
2017-01-19,English,1
2017-01-16,English,3
2017-01-11,English,2
2017-01-10,English,1
2017-01-08,English,1
2017-01-06,English,2
2017-01-02,English,1
2017-01-01,English,1
2016-12-29,English,1
2016-12-28,English,2
2016-12-27,English,1
2016-12-25,English,1
2016-12-24,English,1
2016-12-20,English,1
2016-12-17,English,2
2016-12-14,English,1
2016-12-12,English,1
2016-12-11,English,1
2016-12-10,English,1
2016-12-09,English,1
2016-12-08,French,1
2016-12-08,English,2
2016-12-07,French,1
2016-12-03,English,1
2016-12-02,English,2
2016-11-30,English,1
2016-11-28,English,1
2016-11-25,English,2
2016-11-24,English,1
2016-11-22,English,1
2016-11-19,English,2
2016-11-18,Portuguese,1
2016-11-18,English,1
2016-11-17,English,1
2016-11-16,English,1
2016-11-12,English,1
2016-11-11,English,2
2016-11-10,English,1
2016-11-09,English,1
2016-11-05,English,1
2016-10-31,English,1
2016-10-30,English,1
2016-10-28,English,2
2016-10-23,English,1
2016-10-21,English,1
2016-10-20,English,2
2016-10-19,English,1
2016-10-12,English,1
2016-10-06,English,1
2016-10-05,English,1
2016-10-04,English,1
2016-10-03,English,2
2016-10-02,English,2
2016-10-01,English,1
2016-09-28,English,1
2016-09-27,English,1
2016-09-21,English,1
2016-09-20,English,2
2016-09-19,English,1
2016-09-18,English,1
2016-09-17,English,1
2016-09-16,English,1
2016-09-15,English,1
2016-09-12,English,1
2016-09-10,English,2
2016-09-09,English,1
2016-09-02,English,1
2016-09-01,English,3
2016-08-26,English,1
2016-08-23,English,1
2016-08-22,English,1
2016-08-21,English,3
2016-08-20,English,2
2016-08-19,English,1
2016-08-17,English,1
2016-08-13,English,1
2016-08-11,English,1
2016-08-08,English,1
2016-08-07,English,2
2016-07-26,English,1
2016-07-25,English,1
2016-07-18,English,2
2016-07-16,English,1
2016-07-14,English,1
2016-07-13,English,1
2016-07-12,English,1
2016-07-05,Portuguese,1
2016-07-05,English,1
2016-07-04,Slovenian,1
2016-06-28,English,1
2016-06-27,English,1
2016-06-18,English,1
2016-06-16,English,1
2016-06-08,English,1
2016-04-20,English,1
2016-03-28,English,1
2016-03-19,English,1
2016-03-10,English,1
2016-02-29,English,1
2016-02-28,English,1
