App,Store,App ID,Review ID,Country,Version,Rating,Date,Author,Subject,Body,Translated Subject,Translated Body
Nounours and friends,Google Play,ca.rmen.nounours,Z3A6QU9xcFRPRTBkWjZuTC1lNkRXWDc0SDhzTEF5THJGNmxiM2hKbm5RUU5MLXFQRTQwTm5yV3RyNUdSVUZfWGhNcjgzWFJKVzA1OTZGRURDRnRKTEUtSXBV,English,,5,2015-08-01,Lovely Yanit,nice,love it,,
Nounours and friends,Google Play,ca.rmen.nounours,bGc6QU9xcFRPRW9xZDM1Q3A0dlpaVUF2Ym85b25iSVN3NzJfQ3pqZWo5cmNmZ1Rjam14d0tXcHFwTjFuQ1J3dVJyMW52V29mSEVSNjFIMmRPb3VRcnFsSFlZ,English,,5,2012-05-19,A Google User,My daughter loves this,My daughter laughs every time i give her the phone with noonours on it.  Awesome. .,,
Nounours and friends,Google Play,ca.rmen.nounours,bGc6QU9xcFRPRTg1cFRtdHp0U1dQMGJ6dnRlRVlTVFNUbDM5WHM1UmJBenVzcXZlaGNTUkdOVFlreGhReG5qX1hubnJrdGhnaGluSXNiVWVzS21JTWdrdDI0,English,,5,2011-03-25,A Google User,"",Oh. When I 1st saw this I thought it was for scheduling lunch time quickies. This app is for the lil ones possibly created by those type of nooners.,,
Nounours and friends,Google Play,ca.rmen.nounours,bGc6QU9xcFRPRkw0emthTWREQ0ROU29sWUx0Z1ZhVUxiQ2taMFNrYTlDZ0lNZEZ4WVA3d1gtVUlBZURvMHdmNGcyRHdnZHh5MU5mb2JYTm5YMXd5SzB1VXFB,English,,1,2011-02-27,A Google User,"",Awsum but Cnt save as walpapa,,
Nounours and friends,Google Play,ca.rmen.nounours,bGc6QU9xcFRPRnhHWjJfOWNNY1dBaTJEelE3LVlod09YS0lzZFZrX1lKdHAtX01aUFQ0MkY0ZzlEdVoyZ25DdXNLWEh0SUJtWVpDckRReHU4TlFXeU4zZkJ3,English,,5,2011-02-13,A Google User,"","logan, you are seriously disturbed to want to dismember a cute virtual teddy bear!! Ugh!",,
Nounours and friends,Google Play,ca.rmen.nounours,bGc6QU9xcFRPR1ExWHVoZEoyQWpyRjFrY2NHalJ4NE5jRnpxRFhCYmQ5YXFaT1dnRUNXOEdiZ3ZIZU1qeHZuXzdKa3dVTl9aa3pkLWtITXowR3gzV3dpSVpZ,English,,5,2010-12-19,A Google User,"",Love it great fun not 2 memory consuming either,,
Nounours and friends,Google Play,ca.rmen.nounours,bGc6QU9xcFRPR3JKZ3BuWFc0clFrc2tzbEFkeXNSdk1kcWI5VDJNVTN5Q1RvRExwOHc1b3pJS05oUEtadEFkUHRRSmtlVmRhTXhjbHlHWm83b0l6X1lpcGkw,English,,4,2010-12-12,A Google User,"",Awsome but can we pull the paws and stuff off,,
Nounours and friends,Google Play,ca.rmen.nounours,bGc6QU9xcFRPRnRjYUNTYm9qWm1nc0I0TU1tbnhCNDR3cWliWDRjc2pMaWpoREUxbi1OT3M4QkhENDc1U004SmlUb3dNX194dC1Gd0NpTFhpNXB5ODFQWU4w,English,,3,2010-11-10,A Google User,"",My niece loves this so guess its staying on my phone,,
Nounours and friends,Google Play,ca.rmen.nounours,bGc6QU9xcFRPRnNUYjAzTFJOWHVhcE9pQkdXN3ZJRWp3X2pRclZqelZ6aVZNNllaWktMZF8wMXFMNnBXendFbm01aTNlaTBjMmQyY1o4aENna09jREV6UXNz,English,,1,2010-09-24,A Google User,"",Kinda dumb. Thought it was cute but no.,,
Nounours and friends,Google Play,ca.rmen.nounours,bGc6QU9xcFRPRWU1Nk5jWVc3SFBVTjVRTlBTSFlRQndUS081Tk15N1pLMDhoeTJiNzhCclk0ZTFaOF9LcmNKSnlDYVlmUVgycnZkMTNCU1hmeHg4X0VxaDhF,English,,5,2010-09-16,A Google User,"",AWSOME TEDDY BEAR! Wish u could use it as WALLPAPER. I still rated it 5/Star. Unistalled but NICE!,,
