Date,Language,Count
2016-07-17,French,1
2016-03-04,French,1
2015-08-01,English,1
2015-06-08,Turkish,1
2014-04-23,Spanish,1
2013-08-29,German,1
2012-09-20,French,1
2012-09-16,Spanish,1
2012-05-19,English,1
2012-05-07,French,1
2011-12-05,German,1
2011-04-08,French,1
2011-03-25,English,1
2011-03-11,French,1
2011-02-27,English,1
2011-02-25,French,1
2011-02-13,English,1
2010-12-30,Korean,1
2010-12-19,English,1
2010-12-12,English,1
2010-11-11,French,1
2010-11-10,English,1
2010-10-22,French,1
2010-10-09,Spanish,1
2010-09-29,French,1
2010-09-24,English,1
2010-09-16,English,1
2010-09-08,French,1
2010-08-14,French,1
2010-07-24,English,1
2010-06-27,French,1
2010-06-26,French,2
2010-06-15,English,1
2010-06-10,English,1
2010-06-09,English,1
2010-06-05,English,1
2010-05-26,French,1
2010-05-25,English,1
2010-05-24,English,1
2010-05-11,English,1
2010-05-10,English,1
2010-05-09,Spanish,1
2010-05-07,French,1
2010-05-06,English,1
2010-05-02,French,1
2010-04-11,English,1
2010-03-22,English,1
2010-02-12,English,1
2010-01-18,German,1
2010-01-17,English,1
2010-01-08,English,1
2010-01-01,English,1
2009-12-30,French,1
2009-12-30,English,1
2009-12-22,English,1
2009-12-12,English,1
2009-11-26,English,1
2009-11-19,English,2
2009-11-18,English,2
2009-11-03,English,1
2009-10-31,English,1
2009-10-25,Dutch,1
2009-10-18,English,1
2009-10-14,French,1
2009-10-09,English,2
2009-09-28,English,1
2009-09-21,English,1
2009-09-19,English,3
2009-09-17,English,1
2009-09-05,English,1
2009-09-01,English,1
2009-08-24,English,1
2009-08-19,Spanish,1
2009-08-19,English,1
2009-08-17,English,1
2009-08-11,English,1
2009-08-08,Spanish,1
2009-07-25,English,1
2009-07-11,French,1
2009-07-01,English,1
2009-06-14,Italian,1
2009-06-14,English,1
2009-06-11,English,2
2009-06-09,English,1
2009-05-31,English,1
2009-05-26,Spanish,1
2009-05-24,English,1
2009-05-21,French,1
2009-05-18,English,1
2009-05-15,English,2
2009-05-14,English,3
2009-05-13,French,1
2009-05-13,English,10
2009-05-07,English,1
2009-05-03,English,1
2009-05-01,English,3
2009-04-30,English,8
2009-04-29,English,15
