App,Store,App ID,Review ID,Country,Version,Rating,Date,Author,Subject,Body,Translated Subject,Translated Body
Player for Rainwave,Google Play,com.flashsphere.rainwaveplayer,Z3A6QU9xcFRPRmc0SkhzdTIzQVZ3Y3N1YmxoVUVwRnE0dGRpUkdGcEdOck1BaWNQd1RSZlBtZTBGNGlBbnJjRDJwMm5ZdW1jQkxsZWU5YnFXYVp4MlM0S0tj,English,,5,2017-03-15,jurriaan schols,"","I love the app! I love game music and the request system is awesome! If you requested a song on a long ""cooldown"" it will wait for you to come back online so you can still enjoy the request :D a true recommendation to all game lovers.",,
Player for Rainwave,Google Play,com.flashsphere.rainwaveplayer,Z3A6QU9xcFRPR0xzVlV2NjdialNkRTlaTlJ4WFJmekxBamtVZlFqU3FLcHVSSkVWUzBBb0Q3cnNfUEdHSDBsRnRKR1pueXpvSTZJUTZtVTFmYXNabXp1bEtr,English,,5,2017-01-22,jan harald,"",no wonder it has 4.9 stars... simply amazing...,,
Player for Rainwave,Google Play,com.flashsphere.rainwaveplayer,Z3A6QU9xcFRPSHo3U3l4M285SE5ZWkxYWGlVcXI0amRTV3o5X3pIcmZaVkV5d1BQSWdxYzRNREdHTm5GdDJQdUdndkhOUGp3eXpPMHF1N2tMeTl3Q0tDazBJ,English,,5,2016-12-28,Chris Zammit,Perfect,Thank you thank you thank you!!! I have wanted an app that does EXACTLY THIS for YEARS. This app is perfect and does what it needs to and isn't bloated and doesn't have ads and I could hug you. I will use this app constantly.,,
Player for Rainwave,Google Play,com.flashsphere.rainwaveplayer,Z3A6QU9xcFRPSDM2c0ZsaXZUVXo1YUdNS1g0dExCN2RNXzFacWJOenVwSHRkZUkzeVl4VmM5UjlNOS1OYTNTcUJxNmJUeGpDTXZRSFFEX2hEYlJGT2dOTURN,English,,3,2016-12-09,Nieves Mares,"","It kinda works"" need support and updates. some music stays on cool down for 3-4 days and don't refresh it self automatically after picking music. Any suggestions???",,
Player for Rainwave,Google Play,com.flashsphere.rainwaveplayer,Z3A6QU9xcFRPRkQtM0ZncV9HOW9pa1h2VTBvSFlXbVRUcUdJUGJEMzU1VllZQ0ZWWnRjWUJYUURMandpWlVhcl80M0pRYTF2djExQ2lEQlFBNVNNOHdlcklF,English,,5,2016-12-04,Jamie Darnell,Great app.,Great app for enjoying video game music.,,
Player for Rainwave,Google Play,com.flashsphere.rainwaveplayer,Z3A6QU9xcFRPRTJ5SzZXWGNmTHlzMEowSmgwRWZkWUdtTFE4QlBQcUhXRTFnQm1MVjRlbVhUbkxjbmlBdDQ2dVdCWXVncFl6RHF0OHl6eHJrdHByVFVtVmpZ,English,,5,2016-11-08,JD Mills,"","This app is amazing. Would you consider adding Android Auto support? There are dozens of us! Dozens! EDIT: it works! It would be nice to be able to see my request queue, or at least clear and refill the queue with favorites/random songs, just like the smart phone and web interfaces allow. Android auto seems to disallow interactivity almost by design, so I'm not sure if this is technically possible. Maybe it's a safety thing. I'm really grateful for the addition, though. Thank you so much.",,
Player for Rainwave,Google Play,com.flashsphere.rainwaveplayer,Z3A6QU9xcFRPSGhTalozSXN0LTdTUGtJZ0FWR0FJMk4tTnpRbV96R3dpeDFGYTBibXJ4c2hTZEptQ05TdXRCenJ5M0ZMRThFbE9NcW5TVFpUWlI3UWZNUTJv,English,,5,2016-11-06,Matthew Alley,App excellence,One of the bests apps I've ever used. Does exactly what I wanted/needed. The perfect replacement for DI's missing chiptune station.,,
Player for Rainwave,Google Play,com.flashsphere.rainwaveplayer,Z3A6QU9xcFRPRmx0NHlsM0xCMlJyV0lDZVNFS1JSRVdTMm00eUZoMERMS0hLYXplZWJoa08xTGRta0daTlQ3TEY0UVRQdXQ5YTJyM21VVWhNa25LR0JvWEpj,English,,5,2016-10-30,"",Exactly what this Rainwave listener wanted,"This app gives you almost all the power you have on the full website, and it does so with a simple, smooth, and reliable interface.  A few small recommendations: it would be better if the rate-a-song prompt were somehow designed so that one's finger didn't block the star rating he or she wanted to give.  Also, it would be nice to see one or more ""previously played"" songs such that one can rate a song once it's over rather than in the middle.  These are only minor flaws in an overall excellent app.  Thanks!",,
Player for Rainwave,Google Play,com.flashsphere.rainwaveplayer,Z3A6QU9xcFRPSGtHenFFUnN3Q3hNWnNHQmdfN1dWQ19vb0dHUkF5QmtfVEdwcXQwRlgyRlh4VDlMT3U0eE9ERkZPVHV4cDdiSk4wT1FzUzdJam5TTmpxTC00,English,,5,2016-10-08,nostalgianinja,Perfect app!,The app works better than the previous rainwave app that required an companion app.  Would love to see the current song name on the lock screen after waking the phone up from sleep.,,
Player for Rainwave,Google Play,com.flashsphere.rainwaveplayer,Z3A6QU9xcFRPRV9qU1BqU2lWaVMzVkxXNHFMY2ZrM00zMUhEd08zTk9GN053OFJDTGJFdzVyMG1taklzbFFCaGc4V2lJeG5WQ2pZY1JGMjMyQjhxTDktOWpV,English,,5,2016-08-29,Mozgus,Five stars now,You are on fire! Keep it up! Any chance for Chromecast support?,,
