App,Store,App ID,Review ID,Country,Version,Rating,Date,Author,Subject,Body,Translated Subject,Translated Body
APN Switch,Google Play,com.mdb.android.apnswitch,Z3A6QU9xcFRPRWhvelNzQkNJU3JySThGeVRuaVpiT19ONXVtM2Fydk00Z3NTMUlDWEZqakgtMThQeXhFMUlLUExfZW5OMTEyeDgzR3N5dG5ZQzFRZUxia1E,English,,5,2017-01-09,Babu Babu,Babu,Babu1234,,
APN Switch,Google Play,com.mdb.android.apnswitch,Z3A6QU9xcFRPRldhZ1dYeVd0X2VXT2FHTVBVeVBYWkhpdWlHWjFoR1gwXzdNc2w0UmxNV0RmM0E4X0g2UWtYaEFfUkltcng4QUJhekt0azhIOGlKVndXbmc,English,,5,2016-11-02,ဘာမွမရွိ ဘာမွမသိတဲ့ ဘာဘာ,My,J700H,,
APN Switch,Google Play,com.mdb.android.apnswitch,Z3A6QU9xcFRPSGZ3dGluaUN1ZUlfMlRQY204ZlVGQ2dMUWlwLXdDbDRxekg0WmszcGNyYkNJMEJ2LUl0TDFSbk9tT3lsMEw3YTJtaVcwUW92MHF0enlSN0E,English,,1,2014-11-30,chanabasappa M,Useless app on lollipop,Don't install can't function in lollipop pictures mislead,,
APN Switch,Google Play,com.mdb.android.apnswitch,Z3A6QU9xcFRPSGVWbklMbThjVUV1N1p4cmtqUmJHR1pGM290WWlla1dPaUIzSWFIUGpEUExYSkdjNlVJVGk4OUJUc2xrOWc3a1pRaTI3ZlZXbm0xVlNOZ3c,English,,5,2014-11-23,Mathieu De Brito,Perfect,Quick and easy,,
APN Switch,Google Play,com.mdb.android.apnswitch,Z3A6QU9xcFRPRzdPN2NieDBtZDVQSmlaZks3ZG1zajRBWWRzSXllVDhRV1l5ZGlwa09RdlBtdUhNdlJFd2xKZ25BZUZOTzN4Uk5WNkVMNVFJZUxTMzdYYVE,French,,1,2017-01-26,Jordan Uros,"",Comment sa marche,,
APN Switch,Google Play,com.mdb.android.apnswitch,Z3A6QU9xcFRPRWhBbERQczd2RmI3bXZxeW43UHN2alhZWkJHSGlQTGVNTlh0WTl3WG9JdWtjS3o5dUh4ZnA4OWx0OC1NM1U1SXFXTDllajF6OU8zNkdEeEE,French,,5,2016-11-24,"",Gold,Gold,,
APN Switch,Google Play,com.mdb.android.apnswitch,Z3A6QU9xcFRPRWJ5MnVGakVhM1d2Z1JZdmJNelFPQ21CazdwbFo4d1hJNGEtaUhtLTJIOGVHY2JDajl3RVhJNDJiQVAzbmV4WFNyNHkyYjBBdkUzN3ZnSWc,French,,1,2016-10-28,"","",👎👎👎,,
APN Switch,Google Play,com.mdb.android.apnswitch,Z3A6QU9xcFRPRjNHTklPeEhLLTZmV014dlNKWjRzaU1LNnBNQllTNjNrVTd0V0tSN2hORlFMRVBTTTMxVE5MVk0wYkVNeFFXdlRCYnJVVG1tMU9SOW0yWFE,French,,5,2014-11-25,Cécile Alcaraz,Perfect,Does exactely what it says,,
APN Switch,Google Play,com.mdb.android.apnswitch,Z3A6QU9xcFRPSEhIa1NjeG1FTmdqWk5kU0lrZXhEOHlVcUdMaWwzdEstYTYzMmhyLUpENWFkcGxteVBtRDZlWlZxLXFKMXZKVjY5WG0yMkVmMXRZS3dSaUE,Indonesian,,4,2017-03-02,Joko Ompong,"",Coba dulu,,
APN Switch,Google Play,com.mdb.android.apnswitch,Z3A6QU9xcFRPRmVNR3NRYmJHZktYRXpVanY4ajRTaUdBTlhyVEVHSVoxTW11ZTY3UTN3RW0yS2poNThOeFhleUNaQU51RWxLb0VxOVctN2dZUk5uWmUxX2c,Indonesian,,4,2017-01-17,antono Putra,"",Bisa diandalkan,,
