App,Store,App ID,Review ID,Country,Version,Rating,Date,Author,Subject,Body,Translated Subject,Translated Body
Vanilla Music,Google Play,ch.blinkenlights.android.vanilla,Z3A6QU9xcFRPRTJON3EtaDJQRWhxTlJCbzFVc0FzNUs5Qlk4VmY5aks1SDk0VldGdTljeTNCUDllTXI1YnBuUWxoWG5LbTRfYWFNZkMtemQzVDZOby1nQlE,English,,1,2017-05-22,dips h,"",Its nt working wth oppo f3,,
Vanilla Music,Google Play,ch.blinkenlights.android.vanilla,Z3A6QU9xcFRPR2R3WG92VDdLTEswVDZpbjZXVTJNd3FXMHQyODZpeElhZzJMOWh4REJGdVo1czFTb2pBS2JMc05XNkxVSjQ0Snd6aVpjWWp0RGZiRUpsNWc,English,,5,2017-05-21,Anthony Mapes,"","My only complaint is that there is no option to choose which folders to include or exclude in the library. UPDATE: Vanilla uses the Android media system... To exclude a folder, place an empty file named '.nomedia' in the folder",,
Vanilla Music,Google Play,ch.blinkenlights.android.vanilla,Z3A6QU9xcFRPRnhfWHFBZWFKYTRIRGZqQUV5c2lxQ0R4QzFQSnlFN0NpNUxCYjk3TmUtSDd5YnVZSmlEaGl2MnZlSlVMUm03QjZZOGRBejB5SXh3ckN3UEE,English,,5,2017-05-18,Subrata Biswas,"",Previous version was better&amp;lt;\b&amp;gt;. Update 1.0.51 is not good for me. I think version 1.0.50 UI looks better with separated tabs. Placing the Tabs closer looks clumsy to me.,,
Vanilla Music,Google Play,ch.blinkenlights.android.vanilla,Z3A6QU9xcFRPSE5jZjl5MUhZWFlTN2lSTm1KZzZaSXY5ZTBDTDdTOUJjNHI2MHZwM0JLX3RacUVXRkpXcmNIeVlXemdhUGg0Q0hZRFp6QzJlLTM2ekVpclE,English,,1,2017-05-16,Илья Григорьев,"",Does not enqueue all tracks from an album,,
Vanilla Music,Google Play,ch.blinkenlights.android.vanilla,Z3A6QU9xcFRPRW5BblY2dXZDcHZlQlJqdHc1Y0pkc1daQ0pXLUtkVElsUDVDVDlHdkhCSUdCSThUSmFGV1czbzZ2TnNiNmc0blU1UUFPSjlGZUoybXFXRHc,English,,5,2017-05-15,Oyster Astar,Great,There is one problem I cant fully quit the app it stays on notifications,,
Vanilla Music,Google Play,ch.blinkenlights.android.vanilla,Z3A6QU9xcFRPRUZydG1WNEJGdHJ3eHVMWHdwSVNBSTFDd0F1MllPMTVMbG55RVlTV0x3RjFNWW5zRTBPeXlZUWt3d3JPbU0tejkzekl0dm83Nkl3WDZhaHc,English,,1,2017-05-14,"","","I cannot add any song to my playlist, it was working without any issue before last update.",,
Vanilla Music,Google Play,ch.blinkenlights.android.vanilla,Z3A6QU9xcFRPR2pzYjRuUm5nMzR2R1FQaGhFWUh4N3EyU2VzaGFzTDFUbkJIZkRWWEVBeXhZTWplcTA1aWxNY3B0UENIeV9UYS1NV0pKMzdmbVFqS0VtSEE,English,,5,2017-05-12,johan pratama,"",this is simple app and easy to use,,
Vanilla Music,Google Play,ch.blinkenlights.android.vanilla,Z3A6QU9xcFRPSF92SmdzdnBWWm83bHFEX0hEODhmTmRkQnRFWFNhZV9MNFhuT0dHMk5PTVlnNlJwOHdQREdId2o3T3cwSUtILVhYSjE4VUUyZkRBNENGa2c,English,,4,2017-05-10,Michael Andrew Flynn,"","Almost perfect, just please add options to adjust the track play speed.",,
Vanilla Music,Google Play,ch.blinkenlights.android.vanilla,Z3A6QU9xcFRPR1psOFhRM1owamp2bEFoemlUVkdqck54Y0wtZWpxT0prWFdVeUZ2VzJDRGNmVThTRTZ0QXM2aV9rRmY4TVZlekxVMGFSMkJ4aHZRSzI0VkE,English,,5,2017-05-06,Shane,"",Beautiful. Lightweight. Easy to use. And support for replay gain.,,
Vanilla Music,Google Play,ch.blinkenlights.android.vanilla,Z3A6QU9xcFRPRkExRDA5MGRwSUVqT19NMXNQYTRyekZMY3lOMmxRcWZqbWhDVWZ1NWZkMzlha0hyQWxHNVRPWTY2N0V2TERwYlFEZ1VtU1RWcDhBUGl4OWc,English,,5,2017-05-03,Saurabh V,"",Simply Powerful ✌,,
Vanilla Music,Google Play,ch.blinkenlights.android.vanilla,Z3A6QU9xcFRPR3EtaUtKOG9WaXlEbTF4eHZKVGRScVpqUlAxRWx5WFdVaDdqUVVQWmE0Y25Ld0xYQzFQc0E2Y1Y2T3lXN3FoQllTMEZhQWhaSFZBQ0VvWXc,English,,1,2017-04-30,Johnny Hanlon,"","This dev wouldn't answer an email on the fact that 2 updates ago it stopped finding all my songs &amp; I've had this app 5 years. After nougat update I noticed it was possibly draining my battery. Uninstalled it and it wouldn't install again no matter what. So it was causing issues and I have an S7. I can deal with that issue, but not a dev that doesn't answer emails.",,
Vanilla Music,Google Play,ch.blinkenlights.android.vanilla,Z3A6QU9xcFRPRmdXVTVkdXM4TllaRmZnR1c2NUV4ZGZuczJXX2tmdUFBdlg0WDVtN0k3UmtFd0JnWkVJNks2dTZBbENnVzBKNlU4NDJONXM5eEY0ZUJNY0E,English,,5,2017-04-29,Anthony Moreno,"","Five stars for supporting MirrorLink through Rockscout for my Honda Civic. This app gives me access to my music and does well, thanks",,
Vanilla Music,Google Play,ch.blinkenlights.android.vanilla,Z3A6QU9xcFRPSElUMTA1R3gtaUZfSy1MUkdDTVExNEpzb0doellSZ09qTDd1SGFqTEw0SjFKa25NUnJUOVpMc3hNYzRwS2tZcUJreC1lSDdKNE9uWnBSU2c,English,,4,2017-04-23,Samuli Kapanen,"",Very good music player. Feature request: ability to set custom fade/delay between two songs,,
Vanilla Music,Google Play,ch.blinkenlights.android.vanilla,Z3A6QU9xcFRPSGFlOWlKYmQxVlQwRlF3SXBCMGs5RUN1eU9WRW5BeThVNTQxYjYyLUdxdTFHdFY4V3hyRWpFSHBGbmdFdE1tSWdIX0dZRjZZbGlwVU50akE,English,,5,2017-04-19,rajesh tripathi,"",BEAUTIFUL APP TINY AND POWERFUL APP LOVED IT.,,
Vanilla Music,Google Play,ch.blinkenlights.android.vanilla,Z3A6QU9xcFRPRkY5VmFPcV9Day05ZWVoZExVbDZEVEw0WWw4Zjg3WmNhQktibjBWNEMxVl8yMDI4YVQ2T1g1THpxMmdzT3F3SHJGaVpyM21OSFVTQ0xQdlE,English,,5,2017-04-10,"","",I am sure it is better than hikky player because if you launch app that sounds too this player continues playing. Hikky player doesn't.,,
