Date,Language,Count
2017-05-23,Spanish,1
2017-05-23,Polish,1
2017-05-22,English,1
2017-05-21,English,1
2017-05-20,German,1
2017-05-18,English,1
2017-05-16,English,1
2017-05-15,English,1
2017-05-14,Spanish,1
2017-05-14,English,1
2017-05-13,Korean,1
2017-05-12,German,1
2017-05-12,English,1
2017-05-11,German,1
2017-05-10,German,1
2017-05-10,English,1
2017-05-09,Russian,1
2017-05-07,Spanish,1
2017-05-06,English,1
2017-05-03,English,1
2017-05-02,Indonesian,1
2017-04-30,English,1
2017-04-29,English,1
2017-04-27,German,1
2017-04-26,Portuguese,1
2017-04-24,Japanese,1
2017-04-23,English,1
2017-04-22,French,1
2017-04-21,Spanish,1
2017-04-20,Polish,1
2017-04-19,Chinese (Simplified),1
2017-04-19,English,1
2017-04-18,German,1
2017-04-18,French,1
2017-04-13,Portuguese,1
2017-04-12,Spanish,1
2017-04-10,English,1
2017-04-09,German,1
2017-04-09,English,1
2017-04-08,Russian,1
2017-04-08,English,1
2017-04-07,German,1
2017-04-07,English,1
2017-04-06,English,1
2017-04-03,Russian,1
2017-04-03,German,1
2017-04-03,French,1
2017-04-01,English,1
2017-03-30,Russian,1
2017-03-25,Spanish,1
2017-03-25,Portuguese,1
2017-03-24,German,1
2017-03-24,English,1
2017-03-22,English,1
2017-03-19,Russian,1
2017-03-17,German,1
2017-03-16,Russian,1
2017-03-16,Greek,1
2017-03-13,English,1
2017-03-12,Russian,1
2017-03-11,English,1
2017-03-07,Spanish,1
2017-03-07,English,1
2017-03-06,English,1
2017-03-05,Japanese,1
2017-03-03,French,1
2017-03-03,English,1
2017-03-02,Spanish,1
2017-02-28,Russian,2
2017-02-27,Portuguese,1
2017-02-27,French,1
2017-02-27,English,3
2017-02-26,Spanish,1
2017-02-26,Polish,1
2017-02-26,German,1
2017-02-26,English,3
2017-02-21,Indonesian,1
2017-02-13,German,1
2017-02-08,Spanish,1
2017-02-03,French,1
2017-01-31,Italian,1
2017-01-28,English,1
2017-01-26,Spanish,1
2017-01-25,Russian,1
2017-01-25,English,1
2017-01-24,English,2
2017-01-23,Portuguese,1
2017-01-23,English,1
2017-01-22,Spanish,1
2017-01-19,English,1
2017-01-18,Spanish,1
2017-01-17,English,1
2017-01-10,Spanish,1
2017-01-07,Japanese,1
2017-01-02,English,1
2017-01-01,German,1
2016-12-21,English,1
2016-12-20,Spanish,1
2016-12-17,English,1
2016-12-15,French,1
2016-12-13,English,1
2016-12-11,German,1
2016-12-05,English,1
2016-12-02,Russian,1
2016-11-30,German,1
2016-11-29,English,1
2016-11-26,Turkish,1
2016-11-23,English,1
2016-11-21,Spanish,1
2016-11-21,English,1
2016-11-20,Spanish,1
2016-11-20,Russian,1
2016-11-18,English,1
2016-11-14,German,1
2016-11-12,Japanese,1
2016-11-11,Spanish,1
2016-11-11,German,1
2016-11-09,Russian,1
2016-11-09,English,1
2016-11-06,German,1
2016-11-03,Russian,1
2016-11-03,English,1
2016-11-02,English,1
2016-10-31,Indonesian,1
2016-10-29,Russian,1
2016-10-29,English,1
2016-10-23,English,1
2016-10-22,Indonesian,1
2016-10-21,Polish,1
2016-10-19,English,1
2016-10-18,Chinese (Simplified),1
2016-10-15,Polish,1
2016-10-13,Russian,1
2016-10-08,English,1
2016-10-07,Portuguese,1
2016-10-06,German,1
2016-10-02,English,1
2016-10-01,English,1
2016-09-27,English,1
2016-09-16,English,1
2016-09-12,English,1
2016-09-11,German,1
2016-09-11,English,1
2016-09-09,Spanish,1
2016-09-03,German,1
2016-09-02,English,1
2016-08-31,English,1
2016-08-29,French,1
2016-08-29,English,1
2016-08-28,English,1
2016-08-27,Russian,1
2016-08-26,German,1
2016-08-25,German,1
2016-08-25,English,2
2016-08-24,Indonesian,1
2016-08-24,English,2
2016-08-23,Turkish,1
2016-08-22,Spanish,1
2016-08-22,Russian,1
2016-08-21,Spanish,1
2016-08-21,French,1
2016-08-21,Japanese,1
2016-08-21,English,2
2016-08-18,English,1
2016-08-14,French,1
2016-08-10,French,1
2016-08-08,English,1
2016-08-05,English,1
2016-08-03,Spanish,1
2016-08-02,Portuguese,1
2016-08-02,English,1
2016-07-27,English,2
2016-07-24,Chinese (Traditional),1
2016-07-24,English,1
2016-07-17,German,1
2016-07-17,English,1
2016-07-16,Russian,1
2016-07-16,English,1
2016-07-12,English,1
2016-07-11,French,1
2016-07-11,English,1
2016-07-08,English,1
2016-07-06,Hungarian,1
2016-07-04,English,1
2016-06-30,English,2
2016-06-29,Russian,1
2016-06-29,Italian,1
2016-06-29,English,1
2016-06-19,Japanese,1
2016-06-15,Russian,1
2016-06-14,English,2
2016-06-11,English,1
2016-06-10,Portuguese,1
2016-06-10,English,1
2016-06-08,English,1
2016-06-06,English,1
2016-06-05,Spanish,1
2016-05-30,English,1
2016-05-29,English,1
2016-05-28,Portuguese,1
2016-05-27,Italian,1
2016-05-26,Portuguese,1
2016-05-24,German,2
2016-05-23,Spanish,1
2016-05-23,English,1
2016-05-19,English,2
2016-05-18,Spanish,1
2016-05-17,Spanish,1
2016-05-16,French,1
2016-05-15,German,1
2016-05-15,English,1
2016-05-08,Japanese,1
2016-05-08,English,1
2016-05-07,Russian,1
2016-05-06,English,1
2016-04-25,Croatian,1
2016-04-23,English,1
2016-04-22,English,1
2016-04-21,German,1
2016-04-20,English,1
2016-04-19,Chinese (Traditional),1
2016-04-12,German,1
2016-04-10,English,2
2016-04-01,Czech,1
2016-03-25,English,1
2016-03-23,Spanish,1
2016-03-14,English,1
2016-03-10,Spanish,1
2016-03-07,English,1
2016-03-06,English,1
2016-03-03,English,1
2016-02-26,German,1
2016-02-25,Spanish,1
2016-02-23,English,1
2016-02-22,French,1
2016-02-22,English,1
2016-02-20,Italian,1
2016-02-20,English,1
2016-02-19,English,1
2016-02-18,English,1
2016-02-16,English,1
2016-02-10,English,1
2016-02-09,English,1
2016-02-07,English,1
2016-02-06,Portuguese,1
2016-01-30,English,1
2016-01-29,English,1
2016-01-22,Turkish,1
2016-01-21,English,1
2016-01-18,Spanish,1
2016-01-18,German,1
2016-01-18,English,3
2016-01-15,English,1
2016-01-10,English,2
2016-01-08,English,1
2016-01-02,English,1
2015-12-31,English,1
2015-12-28,English,1
2015-12-27,English,1
2015-12-24,German,1
2015-12-19,English,1
2015-12-14,English,1
2015-12-13,Spanish,1
2015-12-13,English,1
2015-12-06,Korean,1
2015-12-02,Russian,1
2015-11-25,English,1
2015-11-19,Spanish,1
2015-11-08,Italian,1
2015-11-05,Spanish,1
2015-10-26,Portuguese,1
2015-10-26,English,2
2015-10-24,English,1
2015-10-22,English,1
2015-10-21,English,1
2015-10-19,German,1
2015-10-18,Italian,1
2015-10-16,English,1
2015-10-14,English,1
2015-10-10,English,1
