Date,Language,Rating,Count
2017-04-30,Portuguese,5,1
2017-04-05,Portuguese,5,1
2016-12-20,Spanish,5,1
2016-08-19,Spanish,5,1
2016-08-15,English,5,1
2016-08-11,Czech,1,1
2016-07-18,English,1,1
2016-06-06,French,5,1
2016-05-28,English,1,1
2016-05-27,English,5,1
2016-03-16,English,5,1
2016-02-18,English,5,1
2016-01-24,English,3,1
2015-10-18,German,1,1
2015-08-23,English,5,1
2015-08-01,English,1,1
2015-07-17,English,4,1
2014-09-08,English,5,1
2014-07-09,English,5,1
2014-06-09,Hungarian,1,1
2014-05-03,Japanese,1,1
2014-04-24,Polish,1,1
2013-09-25,English,5,1
