App,Store,App ID,Review ID,Country,Version,Rating,Date,Author,Subject,Body,Translated Subject,Translated Body
Battery Circle,Google Play,ch.blinkenlights.battery,bGc6QU9xcFRPSGZYUUZGdS05RndmbllBbG5IR1p6cGcxSG94TjFUMDFiVzUtY3VmNVp1STgySmhrbTF3NUFsb3RHY1lKYnJ1c1g1WXgyelNkb3JKbEh5NHc,English,,1,2017-04-05,A Google User,H,Ok,,
Battery Circle,Google Play,ch.blinkenlights.battery,Z3A6QU9xcFRPRkF3VFBjeFNtRXdjYVRtOERuU0lGc09GWEpSOTNtQkd2b2tsa09zU0Nsejl6a0ZyaDdySmx5Tmw5LUd6OV9IeGYwdWMxenNyVlphdWJueWc,English,,5,2017-03-20,Vivek Kumar,"","The Tiny Giant Which does it work which is expected from it. I can pay few bucks for it if there is option to enlarge the icon or remove the circle. Everything else is perfect, i think it will last longer. :)",,
Battery Circle,Google Play,ch.blinkenlights.battery,Z3A6QU9xcFRPRzgwck9BUzNBM1REVS1GdVRRSWd0U2NFdWhoMXNjQy12aVFzYVMyOUFvVkMxOURMNnZnbHd4Rmp6LVpLaFctS3BrVTFmYXFDUjdIMlBFMFE,English,,3,2017-01-18,"","","Just what I needed. Simple. Only 3 stars because it is small, my vision is not that good plus no need for ""Discharging "" words , just needed a larger battery number % level with or without current time",,
Battery Circle,Google Play,ch.blinkenlights.battery,Z3A6QU9xcFRPSElvYzB3M1lWaFE2clV0ZGpSX2YzN216ZVlOYkNONHhZVC10akItNEZ0ZW5zMVM4Tmp2SVBNVUYxdUlVRDYzM19yamNTVkhGVmMzaGp6WUE,English,,5,2017-01-05,Rahmat Khan,Umair,King,,
Battery Circle,Google Play,ch.blinkenlights.battery,Z3A6QU9xcFRPRjNNZzFYSjdTYmhuVThnZ0RQbEs1RTFkZGFWSnNQZ1FqSjZOczJsc3NCS3EzYU9yY0pteXdPS004RE9mTDlnM3FpMjlLT19TbF9qdk1HT3c,English,,5,2016-12-17,Aiyura Fateha,"",easy to use and super duper good,,
Battery Circle,Google Play,ch.blinkenlights.battery,Z3A6QU9xcFRPRlRyRUd3QVZkLWhtejk0N3ByaW5mRTQ2UmZsYjloam12dDRVbmRISWV5RWhkcUxnem5WV3B0QnhFVFBVdGJYcW9FOGtjTExXUDJ1MUg5RFE,English,,1,2016-11-13,Sidharth K. Burnwal,Doesnot work properly,"At the start ,this worked fine but now even my battry charge decrease , its shows the same value for a long time. Once my chrge went to 17 but it shows 60 constantly. Its an incomplete product.",,
Battery Circle,Google Play,ch.blinkenlights.battery,Z3A6QU9xcFRPRjVzMHZ3TDJDTGQ1M21acnUxU3ZWR2ppWWxGMmJKbXlaUlgweXlmMWtQbHgycEVMN3J2SGVwNHJBUHlsSktyc08tNlRYMjJ1am9CN0x0WEE,English,,4,2016-10-30,S Ahmed,"",Liked it,,
Battery Circle,Google Play,ch.blinkenlights.battery,Z3A6QU9xcFRPR0Q3bFpWeDNoYzNxeXFTNlFzcFV0TWJrXzV0c1Q0Wkt1eTFJQ0Q3M2JLaGhKZnJ3Y3RoSjJXdXlQc3A4dHBrR29pWG5GNEhoR0RpV3lrNFE,English,,3,2016-10-16,vemula sai,Sexy n fantastic,already tried in my old phone. But the thing is not working in my Redmi 3s prime,,
Battery Circle,Google Play,ch.blinkenlights.battery,Z3A6QU9xcFRPRUF2bVpJT2d2cGZ5NmxGd1dvQmNhZHhNRC1uek1ITDJyV2lTVzJkbUdEZU9hdjMzRTVTRGRZbmJHVWJXUzVBS1J2NDFfWG04M0hqdkdSQlE,English,,3,2016-10-14,Matt O'Brien,One of the first apps I installed,One of the first apps I installed on my first Android. Sort of sad to see that it seems like it hasn't gotten much traffic lately. Doesn't seem 100% compatible with newer models. Options are missing since the button was removed from newer phones.,,
Battery Circle,Google Play,ch.blinkenlights.battery,Z3A6QU9xcFRPRVJEa1dvSWZ2YmVZZHc4NGVYbnRPTmdhV2FHMnFia2FwQmZrV256T1ZHOENzSURFNlZDZ2tVTzljYTBBcE85NHZTcXpBRS0xTk5ZLXRDTFE,English,,5,2016-09-06,Matthew Clements,Great app!,"I use this on multiple devices without issue.  Very reliable and stable, not to mention, simple.",,
Battery Circle,Google Play,ch.blinkenlights.battery,Z3A6QU9xcFRPSEg1ZGRlUXp5Ni14cFVpXzJHVktMaGRHQ1l0OXp1Q2poZ2lHOGhJczhzQVpDN1lURFVQMGprY2l6UVZ0SW9hOGRJeDZQLUVycnlMRGFRNVE,English,,5,2016-09-02,"",Perfect,"Tried them all  congratulations gentlemen, it is perfect, thank you",,
Battery Circle,Google Play,ch.blinkenlights.battery,Z3A6QU9xcFRPR1Jfem9sZ1pyeWdycndYc3l6YmpSb1YxdEljRDMyMXdueGdobkV3Sm5LeDJDTnZFNmlnSjdSR2xfeEVvWGJiMVRZVHgyblF0cE5wbmpvVUE,English,,3,2016-07-29,Zoe Mamula,It's ok but..,How do I access the settings like in the pictures above??? There is no option!,,
Battery Circle,Google Play,ch.blinkenlights.battery,Z3A6QU9xcFRPR1BsOENqYjVQMm85YUZiMmJWWkgzNWhxWFU1WU9tQkJoMnhjZFFJWFpJaGwyclNicS0tVy1JQnh0a0JjRC00ZmViaDdFYjB2cHpwU1o3LXc,English,,5,2016-07-23,Ronni Khan,"",Nice app,,
Battery Circle,Google Play,ch.blinkenlights.battery,Z3A6QU9xcFRPR0FCMFRPM1lSVmk5Zk93c2t5a0NXTTFZSXVBT3NTODk1NjlWazNSZzFBaEl4WS1uRHowVXpTUmFsdWRHYjFQY3otZjFWYnZDY1lBRWZ4QXc,English,,5,2016-07-20,Matthew Kohutek,!!!!!! ⭐⭐⭐⭐⭐!!!!!!,This app is a must have!  Does exactly what you want. Has no adware bloat to deal with and is simple to use. The display is elegant and accurate. Excellent job developers!!  Good on you for turning out such a great little app!!!,,
Battery Circle,Google Play,ch.blinkenlights.battery,Z3A6QU9xcFRPSEloTWgzUHJjeF93NkRvdF8tZGg3dUZTei10czcyUktkb3BOYVo5YU5BdmxNdWVRSlJRZG9JalBJZV9xRjZiT2VkTjhPTkdlanZSZ29NLXc,English,,5,2016-07-19,MATHEWS GEORGE VIRUPPAMATTAM,Decent app,Not much complicated application .have neat facilities .,,
Battery Circle,Google Play,ch.blinkenlights.battery,Z3A6QU9xcFRPRllCTnJ6NEo1cWkzSGJOcGJfMnl1M1pVa1Q2YjFId0pFejBKamx5eGRVMGxTUXNzaXh0ZjdtZWI2b2hDZ1pBRlV6RzdiTXJiMmo4MlZvWXc,English,,5,2016-06-13,Rajat Kaushal,Best,Happiness in small package,,
Battery Circle,Google Play,ch.blinkenlights.battery,Z3A6QU9xcFRPRUNwWDJabFhWMlAyXzE4T3FnRWJQU3NlR2Y2a0hQZWRMMHVLVEZxeFFSd2FUOWtZeVlpbjVpamN2SmVUZ2VFY0lpeVVfLUZqTE94dWV1N0E,English,,5,2016-06-03,Ali Al-Maskari,Perfect,The best thing i like about this App is that it displays battery status and time since plugging/unplugging. This helps me understand how fast the battery is charging or how fast the battery is being drained.,,
