Date,Language,Rating,Count
2017-04-05,English,1,1
2017-03-25,Russian,5,1
2017-03-21,Japanese,5,1
2017-03-20,English,5,1
2017-03-17,Vietnamese,5,1
2017-03-04,Korean,3,1
2017-02-21,Russian,3,1
2017-02-20,Vietnamese,4,1
2017-01-18,English,3,1
2017-01-13,Greek,4,1
2017-01-10,Russian,1,1
2017-01-05,English,5,1
2016-12-17,English,5,1
2016-12-13,Arabic,5,1
2016-12-05,Greek,5,1
2016-12-02,Czech,5,1
2016-11-29,Arabic,5,1
2016-11-26,Thai,5,1
2016-11-13,English,1,1
2016-10-30,English,4,1
2016-10-16,English,3,1
2016-10-14,English,3,1
2016-10-07,Spanish,5,1
2016-10-03,Korean,5,1
2016-09-22,French,5,1
2016-09-17,Spanish,5,1
2016-09-14,Russian,1,1
2016-09-10,Portuguese,4,1
2016-09-06,English,5,1
2016-09-02,English,5,1
2016-08-27,Malay,5,1
2016-08-23,German,5,1
2016-08-09,Indonesian,3,1
2016-08-08,Korean,5,1
2016-08-07,Indonesian,5,1
2016-08-04,Russian,4,1
2016-07-29,English,3,1
2016-07-28,Thai,5,1
2016-07-27,Arabic,5,1
2016-07-26,Chinese (Traditional),5,1
2016-07-23,English,5,1
2016-07-20,English,5,1
2016-07-19,English,5,1
2016-06-15,Czech,1,1
2016-06-13,English,5,1
2016-06-09,Korean,5,1
2016-06-07,Portuguese,5,1
2016-06-05,Vietnamese,5,1
2016-06-03,English,5,1
2016-05-30,Arabic,4,1
2016-05-29,Korean,5,1
2016-05-19,English,5,1
2016-05-09,Spanish,5,1
2016-05-01,Chinese (Traditional),4,1
2016-04-27,English,5,1
2016-04-26,Italian,1,1
2016-04-24,English,5,1
2016-04-22,English,5,1
2016-04-06,Portuguese,5,1
2016-04-04,Spanish,1,1
2016-03-24,German,5,1
2016-03-12,English,5,1
2016-03-09,Italian,3,1
2016-03-08,English,5,1
2016-03-05,English,4,1
2016-03-02,Thai,3,1
2016-03-02,English,2,1
2016-02-23,Russian,4,1
2016-02-23,English,5,1
2016-02-18,English,5,1
2016-02-12,German,5,1
2016-02-11,Portuguese,1,1
2016-02-01,Spanish,5,1
2016-01-30,English,3,1
2016-01-29,Korean,5,1
2016-01-28,English,5,1
2016-01-24,English,5,1
2016-01-22,English,4,1
2016-01-21,Vietnamese,5,1
2016-01-21,Korean,5,1
2016-01-20,Portuguese,5,1
2016-01-18,Indonesian,5,1
2016-01-17,English,2,1
2016-01-12,Korean,4,1
2016-01-12,English,5,1
2016-01-11,Greek,3,1
2016-01-10,English,3,1
2016-01-08,Arabic,5,1
2016-01-07,English,4,1
2016-01-05,Indonesian,4,1
2016-01-04,English,3,1
2016-01-03,Indonesian,5,1
2015-12-30,Arabic,5,1
2015-12-30,English,3,1
2015-12-29,Vietnamese,5,1
2015-12-27,German,4,1
2015-12-25,English,5,1
2015-12-22,Vietnamese,5,1
2015-12-20,English,4,1
2015-12-18,English,5,1
2015-12-16,Portuguese,4,1
2015-12-13,Indonesian,5,1
2015-12-12,French,4,1
2015-12-11,Arabic,1,1
2015-12-10,English,1,1
2015-12-05,Czech,3,1
2015-12-05,English,5,1
2015-12-04,English,3,1
2015-12-04,English,5,1
2015-12-02,English,5,2
2015-11-30,Spanish,4,1
2015-11-28,English,4,1
2015-11-27,Indonesian,3,1
2015-11-27,English,5,1
2015-11-26,English,5,1
2015-11-25,English,2,1
2015-11-25,English,1,1
2015-11-22,English,5,1
2015-11-20,Arabic,5,1
2015-11-20,Korean,5,1
2015-11-18,Indonesian,5,1
2015-11-18,English,5,1
2015-11-17,French,5,1
2015-11-17,English,5,1
2015-11-16,Greek,5,1
2015-11-16,English,5,1
2015-11-15,English,5,1
2015-11-14,English,4,1
2015-11-11,English,5,1
2015-11-10,Russian,5,1
2015-11-06,English,4,1
2015-11-05,Turkish,5,1
2015-10-28,Indonesian,5,1
2015-10-27,English,5,1
2015-10-24,English,2,1
2015-10-23,Thai,4,1
2015-10-20,English,5,1
2015-10-15,English,2,1
2015-10-14,Russian,5,1
2015-10-13,English,2,1
2015-10-11,German,4,1
2015-10-11,English,4,1
2015-10-08,English,5,1
2015-10-06,English,5,1
2015-10-03,English,5,1
2015-10-02,English,5,1
2015-10-01,English,5,1
2015-09-30,English,5,1
2015-09-24,English,1,1
2015-09-22,Portuguese,5,1
2015-09-21,Spanish,4,1
2015-09-19,Arabic,5,1
2015-09-17,English,5,1
2015-09-16,English,5,1
2015-09-15,German,5,1
2015-09-13,English,5,1
2015-09-09,Korean,1,1
2015-09-04,Vietnamese,5,1
2015-09-04,German,4,1
2015-09-02,English,3,1
2015-08-29,English,5,1
2015-08-26,Croatian,5,1
2015-08-26,Arabic,5,1
2015-08-20,English,5,1
2015-08-19,Russian,1,1
2015-08-08,Turkish,5,1
2015-08-03,English,3,1
2015-07-30,Russian,4,1
2015-07-29,Greek,5,1
2015-07-24,English,5,1
2015-07-17,Spanish,5,1
2015-07-16,English,1,1
2015-07-16,English,5,1
2015-07-14,Spanish,5,1
2015-07-12,English,4,1
2015-07-10,Portuguese,2,1
2015-07-04,Spanish,5,1
2015-07-04,German,5,1
2015-07-04,English,5,1
2015-07-01,English,1,1
2015-06-29,Thai,5,1
2015-06-27,Spanish,5,1
2015-06-24,Korean,4,1
2015-06-19,Spanish,5,1
2015-06-17,English,5,2
2015-06-15,Turkish,1,1
2015-06-15,English,5,1
2015-06-13,Vietnamese,5,1
2015-06-12,Serbian,1,1
2015-06-09,English,5,1
2015-06-08,Indonesian,5,1
2015-06-03,English,2,1
2015-05-28,Spanish,5,1
2015-05-25,Indonesian,5,1
2015-05-21,English,5,1
2015-05-18,English,1,1
2015-05-18,English,5,1
2015-05-13,Thai,5,1
2015-05-13,English,5,1
2015-05-10,English,5,1
2015-05-06,English,5,1
2015-05-04,English,5,1
2015-04-30,German,5,1
2015-04-17,English,5,1
2015-04-14,English,5,1
2015-04-13,English,5,1
2015-04-10,English,5,1
2015-04-06,Russian,4,1
2015-04-05,Dutch,5,1
2015-04-05,English,5,2
2015-04-03,Malay,5,1
2015-04-03,English,5,1
2015-04-03,English,4,1
2015-04-02,English,4,1
2015-03-31,English,5,1
2015-03-29,Portuguese,4,1
2015-03-28,Romanian,5,1
2015-03-28,English,5,1
2015-03-24,English,5,1
2015-03-23,English,5,2
2015-03-21,Spanish,5,1
2015-03-20,English,2,1
2015-03-16,English,5,1
2015-03-13,Portuguese,5,1
2015-03-04,Vietnamese,5,1
2015-03-04,English,3,1
2015-03-02,French,2,1
2015-03-01,English,5,1
2015-02-22,English,5,1
2015-02-20,Ukrainian,5,1
2015-02-19,English,4,1
2015-02-16,English,5,1
2015-02-12,German,5,1
2015-02-11,Russian,4,1
2015-02-11,English,2,1
2015-02-09,English,4,1
2015-02-08,English,4,1
2015-02-08,English,1,1
2015-02-01,French,5,1
2015-01-31,Turkish,4,1
2015-01-29,Portuguese,5,1
2015-01-28,Portuguese,4,1
2015-01-17,Spanish,5,1
2015-01-13,Spanish,5,1
2015-01-10,German,4,1
2015-01-09,Russian,1,1
2015-01-06,English,5,1
2015-01-05,English,5,1
2015-01-02,Spanish,5,1
2014-12-28,English,5,1
2014-12-27,English,5,1
2014-12-24,English,5,1
2014-12-20,English,5,1
2014-12-18,Portuguese,5,1
2014-12-09,English,5,1
2014-12-07,English,1,1
2014-12-07,English,3,1
2014-12-05,English,1,1
2014-12-03,Italian,4,1
2014-12-02,Spanish,4,1
2014-11-29,Portuguese,5,1
2014-11-26,English,1,1
2014-11-25,Turkish,5,1
2014-11-25,Portuguese,5,1
2014-11-25,English,4,2
2014-11-25,English,5,1
2014-11-23,English,5,2
2014-11-20,German,5,1
2014-11-20,English,4,1
2014-11-19,English,2,1
2014-11-18,Russian,1,1
2014-11-16,English,5,1
2014-11-15,English,5,1
2014-11-10,English,5,1
2014-10-31,Italian,1,1
2014-10-31,English,3,1
2014-10-30,English,1,1
2014-10-29,Hungarian,4,1
2014-10-29,English,5,1
2014-10-27,English,5,2
2014-10-26,English,5,1
2014-10-23,English,3,1
2014-10-22,Chinese (Simplified),5,1
2014-10-20,Chinese (Simplified),5,1
2014-10-19,Italian,5,1
2014-10-15,Arabic,5,1
2014-10-14,English,5,1
2014-10-13,Spanish,3,1
2014-10-11,English,5,2
2014-10-06,Spanish,5,1
2014-10-06,Dutch,5,1
2014-10-03,Korean,5,1
2014-10-01,Spanish,4,1
2014-09-28,Spanish,5,1
2014-09-26,Portuguese,1,1
2014-09-24,Korean,5,1
2014-09-21,Greek,5,1
2014-09-15,Italian,5,1
2014-09-12,English,5,1
2014-09-11,Portuguese,5,1
2014-09-11,Italian,5,1
2014-09-06,English,4,1
2014-09-02,English,5,1
2014-08-31,English,3,1
2014-08-29,Korean,5,1
2014-08-27,German,3,1
2014-08-26,English,5,1
2014-08-25,English,5,1
2014-08-22,German,5,1
2014-08-18,Vietnamese,5,1
2014-08-17,Italian,2,1
2014-08-13,English,5,1
2014-08-11,Russian,5,1
2014-08-02,Portuguese,5,1
2014-07-30,Thai,5,1
2014-07-26,Turkish,5,1
2014-07-18,Korean,5,1
2014-07-12,English,5,2
2014-07-11,English,5,1
2014-07-06,English,4,1
2014-06-30,Portuguese,5,1
2014-06-27,Korean,5,1
2014-06-26,English,5,1
2014-06-15,English,5,2
2014-05-28,German,5,1
2014-05-28,Korean,5,1
2014-05-28,English,5,1
2014-05-22,English,5,1
2014-05-21,English,5,1
2014-05-19,Thai,5,1
2014-05-18,French,3,1
2014-05-18,English,2,1
2014-05-15,Spanish,5,1
2014-05-12,English,3,1
2014-05-11,Spanish,5,1
2014-05-10,English,3,1
2014-04-29,German,5,1
2014-04-29,English,5,1
2014-04-19,English,5,1
2014-04-18,German,5,1
2014-04-16,English,5,1
2014-04-16,English,1,1
2014-04-12,English,5,1
2014-04-07,French,5,1
2014-03-29,Russian,5,1
2014-03-20,English,5,1
2014-03-15,English,5,1
2014-03-13,Portuguese,5,1
2014-03-08,English,4,1
2014-03-07,Portuguese,5,1
2014-03-03,Polish,1,1
2014-03-02,English,5,1
2014-02-27,English,5,1
2014-02-26,Russian,5,1
2014-02-23,English,1,1
2014-02-21,Portuguese,5,1
2014-02-16,English,5,1
2014-02-12,English,4,1
2014-02-09,Russian,5,1
2014-02-09,English,5,2
2014-02-08,English,4,1
