App,Store,App ID,Review ID,Country,Version,Rating,Date,Author,Subject,Body,Translated Subject,Translated Body
Cowsay for Android,Google Play,ch.fixme.cowsay,Z3A6QU9xcFRPR21oVTFRWEpFLXFpbWFzUUhyd1RKaXc4RkJGYktQWFZ6NEN5elFSdmdKQUEwa0lnQ3VyZm5MbzdDQjNJQkFuOFN4N05IcDJvZW9JbzBIQjRR,English,,5,2016-06-24,Shawn Ayotte,"",It's perfect,,
Cowsay for Android,Google Play,ch.fixme.cowsay,Z3A6QU9xcFRPRS15eVNYSFJTWF9QaHEwQ2tqdUktaHFqOW1kLXNYTFEtYUgyN0dDLUtBN052ZjJaTGo4ZlFkdjladUl3dFdOOVB4dkdYLWkzYThXNHRMS2VJ,English,,5,2016-04-04,Nick TwoThousand,"",Lol,,
Cowsay for Android,Google Play,ch.fixme.cowsay,Z3A6QU9xcFRPR2lpTjZKcldSdXM4VEhrcUdmNGU0eTQzVmtGdlo1YlJSeUhtQTgxWDFFbjhLbnJEbWI5dDJFazJ0U1BzSUdNSnV5Z0lvNWhEdG5hZTlRNHlr,English,,5,2015-01-26,Bnreddy Nehanth,Awesome,Pepsi center,,
Cowsay for Android,Google Play,ch.fixme.cowsay,Z3A6QU9xcFRPSFhMaklBNzVQS0otRWx1MjRQZmQtMkJ6OWViVVFoZVc5dGFMTWl2MGo2bk14WkdGU1BxNDJuUG1HcmVZOUpFdHFCQk9ZSjI1eFdPSGtvWHM4,English,,5,2015-01-22,Nikolaus Phillips,Awesome sauce,"Edit:  not great on lollipop;  doesn't line up well.  Amazing port.  Well, more than a port, this is full of new features and integrated into common system tools.  Sending as picture works a lot better than text (LG nexus 5/ android 4.4.4) , as the text ASCII art ends up aligned badly.  But I guess it'd be aligned differently on the recipient device anyway so there's no way to make that perfect.  Anyway awesome app.  Loved the original on Linux, love this.  Thanks!",,
Cowsay for Android,Google Play,ch.fixme.cowsay,Z3A6QU9xcFRPSEIzdk1aWmpPVS1kOUdmMFN0OFZoeHJSTHpWdHRhUkV4bklITl93OUJvY040ek9fcnF3bjR2SGhvRWZMWElLNmYtY0hsZkpXeFUxOUdrQ2U4,English,,5,2014-05-01,Bram Harmsen,Must have,Lol,,
Cowsay for Android,Google Play,ch.fixme.cowsay,Z3A6QU9xcFRPSExmcUhSeEdCYl82aUo1enR1enNpMVFkbk51TDdkRzExR0p1WURlalBXUVBMUTBWRXlGNk5oMUlJWE92MEdkbmhNSVhtV1hCYzdKNmwwMzRz,English,,3,2014-01-04,JAYO,"It's ok , but....","I'll give it 3 stars ... but it only comes out as pictures , not actual text styles . Lame !",,
Cowsay for Android,Google Play,ch.fixme.cowsay,Z3A6QU9xcFRPSDFBUFJhSWE4d1drUWY5a0ZiWm9KSHh2UVBfNHhIbExoNnYtdUt0bmw3STdoZzZuanU4SU55dG9mcXJLNEJHczRCeGV2RTYtOUF6ZHZjcVln,English,,5,2013-12-28,Armando D.,He,Wow,,
Cowsay for Android,Google Play,ch.fixme.cowsay,Z3A6QU9xcFRPSENBczRfb3k5bG9hNFZYSVhsR1JSNm1JNml1cDI4dHc2Ni1IbFJPdDVQTThfdWlEbVFYNVBJT1RIWHFSbzRXN3d3YmladGZ2RE9HVmJsUi1n,English,,5,2013-12-21,THiRu sH,T.,R ..,,
Cowsay for Android,Google Play,ch.fixme.cowsay,Z3A6QU9xcFRPRURCT19CQk1uTlNuMF9TR2NmZDZSOWRONVowTm5fNmNfXzJva2tsckxSWEsyT1Q3ZjFPTFJDSTZXckl5aERrbTZhUzFxYm1TNlNCNFVmdG44,English,,5,2013-09-13,F Restrict Wristwatch,ಠ_ಠ,Nice,,
Cowsay for Android,Google Play,ch.fixme.cowsay,Z3A6QU9xcFRPRXhNSXdNbGx2YllQcmxEanVEV1hRTW1oelRNMkVoT1FzaGdPaXFLOGVCdE9EQ3Q1NDF2UXF4U1V1dy1aUzdQcTVBOHpjeEhVcnBia3FURFdV,English,,5,2013-07-04,Fikrat Hayek,Huy,Iam Pervez in Pakistan,,
