Date,Language,Rating,Count
2016-06-24,English,5,1
2016-04-04,English,5,1
2015-12-06,Danish,5,1
2015-10-12,German,4,1
2015-09-22,Spanish,5,1
2015-09-16,Russian,5,1
2015-09-14,Polish,5,1
2015-07-22,German,4,1
2015-03-10,French,5,1
2015-01-26,English,5,1
2015-01-22,English,5,1
2014-12-19,Portuguese,5,1
2014-09-20,Portuguese,5,1
2014-08-30,Portuguese,4,1
2014-05-01,English,5,1
2014-02-23,Portuguese,4,1
2014-02-11,Spanish,4,1
2014-01-20,German,1,1
2014-01-04,English,3,1
2013-12-28,English,5,1
2013-12-21,English,5,1
2013-11-17,Spanish,5,1
2013-10-01,Portuguese,5,1
2013-09-13,English,5,1
2013-09-01,German,4,1
2013-08-17,Spanish,4,1
2013-07-04,English,5,1
2013-07-03,English,5,1
2013-06-27,English,3,1
2013-06-25,French,3,1
2013-06-14,English,3,1
2013-04-28,Spanish,5,1
2013-04-10,Italian,5,1
2013-04-06,Spanish,5,1
2013-02-25,English,5,1
2013-02-18,English,1,1
2013-02-16,German,3,1
2013-02-12,Swedish,5,1
2013-02-06,Spanish,5,1
2012-12-28,Spanish,5,1
2012-10-29,English,1,1
2012-10-29,English,5,1
2012-10-19,English,4,1
2012-10-02,English,1,1
2012-09-17,English,5,1
2012-09-08,Spanish,5,1
2012-09-06,English,5,1
2012-08-29,English,1,1
2012-08-28,French,5,1
2012-08-25,Spanish,5,1
2012-08-11,English,3,1
2012-07-25,German,1,1
2012-07-02,English,1,1
2012-05-22,Spanish,5,1
2012-04-13,English,3,1
2012-04-03,French,5,1
2012-03-21,English,5,1
2012-01-19,English,4,1
2012-01-09,French,4,1
2012-01-03,French,4,2
