App,Store,App ID,Review ID,Country,Version,Rating,Date,Author,Subject,Body,Translated Subject,Translated Body
My Hackerspace,Google Play,ch.fixme.status,Z3A6QU9xcFRPR2dTOUxkZ1lLSWhXX1NPYzQ3Z0RmTjVVUXlqd0xVbDlqVTBBeUJISHp2M2RUdk5DQWI2Mnd2YWp6cUhlVzBkYm9kWUtiYjc0Rk1uWFlna1E,English,,1,2015-10-28,Gage Waack,Y,Won't even download,,
My Hackerspace,Google Play,ch.fixme.status,Z3A6QU9xcFRPRVJ5OHFHdDI1dE1zc19HMlVMWG5KbFBmVmRFQ3J2SVVNQ0RtUVl3V1Zlc1Z3a2ZUYlFuM1k0bXJ1VkkxakhHMVZqM3huQ1NDc1E1ZkRXMVE,English,,5,2015-07-02,vivek official,Sasti and sari,Only for 70 kb,,
My Hackerspace,Google Play,ch.fixme.status,Z3A6QU9xcFRPR1hHcG44UEk3WjJtNGRDWHRiSUFMWDBYaTdncF9KYnk3RURiNy1xbGdlVGFyT25IbFdPSk5abXoyWEdCS0VqalI0cDRfTlVIc3ZOcWVfZHc,English,,4,2015-05-17,Eniyavan M,"",Cool,,
My Hackerspace,Google Play,ch.fixme.status,Z3A6QU9xcFRPRjBGX1B4OFlVaU1DMkt2dFB1ZUdTcmpHeTRPY2VMZjhZU0tCYkRHcTlFVVBpcTYtVGJuNC15djMybktOcTJfMGc5SWV6R1VqYnppdkdBMVE,English,,4,2015-03-24,Danilo Bargen,Great app!,Using this at Coredump hackerspace.,,
My Hackerspace,Google Play,ch.fixme.status,Z3A6QU9xcFRPR1VTOE1MQ1ZfVmNjU3d2NGlma1JuMVduc1pMVDBMamY3aUdESDFGMFRyM2dtMHdrRk5XNUUxVXZvU1RlZExXV1FaWllPNHJvcDhiU2lTdWc,English,,3,2013-02-15,Alex Rytov,Lookup by country needed,"Some way to choose the hackerspace on a map or by the country and city would be very helpful. As it is now, the app is not very useful.",,
My Hackerspace,Google Play,ch.fixme.status,bGc6QU9xcFRPRTNWczYxczRuSDhwWThMdGs2dFQ0UDV3eXVTQnpJM0l3WGxNV29kVnM1TGdGeWsxa1hrVkZVWWNxS1ZpVlFIcGdJcHBLd2N4c2NjWC1kQWc,English,,5,2012-09-25,A Google User,Finally,"A hackerspace state indicator, a good year after the initial spec it's about time :-)",,
My Hackerspace,Google Play,ch.fixme.status,bGc6QU9xcFRPR0s3dEtqN0ZXSTFFSkpLaXR4ZUZFek1Nd0M0Z1BvVTE3bGVMaFdSRGh2cXRVdnAyd2xickxZWkR3alFYXzBrREtON05BMHZjM0hWVnZHdFE,English,,5,2012-06-30,A Google User,Awesome!,"This is a great little app. Simple, and useful. Love the widget too!",,
My Hackerspace,Google Play,ch.fixme.status,bGc6QU9xcFRPRTJRNGxVUHNwVkJOelVMeU5FMlBmZE5oWDBoNkZlVjE5TVdpX3RwNFQwb2FmbVE5QWQyd3p1alB4ZjhQQXQxVEFCUzBBOVdxRHQyRXZmUWc,English,,5,2012-05-08,A Google User,"",Perfect,,
My Hackerspace,Google Play,ch.fixme.status,Z3A6QU9xcFRPR1ZGbDhVejVHLTFxQmF6OTBlVjNhYXpaMEozU3ZjSHcyU0E2b0RzTjZrdVlVbmpOS1NqNWptTzdnblZGakZxVTJsMDVUaS1DVnhmSXlqalE,French,,5,2013-12-18,richard ailloud,What else...,Nice app,,
My Hackerspace,Google Play,ch.fixme.status,Z3A6QU9xcFRPRjc3TVlpNWh0azlkZDdrM0JId205Y2Q0RHV4QlgzLWNuOHRBeUIwN2lJUmp4YzdWcGVzS1RIMksxbHliV1hTVzVlVHRPc2F4T1ZVV0R4QWc,French,,5,2013-01-26,"",bien joué,Enfin :),,
My Hackerspace,Google Play,ch.fixme.status,Z3A6QU9xcFRPR0drS2p5ZVZGZW5qaUlEVVBQX196WVdwZE9QZk1aZWNzU093dVFDVGxqaUx3aHdob2hmLXhfbDFENjI4MFVtbW9xbUJhUHBzOXFvWHBFTnc,German,,5,2014-07-21,Peter Hacke,"",Spitzen app... Dankeschön  ;),,
My Hackerspace,Google Play,ch.fixme.status,Z3A6QU9xcFRPRTRFQWV6MGZpc0ExY2wxb0YwOHFlV0lVaFRtZ25GSkhYQWxxN0hEQ0kzcjJUUkk1Y1FYQldWYzVVTmNMZ0h3TEdUWGdkeldVLVNWSk4wREE,German,,5,2013-09-07,Thorben Weber,"",Thanks for implementing API v13,,
My Hackerspace,Google Play,ch.fixme.status,Z3A6QU9xcFRPR1F4S3Z3ZGZLTExjTm45T3g3RE1YbnFBTG5MM093S0Z2LTBFTmk2NkNjLWlDREtLRU43TUtXMEJfX01uWkxJTFpodXVxVVFWRmJSYjFLOHc,German,,4,2013-04-15,Alex J,Gute Idee!,Sehr cool!  Eine Einbindung von Google-Maps und wo die Hackersspaces sind wäre noch schön. :-),,
My Hackerspace,Google Play,ch.fixme.status,Z3A6QU9xcFRPSFpxTkM0UTVEV2NoVUtqQzZpYk5wT1ZiZEZla0FnZ3VaZGk4MUNDS2tpM21VZUhPYW11RlN0M2RaM0Y4TTJGZW1hcS1Uamo3bkw4OTFHd3c,German,,5,2012-11-29,"","",Sehr praktisch,,
My Hackerspace,Google Play,ch.fixme.status,Z3A6QU9xcFRPSGNXUXl6emd4MDJTVndOZy1TanJSLVFWRDRUYXcyVUNkeGZnQ3RYZ3g3MnVRREJBRko0QVlDV0taQS02aGdUcnlSSmhuUEc5cnEydWhxOFE,Spanish,,1,2013-11-03,SKY & B0OM,Q es esto,Ademas de que no se le entiende no es. Ningun hack,,
My Hackerspace,Google Play,ch.fixme.status,Z3A6QU9xcFRPSE9xb0huYU5qYUxLTUowTUNZR2lHY1JTOEpVWmFpVmFmNHcwc2NzMnpXZE1OVlliaDdLWWhSRV83elRicmI0ZmdCQWlUZmN3TjMzX05YalE,Spanish,,5,2013-07-08,Martin Batista,Ok,Ok,,
