App,Store,App ID,Review ID,Country,Version,Rating,Date,Author,Subject,Body,Translated Subject,Translated Body
Anuto TD,Google Play,ch.logixisland.anuto,Z3A6QU9xcFRPRkY1OUFsWi0zazRxbzlKV3liYUpuYnFSLWkxTUxVTzFSVDI3V1ZaYnJZa2Z3MU0zS2xQQzNYMndEZmEtN2Y0eEFpWTVwMjdyQjJVY2R2X2JJ,English,,5,2017-03-16,Paffo Horvath,"",Great game but wave 60 is impossible to play,,
Anuto TD,Google Play,ch.logixisland.anuto,Z3A6QU9xcFRPR2ZfeGw1bWVRdHI3ZlRzdXEyRGFHRXJvWVhKOVlVS3FzMVhSeHlHR05IRkRfNjJzc29GRFpwTE9Kdl9pQ05IMjhydzhndWtxNmVmZnNLX3pJ,English,,5,2017-03-05,Don Connacher,"",Best TD game but desperately needs pause and save!,,
Anuto TD,Google Play,ch.logixisland.anuto,Z3A6QU9xcFRPSHpQZ0ZfWW9RakVlbnBLc3lwZ2JEZzZpdEVHalFpN0N4SGJRWEZPNms4OXlJSXk3OE9oNXFONDBoNm9GSWNROS00TUIybkZEWW1pdmNHZlFj,English,,5,2017-02-22,Kris Winters,"","Love this game! Would love to some kind of ""random open grid"" map, if possible.",,
Anuto TD,Google Play,ch.logixisland.anuto,Z3A6QU9xcFRPSHVPeWF3dnk5amktbTMwS1VENDdrQWJJU3djM2k4Y3FaRjJlUzdWWE9ZS3lUQy1SWHNqZ3VVNi1kZUtyOUZKdzZ4N2FZbHVtdTB6cW01RTNJ,English,,5,2017-02-11,Chris Hall,"","This dam game... Can't get past level 50, I love it!!!!!",,
Anuto TD,Google Play,ch.logixisland.anuto,Z3A6QU9xcFRPRV9adlRubHcxZHZEMGpBWHl4T0x0VHdqb3Bncm5zTEI1eTNZT0R3M0F3bkVpNkdXMkxiREF4bHdRRXlsNXJMWFgwTWd2ZEpFQ2QtS1pZVDhJ,English,,1,2017-02-08,UltraQuasar,"",Impossible to place down towers.,,
Anuto TD,Google Play,ch.logixisland.anuto,Z3A6QU9xcFRPRnVodDZ2bDItcHpyTDl3aU9WSjhxaGx0UHJ4OWwyemVzNldRZE1KUGkwQnRJdzFaaGF1M0tHUm5mNTNiU0NmUEJSUlhicmluNVd6S0l1a0Mw,English,,5,2017-01-27,Adam Krongold,"","I'd love a save capability.  I get an hour in and have to do something else. Simple, easy, enticing graphics. Simple gameplay. Super impressive TD game",,
Anuto TD,Google Play,ch.logixisland.anuto,Z3A6QU9xcFRPRmluMjlLaXF5Ri1lNElJNHNidVZ0ZEt2TDBEYmJYM09nbjVWQUtaRUpOX25ScFFPUmZLLU5fWlNqRU5saE9Nd0gwU1JELVAySHFmcjZ0cElZ,English,,5,2017-01-14,Pavao Pavić,Best TD on Google Play,"Graphics are beautifully minimalistic. Sometimes less is more, and this game definitely does it right! Don't be fooled, though, as this game is incredibly challenging. This game is so fun it's a crime that we are playing it for free, even without ads. Arguably the best android mobile game out there 10/10.",,
Anuto TD,Google Play,ch.logixisland.anuto,Z3A6QU9xcFRPRXRCMXFkeHkwM0QwM1dqYVhmSjh6YTJWRmd1N1RXZ1VXSE1jMnJFMUwxcVZpUUpfbDliOXhXZ3FyeWw5ZkJhX250R19XTnFtUWNNWU03NFE4,English,,5,2017-01-13,Shardul Mhatre,"","Simple, beautifully drawn and designed. I like the pencil theme allowing the towers to perform complex attack functions . I wonder hoe many towers actually are there since I have just crossed l12 so far. The games beautiful. Love it!",,
Anuto TD,Google Play,ch.logixisland.anuto,Z3A6QU9xcFRPRTBpNUVOR1lqYllaZ1ZRRGRGWGt1QXRGR0ZZZlh1Y01JMUZtV2U3WUh3TmN0MnJ3dUZDYlpmQTZicFBwcHhSaTdoNmpkRTBpWU41dHhiREpJ,English,,1,2016-12-18,shawn setnicky,Horrible,No sound even. No upgrades. Nothing good about this except graphics.,,
Anuto TD,Google Play,ch.logixisland.anuto,Z3A6QU9xcFRPSG9jMm54MnZfOUhoUFhNQXdKZ3NqbVN5bWZxRlJyNjVrdmZzNEd1SVlHYlhWeUNvWWRCdzNrTWF2NjFMcHVLZ1VIRjlCeDZDT1ZZbXM4OVVB,English,,5,2016-12-13,Nick Bedi,"","It's a wonderful absorbing tower defense game. The graphics are far from ugly, and instead fill the game with charm.",,
