App,Store,App ID,Review ID,Country,Version,Rating,Date,Author,Subject,Body,Translated Subject,Translated Body
Status Bar Tachometer,Google Play,ch.rmy.android.statusbar_tacho,Z3A6QU9xcFRPRzBUTTJSMVNGaElPaFNYbEZLTmlrX0JWZGFlZHV4QjFIWFZtVkF6dkpJR3RiQkZxMFNNQW8xVllBNk5VdXZ4eFlGckJUMVpmR0RkUDh6aE1Z,English,,4,2016-08-23,Jeremy Garnett,Near perfect app,"I was very glad to find this app, especially for it's simple yet effective action.",,
Status Bar Tachometer,Google Play,ch.rmy.android.statusbar_tacho,Z3A6QU9xcFRPR3dsUlRaZEZnaG5RLVBKQmt0bWh1ZTk3ODlIa0lSeVQxUVpFdFhJWnd2SGlKd3B4cmc4dXZwWW9tRENnLUdHQkR3N3FyRE4yMG5abXFIVkl3,English,,4,2016-08-16,Luke Peterson,Near Perfect,Need more accurate than whole number display in status bar. Going to at least a tenth would make this a 5.0 star app. &amp;lt;-- See what I did there?,,
Status Bar Tachometer,Google Play,ch.rmy.android.statusbar_tacho,Z3A6QU9xcFRPR2hpMC1DRm00OUZTcXA3OUUzd2VKZDRMUlVaVDBqcmNxZlhOZkVZQ19VaDJEV3RleHg2NTRLUDk4VlpMYno3bFRiSkI5eDZIek43Wm1pQnhz,English,,2,2016-08-14,Inga Aldís,Does not work the way I hoped,"This is just what I was looking for, tiny speedometer I can see in the status bar, but I want it to work right. I was sitting on the sofa as lazy as it gets and this speedometer said I was going 7.3km/h... not as accurate as I hoped. And one more thing, It's a bit too simple, but simple can be good. This app would be perfect if you fix just this one problem",,
Status Bar Tachometer,Google Play,ch.rmy.android.statusbar_tacho,Z3A6QU9xcFRPRTJqbkR3VkpPSEZsQXlqbmdtcjktQjlXYUh3bE1sZmZZV2twS09ua2c3bXJES1VTUXd6b1NHOVh1enBqeWljdlZkZDhyWUVGUVVibUJ4X3Rj,English,,5,2016-08-05,Daniel H,Great simple app,"This handy app let's me know how fast I am going when biking. Works great while trying to hatch eggs in PokémonGO  (even though PokémonGO is horribly broken at the moment, no tracking FTL)",,
Status Bar Tachometer,Google Play,ch.rmy.android.statusbar_tacho,Z3A6QU9xcFRPRkVqSlh2MThUVWpIUm9SQXVpT2ptS3lnT3g0S05USDJEbFJCMmgydG5zS2pSWVVpekFOY0RwbXpmYnBHQjFfakFMeEtVQUZ6bzRIUFRrRDRV,English,,3,2016-07-21,Job Peters,useful app,but what I would like is some more options like the amount of decimals showing in the statusbar.,,
Status Bar Tachometer,Google Play,ch.rmy.android.statusbar_tacho,Z3A6QU9xcFRPRmJEZkhfcllFbWtXRlIwV2VWOWhPYUJidzRlWmN3X1JYOVQ5dXM0ZjNQd0prbjh4T2RZc2ZXTTd0RVhZd1M2RjdWQmQyNFF4LXNiZ1EyM2Jr,English,,5,2015-06-29,ahmed ShItOo,"",Awesome app,,
Status Bar Tachometer,Google Play,ch.rmy.android.statusbar_tacho,Z3A6QU9xcFRPRmZmSGJETmY1ckk1alRqMkVOdE1BQTFRTnNuMWxOR0lGSkh2QmQycnJROW5MdTVrNjI2dWxzV1E4MHhaaDMxcHpmR0dtSkRTQXo5SGR5WTVF,Greek,,5,2016-07-25,stergios ps,Πολυ καλο,Κανει αυτο ακριβως που διαφημιζει και .. δωρεαν !(πιθανη εφαρμογη σε pokemon go),,
Status Bar Tachometer,Google Play,ch.rmy.android.statusbar_tacho,Z3A6QU9xcFRPRXlPeGhHbzdoa01KTUJoWndna0daaFlCalZ6MlNaMlo0WVlxQi1CZ0VfQUhwODVqc0tvcDJMSnNacC1SajlPTHhNdmhzTTdOZGtpYXNpYVVB,German,,5,2017-05-06,Fisch1103,"",Tut genau was es soll. Danke.,,
Status Bar Tachometer,Google Play,ch.rmy.android.statusbar_tacho,Z3A6QU9xcFRPR0JkcmJwNjNrNHREYThWTnJOX2tudWU5TWxXaXVtSWh2REhJbmVwWHFieXhubkZkaXpGbldZVWZ2amQzZzZCR1lUeks1T3haaS1RdWRxRlZr,German,,3,2016-11-25,Alexander Lehner,Gefällt mir,Nur die Schrift ist nicht optimal zu lesen und Autostart fehlt,,
Status Bar Tachometer,Google Play,ch.rmy.android.statusbar_tacho,Z3A6QU9xcFRPSG5iaW1yWWs5VFRYSEdmXzZNRXhsdnptNS1HWVdUM0QtNm5YR0kxZTBERjQ0ZHN0Sjd2R0ZkaF85Y3k3QjVDU0VJNGtLLVFJbVFOTl83d0s0,German,,4,2016-08-03,Joe Stein,"Great little App, but...",This App's got exactly what I need: my current speed in the status bar. Unfortunately the font is barely readable.,,
Status Bar Tachometer,Google Play,ch.rmy.android.statusbar_tacho,Z3A6QU9xcFRPR080R0NzVjhQOEF6VTFmRXhldW9oZEx6MGNqVmoydFJGc29HbDNka19DYWJVN19OZWlRLW9pT3E5TmxWWU5ONDdYM0pZQzNQZWlLVjBveXNZ,Russian,,5,2016-09-30,Иван Иванович,"","Маленькое и очень нужное приложение для Ingress и PokemonGo. Маленькая просьба - сделайте управление шрифтами в статусбаре (цвет, тип). Лично мне нравится как на цифровых часах (а цвет - насыщенный синий). В качестве предложения - изменение цвета при превышении скорости (10 км/час для Poemon и 20 для Ingress)",,
